time_s,ru,delta_u,sigma_v_eff,delta_t_s
0.00500000,1.2125855072e-15,-2.0917100000e-13,1.7250000000e+02,5.00000000e-03
0.01000000,3.3264057971e-15,-5.7380500000e-13,1.7250000000e+02,5.00000000e-03
0.01500000,5.3939420290e-15,-9.3045500000e-13,1.7250000000e+02,5.00000000e-03
0.02000000,7.4159420290e-15,-1.2792500000e-12,1.7250000000e+02,5.00000000e-03
0.02500000,9.3933913043e-15,-1.6203600000e-12,1.7250000000e+02,5.00000000e-03
0.03000000,1.1327652174e-14,-1.9540200000e-12,1.7250000000e+02,5.00000000e-03
0.03500000,1.3220115942e-14,-2.2804700000e-12,1.7250000000e+02,5.00000000e-03
0.04000000,1.5072289855e-14,-2.5999700000e-12,1.7250000000e+02,5.00000000e-03
0.04500000,1.6885681159e-14,-2.9127800000e-12,1.7250000000e+02,5.00000000e-03
0.05000000,1.8661913043e-14,-3.2191800000e-12,1.7250000000e+02,5.00000000e-03
0.05500000,2.0402550725e-14,-3.5194400000e-12,1.7250000000e+02,5.00000000e-03
0.06000000,2.2109101449e-14,-3.8138200000e-12,1.7250000000e+02,5.00000000e-03
0.06500000,2.3783130435e-14,-4.1025900000e-12,1.7250000000e+02,5.00000000e-03
0.07000000,2.5425913043e-14,-4.3859700000e-12,1.7250000000e+02,5.00000000e-03
0.07500000,2.7038956522e-14,-4.6642200000e-12,1.7250000000e+02,5.00000000e-03
0.08000000,2.8623536232e-14,-4.9375600000e-12,1.7250000000e+02,5.00000000e-03
0.08500000,3.0180811594e-14,-5.2061900000e-12,1.7250000000e+02,5.00000000e-03
0.09000000,3.1712057971e-14,-5.4703300000e-12,1.7250000000e+02,5.00000000e-03
0.09500000,3.3218318841e-14,-5.7301600000e-12,1.7250000000e+02,5.00000000e-03
0.10000000,3.4700869565e-14,-5.9859000000e-12,1.7250000000e+02,5.00000000e-03
0.10500000,3.6160521739e-14,-6.2376900000e-12,1.7250000000e+02,5.00000000e-03
0.11000000,3.7598144928e-14,-6.4856800000e-12,1.7250000000e+02,5.00000000e-03
0.11500000,3.9014782609e-14,-6.7300500000e-12,1.7250000000e+02,5.00000000e-03
0.12000000,4.0411188406e-14,-6.9709300000e-12,1.7250000000e+02,5.00000000e-03
0.12500000,4.1788173913e-14,-7.2084600000e-12,1.7250000000e+02,5.00000000e-03
0.13000000,4.3146492754e-14,-7.4427700000e-12,1.7250000000e+02,5.00000000e-03
0.13500000,4.4486898551e-14,-7.6739900000e-12,1.7250000000e+02,5.00000000e-03
0.14000000,4.5809971014e-14,-7.9022200000e-12,1.7250000000e+02,5.00000000e-03
0.14500000,4.7116463768e-14,-8.1275900000e-12,1.7250000000e+02,5.00000000e-03
0.15000000,4.8406898551e-14,-8.3501900000e-12,1.7250000000e+02,5.00000000e-03
0.15500000,4.9681913043e-14,-8.5701300000e-12,1.7250000000e+02,5.00000000e-03
0.16000000,5.0941971014e-14,-8.7874900000e-12,1.7250000000e+02,5.00000000e-03
0.16500000,5.2187652174e-14,-9.0023700000e-12,1.7250000000e+02,5.00000000e-03
0.17000000,5.3419304348e-14,-9.2148300000e-12,1.7250000000e+02,5.00000000e-03
0.17500000,5.4637449275e-14,-9.4249600000e-12,1.7250000000e+02,5.00000000e-03
0.18000000,5.5842550725e-14,-9.6328400000e-12,1.7250000000e+02,5.00000000e-03
0.18500000,5.7034956522e-14,-9.8385300000e-12,1.7250000000e+02,5.00000000e-03
0.19000000,5.8215072464e-14,-1.0042100000e-11,1.7250000000e+02,5.00000000e-03
0.19500000,5.9383188406e-14,-1.0243600000e-11,1.7250000000e+02,5.00000000e-03
0.20000000,6.0539710145e-14,-1.0443100000e-11,1.7250000000e+02,5.00000000e-03
