time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,3.4069622123e-13,5.00000000e-03
0.01000000,1.5213139776e-11,5.00000000e-03
0.01500000,3.3039491802e-10,5.00000000e-03
0.02000000,4.6461353723e-09,5.00000000e-03
0.02500000,4.7511602515e-08,5.00000000e-03
0.03000000,3.7612066318e-07,5.00000000e-03
0.03500000,2.3955514784e-06,5.00000000e-03
0.04000000,1.2591976938e-05,5.00000000e-03
0.04500000,5.5582840323e-05,5.00000000e-03
0.05000000,2.0848203124e-04,5.00000000e-03
0.05500000,6.6946121535e-04,5.00000000e-03
0.06000000,1.8471631988e-03,5.00000000e-03
0.06500000,4.3781242086e-03,5.00000000e-03
0.07000000,8.8676651101e-03,5.00000000e-03
0.07500000,1.5153608804e-02,5.00000000e-03
0.08000000,2.1260365972e-02,5.00000000e-03
0.08500000,2.2978616625e-02,5.00000000e-03
0.09000000,1.5513522768e-02,5.00000000e-03
0.09500000,-2.3608732245e-03,5.00000000e-03
0.10000000,-2.4121806165e-02,5.00000000e-03
0.10500000,-3.6286559563e-02,5.00000000e-03
0.11000000,-2.7052087510e-02,5.00000000e-03
0.11500000,2.0542559350e-03,5.00000000e-03
0.12000000,3.2888632308e-02,5.00000000e-03
0.12500000,4.2655073934e-02,5.00000000e-03
0.13000000,2.2885554440e-02,5.00000000e-03
0.13500000,-1.2782949235e-02,5.00000000e-03
0.14000000,-4.0507496997e-02,5.00000000e-03
0.14500000,-4.5377264718e-02,5.00000000e-03
0.15000000,-2.8824273506e-02,5.00000000e-03
0.15500000,-1.6250996778e-03,5.00000000e-03
0.16000000,2.4204455754e-02,5.00000000e-03
0.16500000,3.7305652882e-02,5.00000000e-03
0.17000000,2.9814461989e-02,5.00000000e-03
0.17500000,4.9455095912e-03,5.00000000e-03
0.18000000,-2.1478326203e-02,5.00000000e-03
0.18500000,-3.3034768439e-02,5.00000000e-03
0.19000000,-2.5888536403e-02,5.00000000e-03
0.19500000,-7.8690976720e-03,5.00000000e-03
