time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,2.0855886462e-13,5.00000000e-03
0.01000000,9.4526088346e-12,5.00000000e-03
0.01500000,2.0848966824e-10,5.00000000e-03
0.02000000,2.9795014442e-09,5.00000000e-03
0.02500000,3.0986512344e-08,5.00000000e-03
0.03000000,2.4968316826e-07,5.00000000e-03
0.03500000,1.6202574806e-06,5.00000000e-03
0.04000000,8.6874678516e-06,5.00000000e-03
0.04500000,3.9171162862e-05,5.00000000e-03
0.05000000,1.5033623067e-04,5.00000000e-03
0.05500000,4.9502210664e-04,5.00000000e-03
0.06000000,1.4045068698e-03,5.00000000e-03
0.06500000,3.4361700025e-03,5.00000000e-03
0.07000000,7.2232737666e-03,5.00000000e-03
0.07500000,1.2920669983e-02,5.00000000e-03
0.08000000,1.9265372476e-02,5.00000000e-03
0.08500000,2.2887533960e-02,5.00000000e-03
0.09000000,1.9129983595e-02,5.00000000e-03
0.09500000,5.2360716014e-03,5.00000000e-03
0.10000000,-1.5406043957e-02,5.00000000e-03
0.10500000,-3.1985614398e-02,5.00000000e-03
0.11000000,-3.1751359026e-02,5.00000000e-03
0.11500000,-1.0566868777e-02,5.00000000e-03
0.12000000,2.0222376246e-02,5.00000000e-03
0.12500000,3.9422541450e-02,5.00000000e-03
0.13000000,3.2181554819e-02,5.00000000e-03
0.13500000,2.6644118449e-03,5.00000000e-03
0.14000000,-2.9384435421e-02,5.00000000e-03
0.14500000,-4.4711023427e-02,5.00000000e-03
0.15000000,-3.7266534987e-02,5.00000000e-03
0.15500000,-1.3879047364e-02,5.00000000e-03
0.16000000,1.3222136691e-02,5.00000000e-03
0.16500000,3.1598632834e-02,5.00000000e-03
0.17000000,3.1907211099e-02,5.00000000e-03
0.17500000,1.3499714676e-02,5.00000000e-03
0.18000000,-1.2257807912e-02,5.00000000e-03
0.18500000,-2.8816946630e-02,5.00000000e-03
0.19000000,-2.7173773149e-02,5.00000000e-03
0.19500000,-1.1109842954e-02,5.00000000e-03
