time_s,ru,delta_u,sigma_v_eff,delta_t_s
0.00000000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.00250000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.00500000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.00750000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.01000000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.01250000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.01500000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.01750000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.02000000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.02250000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.02500000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.02750000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.03000000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.03250000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.03500000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.03750000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.04000000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.04250000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.04500000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.04750000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.05000000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.05250000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.05500000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.05750000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.06000000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.06250000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.06500000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.06750000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.07000000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.07250000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.07500000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.07750000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.08000000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.08250000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.08500000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.08750000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.09000000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.09250000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.09500000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
0.09750000,0.0000000000e+00,0.0000000000e+00,1.5120000000e+02,2.50000000e-03
