time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,2.50000000e-03
0.00250000,0.0000000000e+00,2.50000000e-03
0.00500000,0.0000000000e+00,2.50000000e-03
0.00750000,0.0000000000e+00,2.50000000e-03
0.01000000,0.0000000000e+00,2.50000000e-03
0.01250000,0.0000000000e+00,2.50000000e-03
0.01500000,0.0000000000e+00,2.50000000e-03
0.01750000,0.0000000000e+00,2.50000000e-03
0.02000000,7.5105936523e-24,2.50000000e-03
0.02250000,0.0000000000e+00,2.50000000e-03
0.02500000,1.0755285551e-16,2.50000000e-03
0.02750000,4.1685405128e-15,2.50000000e-03
0.03000000,8.5749821931e-14,2.50000000e-03
0.03250000,1.2930177762e-12,2.50000000e-03
0.03500000,1.5049090446e-11,2.50000000e-03
0.03750000,1.4014357556e-10,2.50000000e-03
0.04000000,1.0740990251e-09,2.50000000e-03
0.04250000,6.9275973239e-09,2.50000000e-03
0.04500000,3.8276160550e-08,2.50000000e-03
0.04750000,1.8380716533e-07,2.50000000e-03
0.05000000,7.7629636561e-07,2.50000000e-03
0.05250000,2.9117660686e-06,2.50000000e-03
0.05500000,9.7776812666e-06,2.50000000e-03
0.05750000,2.9588531439e-05,2.50000000e-03
0.06000000,8.1120229106e-05,2.50000000e-03
0.06250000,2.0233335641e-04,2.50000000e-03
0.06500000,4.6055503046e-04,2.50000000e-03
0.06750000,9.5860326451e-04,2.50000000e-03
0.07000000,1.8259590992e-03,2.50000000e-03
0.07250000,3.1811182077e-03,2.50000000e-03
0.07500000,5.0565671024e-03,2.50000000e-03
0.07750000,7.2967687296e-03,2.50000000e-03
0.08000000,9.4706058799e-03,2.50000000e-03
0.08250000,1.0868694643e-02,2.50000000e-03
0.08500000,1.0656851665e-02,2.50000000e-03
0.08750000,8.2053977002e-03,2.50000000e-03
0.09000000,3.5111333984e-03,2.50000000e-03
0.09250000,-2.4893583718e-03,2.50000000e-03
0.09500000,-7.9661596046e-03,2.50000000e-03
0.09750000,-1.0755474174e-02,2.50000000e-03
