time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0832497112e-05,5.00000000e-03
0.06000000,3.7623797657e-05,5.00000000e-03
0.06500000,4.0485301066e-05,5.00000000e-03
0.07000000,1.1900264585e-04,5.00000000e-03
0.07500000,8.1932189543e-05,5.00000000e-03
0.08000000,1.1479216705e-05,5.00000000e-03
0.08500000,1.2934043258e-04,5.00000000e-03
0.09000000,1.2438086504e-04,5.00000000e-03
0.09500000,-1.9812868766e-05,5.00000000e-03
0.10000000,1.5603128803e-04,5.00000000e-03
0.10500000,1.5859702814e-04,5.00000000e-03
0.11000000,-7.8323798433e-05,5.00000000e-03
0.11500000,2.2324063036e-04,5.00000000e-03
0.12000000,1.6113724258e-04,5.00000000e-03
0.12500000,-1.8361656060e-04,5.00000000e-03
0.13000000,3.2966789717e-04,5.00000000e-03
0.13500000,-7.1623237787e-07,5.00000000e-03
0.14000000,-3.3545337283e-04,5.00000000e-03
0.14500000,5.6624655064e-04,5.00000000e-03
0.15000000,-1.7994138451e-04,5.00000000e-03
0.15500000,-1.6867092614e-04,5.00000000e-03
0.16000000,7.7386201945e-04,5.00000000e-03
0.16500000,-1.0071753798e-03,5.00000000e-03
0.17000000,3.8686421901e-04,5.00000000e-03
0.17500000,1.1558016967e-03,5.00000000e-03
0.18000000,-1.6533659593e-03,5.00000000e-03
0.18500000,9.2988626773e-04,5.00000000e-03
0.19000000,4.3354627811e-04,5.00000000e-03
0.19500000,-8.8452475666e-04,5.00000000e-03
0.20000000,1.5825134346e-03,5.00000000e-03
0.20500000,-1.7440617312e-03,5.00000000e-03
0.21000000,1.1867956945e-03,5.00000000e-03
