time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0832694524e-05,5.00000000e-03
0.06000000,3.7628554427e-05,5.00000000e-03
0.06500000,4.0476238629e-05,5.00000000e-03
0.07000000,1.1900422343e-04,5.00000000e-03
0.07500000,8.1955419317e-05,5.00000000e-03
0.08000000,1.1424584583e-05,5.00000000e-03
0.08500000,1.2932549544e-04,5.00000000e-03
0.09000000,1.2448172961e-04,5.00000000e-03
0.09500000,-1.9974162872e-05,5.00000000e-03
0.10000000,1.5598931157e-04,5.00000000e-03
0.10500000,1.5891782203e-04,5.00000000e-03
0.11000000,-7.8827700514e-05,5.00000000e-03
0.11500000,2.2323137254e-04,5.00000000e-03
0.12000000,1.6198794304e-04,5.00000000e-03
0.12500000,-1.8525029551e-04,5.00000000e-03
0.13000000,3.3016190152e-04,5.00000000e-03
0.13500000,1.1067279986e-06,5.00000000e-03
0.14000000,-3.4073367135e-04,5.00000000e-03
0.14500000,5.7084674831e-04,5.00000000e-03
0.15000000,-1.7728148720e-04,5.00000000e-03
0.15500000,-1.7891169050e-04,5.00000000e-03
0.16000000,7.8153214857e-04,5.00000000e-03
0.16500000,-9.8453511715e-04,5.00000000e-03
0.17000000,3.4811937000e-04,5.00000000e-03
0.17500000,1.1536406313e-03,5.00000000e-03
0.18000000,-1.6796461141e-03,5.00000000e-03
0.18500000,1.1591740648e-03,5.00000000e-03
0.19000000,3.6278444748e-04,5.00000000e-03
0.19500000,-1.0729725448e-03,5.00000000e-03
0.20000000,1.7838432212e-03,5.00000000e-03
0.20500000,-1.6969211725e-03,5.00000000e-03
0.21000000,1.0623037743e-03,5.00000000e-03
