time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0832861562e-05,5.00000000e-03
0.06000000,3.7632580486e-05,5.00000000e-03
0.06500000,4.0468568056e-05,5.00000000e-03
0.07000000,1.1900554744e-04,5.00000000e-03
0.07500000,8.1975100261e-05,5.00000000e-03
0.08000000,1.1378326632e-05,5.00000000e-03
0.08500000,1.2931275894e-04,5.00000000e-03
0.09000000,1.2456729980e-04,5.00000000e-03
0.09500000,-2.0110763302e-05,5.00000000e-03
0.10000000,1.5595316543e-04,5.00000000e-03
0.10500000,1.5919064413e-04,5.00000000e-03
0.11000000,-7.9255072822e-05,5.00000000e-03
0.11500000,2.2322068827e-04,5.00000000e-03
0.12000000,1.6271468116e-04,5.00000000e-03
0.12500000,-1.8664101015e-04,5.00000000e-03
0.13000000,3.3056922915e-04,5.00000000e-03
0.13500000,2.6821852598e-06,5.00000000e-03
0.14000000,-3.4527223654e-04,5.00000000e-03
0.14500000,5.7477637337e-04,5.00000000e-03
0.15000000,-1.7617333491e-04,5.00000000e-03
0.15500000,-1.8580768723e-04,5.00000000e-03
0.16000000,7.9343042945e-04,5.00000000e-03
0.16500000,-9.9540205729e-04,5.00000000e-03
0.17000000,3.3815107836e-04,5.00000000e-03
0.17500000,1.1832664305e-03,5.00000000e-03
0.18000000,-1.7179475938e-03,5.00000000e-03
0.18500000,1.1629836739e-03,5.00000000e-03
0.19000000,4.0021903885e-04,5.00000000e-03
0.19500000,-1.1218522996e-03,5.00000000e-03
0.20000000,1.8461047082e-03,5.00000000e-03
0.20500000,-1.7456545983e-03,5.00000000e-03
0.21000000,1.0664633147e-03,5.00000000e-03
