time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0832675597e-05,5.00000000e-03
0.06000000,3.7628295255e-05,5.00000000e-03
0.06500000,4.0477042256e-05,5.00000000e-03
0.07000000,1.1900334634e-04,5.00000000e-03
0.07500000,8.1954734808e-05,5.00000000e-03
0.08000000,1.1429414206e-05,5.00000000e-03
0.08500000,1.2932465515e-04,5.00000000e-03
0.09000000,1.2447979125e-04,5.00000000e-03
0.09500000,-1.9964240206e-05,5.00000000e-03
0.10000000,1.5598142110e-04,5.00000000e-03
0.10500000,1.5892539679e-04,5.00000000e-03
0.11000000,-7.8817293360e-05,5.00000000e-03
0.11500000,2.2320410360e-04,5.00000000e-03
0.12000000,1.6206163826e-04,5.00000000e-03
0.12500000,-1.8534860468e-04,5.00000000e-03
0.13000000,3.3013707496e-04,5.00000000e-03
0.13500000,1.5054865974e-06,5.00000000e-03
0.14000000,-3.4163966529e-04,5.00000000e-03
0.14500000,5.7134710405e-04,5.00000000e-03
0.15000000,-1.7617987733e-04,5.00000000e-03
0.15500000,-1.8112052434e-04,5.00000000e-03
0.16000000,7.8504987691e-04,5.00000000e-03
0.16500000,-9.8779427102e-04,5.00000000e-03
0.17000000,3.3973629616e-04,5.00000000e-03
0.17500000,1.1728688560e-03,5.00000000e-03
0.18000000,-1.7067423282e-03,5.00000000e-03
0.18500000,1.1469366481e-03,5.00000000e-03
0.19000000,4.1159813056e-04,5.00000000e-03
0.19500000,-1.1273903917e-03,5.00000000e-03
0.20000000,1.8429702563e-03,5.00000000e-03
0.20500000,-1.7399730483e-03,5.00000000e-03
0.21000000,1.0418658851e-03,5.00000000e-03
