time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0833004742e-05,5.00000000e-03
0.06000000,3.7636032201e-05,5.00000000e-03
0.06500000,4.0461991564e-05,5.00000000e-03
0.07000000,1.1900667437e-04,5.00000000e-03
0.07500000,8.1991987887e-05,5.00000000e-03
0.08000000,1.1338654513e-05,5.00000000e-03
0.08500000,1.2930177072e-04,5.00000000e-03
0.09000000,1.2464080898e-04,5.00000000e-03
0.09500000,-2.0227936884e-05,5.00000000e-03
0.10000000,1.5592172220e-04,5.00000000e-03
0.10500000,1.5942550477e-04,5.00000000e-03
0.11000000,-7.9622111877e-05,5.00000000e-03
0.11500000,2.2320942096e-04,5.00000000e-03
0.12000000,1.6334269110e-04,5.00000000e-03
0.12500000,-1.8783911662e-04,5.00000000e-03
0.13000000,3.3091034729e-04,5.00000000e-03
0.13500000,4.0570400351e-06,5.00000000e-03
0.14000000,-3.4921459975e-04,5.00000000e-03
0.14500000,5.7817157821e-04,5.00000000e-03
0.15000000,-1.7515937678e-04,5.00000000e-03
0.15500000,-1.9187183649e-04,5.00000000e-03
0.16000000,8.0383253036e-04,5.00000000e-03
0.16500000,-1.0048168556e-03,5.00000000e-03
0.17000000,3.2937853796e-04,5.00000000e-03
0.17500000,1.2102710968e-03,5.00000000e-03
0.18000000,-1.7526395370e-03,5.00000000e-03
0.18500000,9.4137398635e-04,5.00000000e-03
0.19000000,6.3897568021e-04,5.00000000e-03
0.19500000,-1.1068402343e-03,5.00000000e-03
0.20000000,1.7444035795e-03,5.00000000e-03
0.20500000,-1.7638616800e-03,5.00000000e-03
0.21000000,9.7515942272e-04,5.00000000e-03
