time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0831832301e-05,5.00000000e-03
0.06000000,3.7608598766e-05,5.00000000e-03
0.06500000,4.0515532435e-05,5.00000000e-03
0.07000000,1.1899425212e-04,5.00000000e-03
0.07500000,8.1860491904e-05,5.00000000e-03
0.08000000,1.1661297466e-05,5.00000000e-03
0.08500000,1.2938062519e-04,5.00000000e-03
0.09000000,1.2407450577e-04,5.00000000e-03
0.09500000,-1.9293180127e-05,5.00000000e-03
0.10000000,1.5611958213e-04,5.00000000e-03
0.10500000,1.5768280650e-04,5.00000000e-03
0.11000000,-7.6789507826e-05,5.00000000e-03
0.11500000,2.2313910673e-04,5.00000000e-03
0.12000000,1.5894724168e-04,5.00000000e-03
0.12500000,-1.7920751510e-04,5.00000000e-03
0.13000000,3.2804058186e-04,5.00000000e-03
0.13500000,-4.3913718519e-06,5.00000000e-03
0.14000000,-3.2365649752e-04,5.00000000e-03
0.14500000,5.5474403561e-04,5.00000000e-03
0.15000000,-1.7934278069e-04,5.00000000e-03
0.15500000,-1.5464872655e-04,5.00000000e-03
0.16000000,7.4400340096e-04,5.00000000e-03
0.16500000,-9.7734615818e-04,5.00000000e-03
0.17000000,3.9505139454e-04,5.00000000e-03
0.17500000,1.1011861299e-03,5.00000000e-03
0.18000000,-1.5959525896e-03,5.00000000e-03
0.18500000,9.0496802737e-04,5.00000000e-03
0.19000000,4.3531734197e-04,5.00000000e-03
0.19500000,-8.9594796929e-04,5.00000000e-03
0.20000000,1.6442495932e-03,5.00000000e-03
0.20500000,-1.8184253202e-03,5.00000000e-03
0.21000000,1.1078675314e-03,5.00000000e-03
