time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0831295714e-05,5.00000000e-03
0.06000000,3.7596143778e-05,5.00000000e-03
0.06500000,4.0539975473e-05,5.00000000e-03
0.07000000,1.1898810278e-04,5.00000000e-03
0.07500000,8.1801298294e-05,5.00000000e-03
0.08000000,1.1808369521e-05,5.00000000e-03
0.08500000,1.2941445147e-04,5.00000000e-03
0.09000000,1.2382140296e-04,5.00000000e-03
0.09500000,-1.8869298192e-05,5.00000000e-03
0.10000000,1.5619773924e-04,5.00000000e-03
0.10500000,1.5691753320e-04,5.00000000e-03
0.11000000,-7.5522180989e-05,5.00000000e-03
0.11500000,2.2306427431e-04,5.00000000e-03
0.12000000,1.5707415189e-04,5.00000000e-03
0.12500000,-1.7545584555e-04,5.00000000e-03
0.13000000,3.2663473686e-04,5.00000000e-03
0.13500000,-7.7442923726e-06,5.00000000e-03
0.14000000,-3.1310306324e-04,5.00000000e-03
0.14500000,5.4474523217e-04,5.00000000e-03
0.15000000,-1.7980262053e-04,5.00000000e-03
0.15500000,-1.4115526885e-04,5.00000000e-03
0.16000000,7.2036247249e-04,5.00000000e-03
0.16500000,-9.5819479635e-04,5.00000000e-03
0.17000000,4.0548666435e-04,5.00000000e-03
0.17500000,1.0572290213e-03,5.00000000e-03
0.18000000,-1.5397302767e-03,5.00000000e-03
0.18500000,8.7967468030e-04,5.00000000e-03
0.19000000,4.1350568469e-04,5.00000000e-03
0.19500000,-8.3527274034e-04,5.00000000e-03
0.20000000,1.5610852241e-03,5.00000000e-03
0.20500000,-1.7599034694e-03,5.00000000e-03
0.21000000,1.0951499363e-03,5.00000000e-03
