time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,5.9007978731e-17,5.00000000e-03
0.01000000,1.3884852592e-13,5.00000000e-03
0.01500000,4.7915998366e-11,5.00000000e-03
0.02000000,3.5318248365e-09,5.00000000e-03
0.02500000,1.0458742659e-07,5.00000000e-03
0.03000000,1.5194449903e-06,5.00000000e-03
0.03500000,1.2181562859e-05,5.00000000e-03
0.04000000,5.7277609997e-05,5.00000000e-03
0.04500000,1.5829111475e-04,5.00000000e-03
0.05000000,2.3939046399e-04,5.00000000e-03
0.05500000,1.7497428760e-04,5.00000000e-03
0.06000000,9.1177408125e-05,5.00000000e-03
0.06500000,1.9770519698e-04,5.00000000e-03
0.07000000,2.6236303385e-04,5.00000000e-03
0.07500000,1.3146416436e-04,5.00000000e-03
0.08000000,1.7872579761e-04,5.00000000e-03
0.08500000,3.0331054832e-04,5.00000000e-03
0.09000000,1.6141681507e-04,5.00000000e-03
0.09500000,1.9146746082e-04,5.00000000e-03
0.10000000,3.3838805064e-04,5.00000000e-03
0.10500000,1.6358330216e-04,5.00000000e-03
0.11000000,2.3220896136e-04,5.00000000e-03
0.11500000,3.7297063466e-04,5.00000000e-03
0.12000000,1.2293915263e-04,5.00000000e-03
0.12500000,2.6330466950e-04,5.00000000e-03
0.13000000,3.5486927953e-04,5.00000000e-03
0.13500000,4.9639072816e-05,5.00000000e-03
0.14000000,3.2445942235e-04,5.00000000e-03
0.14500000,3.3544152232e-04,5.00000000e-03
0.15000000,9.7943073149e-05,5.00000000e-03
0.15500000,4.5123978988e-04,5.00000000e-03
0.16000000,1.6433414189e-04,5.00000000e-03
0.16500000,1.2996332072e-04,5.00000000e-03
0.17000000,6.1840657760e-04,5.00000000e-03
0.17500000,6.2332364641e-05,5.00000000e-03
0.18000000,2.4234116657e-04,5.00000000e-03
0.18500000,5.2143907062e-04,5.00000000e-03
0.19000000,9.2329271047e-05,5.00000000e-03
0.19500000,6.0293048873e-04,5.00000000e-03
0.20000000,4.6098892105e-05,5.00000000e-03
0.20500000,2.0200628001e-04,5.00000000e-03
0.21000000,1.1013993917e-03,5.00000000e-03
0.21500000,-6.6766390577e-04,5.00000000e-03
0.22000000,6.0503582860e-04,5.00000000e-03
0.22500000,1.3614703899e-03,5.00000000e-03
0.23000000,-1.1043064266e-03,5.00000000e-03
0.23500000,1.2109944662e-03,5.00000000e-03
0.24000000,9.4800215450e-04,5.00000000e-03
0.24500000,-7.1818101007e-04,5.00000000e-03
0.25000000,1.3962245547e-03,5.00000000e-03
0.25500000,3.0066663081e-04,5.00000000e-03
0.26000000,-9.3863597426e-05,5.00000000e-03
0.26500000,1.0667319083e-03,5.00000000e-03
0.27000000,3.6471017293e-04,5.00000000e-03
0.27500000,5.8798700960e-04,5.00000000e-03
0.28000000,6.2037429721e-05,5.00000000e-03
0.28500000,9.2790621756e-04,5.00000000e-03
0.29000000,6.2817558350e-04,5.00000000e-03
0.29500000,-5.9359811226e-04,5.00000000e-03
0.30000000,2.2461831158e-03,5.00000000e-03
0.30500000,-8.4643299982e-04,5.00000000e-03
0.31000000,-1.1642064684e-04,5.00000000e-03
0.31500000,2.3714610944e-03,5.00000000e-03
0.32000000,-2.1556867400e-03,5.00000000e-03
0.32500000,2.4987504186e-03,5.00000000e-03
0.33000000,1.4362838940e-03,5.00000000e-03
0.33500000,-1.9725283100e-03,5.00000000e-03
0.34000000,3.6940471431e-03,5.00000000e-03
0.34500000,-9.2080832289e-04,5.00000000e-03
0.35000000,-7.7789169330e-04,5.00000000e-03
0.35500000,3.0614102097e-03,5.00000000e-03
0.36000000,-2.2483738317e-03,5.00000000e-03
0.36500000,1.3927373155e-03,5.00000000e-03
0.37000000,1.7126984612e-03,5.00000000e-03
0.37500000,-1.3208318684e-03,5.00000000e-03
0.38000000,2.7979977069e-03,5.00000000e-03
0.38500000,-2.7121448939e-04,5.00000000e-03
0.39000000,1.5061842324e-04,5.00000000e-03
0.39500000,2.1646925918e-03,5.00000000e-03
0.40000000,-1.3866135392e-03,5.00000000e-03
0.40500000,1.8863436544e-03,5.00000000e-03
0.41000000,8.3057521712e-04,5.00000000e-03
0.41500000,-7.3577558552e-04,5.00000000e-03
0.42000000,2.4751515793e-03,5.00000000e-03
0.42500000,-1.1714702360e-03,5.00000000e-03
0.43000000,4.5751197652e-04,5.00000000e-03
0.43500000,1.7800108462e-03,5.00000000e-03
0.44000000,-1.1553321081e-03,5.00000000e-03
0.44500000,2.2165384727e-03,5.00000000e-03
0.45000000,9.9068744635e-04,5.00000000e-03
0.45500000,-3.0384990460e-04,5.00000000e-03
0.46000000,2.2513239869e-03,5.00000000e-03
0.46500000,-2.2723173285e-04,5.00000000e-03
0.47000000,5.4861383988e-04,5.00000000e-03
0.47500000,2.0111386539e-03,5.00000000e-03
0.48000000,-1.5639360164e-04,5.00000000e-03
0.48500000,1.0156928570e-03,5.00000000e-03
0.49000000,1.3059812547e-03,5.00000000e-03
0.49500000,4.6854604313e-04,5.00000000e-03
0.50000000,1.1078008457e-03,5.00000000e-03
0.50500000,1.0943238812e-03,5.00000000e-03
0.51000000,1.1537423444e-03,5.00000000e-03
0.51500000,7.3852074824e-04,5.00000000e-03
0.52000000,1.0014208215e-03,5.00000000e-03
0.52500000,9.9925510967e-04,5.00000000e-03
0.53000000,3.1681241882e-04,5.00000000e-03
0.53500000,1.8478531181e-03,5.00000000e-03
0.54000000,5.8515527352e-04,5.00000000e-03
0.54500000,2.5368433202e-04,5.00000000e-03
