time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,1.6020513677e-07,5.00000000e-03
0.01000000,3.2799797739e-07,5.00000000e-03
0.01500000,5.0364918126e-07,5.00000000e-03
0.02000000,6.8811351536e-07,5.00000000e-03
0.02500000,9.0007724233e-07,5.00000000e-03
0.03000000,1.4601359684e-06,5.00000000e-03
0.03500000,5.2075155376e-06,5.00000000e-03
0.04000000,2.5081622773e-05,5.00000000e-03
0.04500000,8.6265582404e-05,5.00000000e-03
0.05000000,1.7500665455e-04,5.00000000e-03
0.05500000,1.7821444607e-04,5.00000000e-03
0.06000000,7.2475354143e-05,5.00000000e-03
0.06500000,9.1831116606e-05,5.00000000e-03
0.07000000,2.3415918807e-04,5.00000000e-03
0.07500000,1.4632610509e-04,5.00000000e-03
0.08000000,4.9512930716e-05,5.00000000e-03
0.08500000,2.6013952227e-04,5.00000000e-03
0.09000000,2.0281590687e-04,5.00000000e-03
0.09500000,1.4938567686e-05,5.00000000e-03
0.10000000,3.1757507600e-04,5.00000000e-03
0.10500000,2.2396020020e-04,5.00000000e-03
0.11000000,-4.0461078196e-05,5.00000000e-03
0.11500000,4.2979781977e-04,5.00000000e-03
0.12000000,1.6383676293e-04,5.00000000e-03
0.12500000,-1.2102459917e-04,5.00000000e-03
0.13000000,5.2003645912e-04,5.00000000e-03
0.13500000,-1.9702746109e-04,5.00000000e-03
0.14000000,-2.2560877673e-04,5.00000000e-03
0.14500000,7.2884750257e-04,5.00000000e-03
0.15000000,-4.4459546156e-04,5.00000000e-03
0.15500000,2.9722481803e-04,5.00000000e-03
0.16000000,6.7297638930e-04,5.00000000e-03
0.16500000,-1.2620674438e-03,5.00000000e-03
0.17000000,1.2301036720e-03,5.00000000e-03
0.17500000,5.7128130049e-04,5.00000000e-03
0.18000000,-1.2494818428e-03,5.00000000e-03
0.18500000,1.3961184050e-03,5.00000000e-03
0.19000000,-3.8051416089e-04,5.00000000e-03
0.19500000,1.5933216384e-04,5.00000000e-03
0.20000000,6.2610067599e-04,5.00000000e-03
0.20500000,-1.3152576016e-03,5.00000000e-03
0.21000000,2.9341411716e-03,5.00000000e-03
0.21500000,-1.9695386255e-03,5.00000000e-03
0.22000000,-8.7441171248e-04,5.00000000e-03
0.22500000,3.7852203209e-03,5.00000000e-03
0.23000000,-3.7602161050e-03,5.00000000e-03
0.23500000,1.2777351039e-03,5.00000000e-03
0.24000000,3.1624710267e-03,5.00000000e-03
0.24500000,-3.2912972251e-03,5.00000000e-03
0.25000000,2.5094400615e-03,5.00000000e-03
0.25500000,1.1173637852e-03,5.00000000e-03
0.26000000,-1.8183398042e-03,5.00000000e-03
0.26500000,1.8713170787e-03,5.00000000e-03
0.27000000,8.7518397133e-04,5.00000000e-03
0.27500000,-3.4251011563e-04,5.00000000e-03
0.28000000,-4.5560519675e-04,5.00000000e-03
0.28500000,1.9830139995e-03,5.00000000e-03
0.29000000,-2.4867830264e-04,5.00000000e-03
0.29500000,-1.7166169704e-03,5.00000000e-03
