step,time_s,input_acc_m_s2,input_vel_m_s,incident_force,base_relative_velocity_m_s,dashpot_force,net_boundary_force,base_relative_displacement_m,base_relative_acceleration_m_s2,surface_acceleration_m_s2,impedance_c
0,0.0000000000e+00,5.4892463220e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9367991845e+03
1,5.0000000000e-03,5.7789307170e-05,2.8170442597e-07,1.0912098050e-03,4.3191293957e-07,8.3652862915e-04,2.5468117585e-04,1.6692308071e-09,-4.0004518322e-05,6.1034095262e-17,1.9367991845e+03
2,1.0000000000e-02,6.0572109870e-05,5.7760796857e-07,2.2374212850e-03,7.8774504475e-07,1.5257039603e-03,7.1171732473e-04,5.2370372702e-09,-3.5044575891e-05,1.4371478250e-13,1.9367991845e+03
3,1.5000000000e-02,6.3485424810e-05,8.8775180527e-07,3.4387939450e-03,1.2136743703e-06,2.3506435307e-03,1.0881504143e-03,1.0792041749e-08,-3.2299189841e-05,4.9462075741e-11,1.9367991845e+03
4,2.0000000000e-02,6.6576810870e-05,1.2129073945e-06,4.6983161050e-03,1.6358665707e-06,3.1683450400e-03,1.5299710650e-03,1.8517805975e-08,-4.0727622457e-05,3.6461101505e-09,1.9367991845e+03
5,2.5000000000e-02,6.9771456990e-05,1.5537780641e-06,6.0187121750e-03,2.0790438907e-06,4.0266905121e-03,1.9920216629e-03,2.8408421805e-08,-3.6016839911e-05,1.0798283209e-07,1.9367991845e+03
6,3.0000000000e-02,7.2800578980e-05,1.9102081540e-06,7.3993791900e-03,2.5562240289e-06,4.9508926146e-03,2.4484865754e-03,4.0647073417e-08,-3.9914506086e-05,1.5690152051e-06,1.9367991845e+03
7,3.5000000000e-02,7.5753124110e-05,2.2815924118e-06,8.8379726450e-03,3.0353026937e-06,5.8787717819e-03,2.9592008631e-03,5.5299526291e-08,-4.1677066600e-05,1.2581920485e-05,1.9367991845e+03
8,4.0000000000e-02,7.8867210510e-05,2.6681432483e-06,1.0335315335e-02,3.5467042954e-06,6.8692539871e-03,3.4660613479e-03,7.2449092418e-08,-3.9863236804e-05,5.9173227112e-05,1.9367991845e+03
9,4.5000000000e-02,8.1958684860e-05,3.0702079867e-06,1.1892752650e-02,4.0746241022e-06,7.8917286384e-03,4.0010240116e-03,9.2238412593e-08,-4.3929984255e-05,1.6346653665e-04,1.9367991845e+03
10,5.0000000000e-02,8.5431140370e-05,3.4886825498e-06,1.3513755035e-02,4.6199943304e-06,8.9480012515e-03,4.5657537835e-03,1.1473087335e-07,-4.2882651036e-05,2.4664441271e-04,1.9367991845e+03
11,5.5000000000e-02,8.8886732490e-05,3.9244772320e-06,1.5201848605e-02,5.1956408352e-06,1.0062912933e-02,5.1389356725e-03,1.4006378297e-07,-4.4314929786e-05,1.7936841359e-04,1.9367991845e+03
12,6.0000000000e-02,9.1260507240e-05,4.3748453313e-06,1.6946393740e-02,5.7852331001e-06,1.1204834750e-02,5.7415589896e-03,1.6833631362e-07,-4.5721366619e-05,9.3432589982e-05,1.9367991845e+03
13,6.5000000000e-02,9.3432558960e-05,4.8365779968e-06,1.8734960640e-02,6.3928049824e-06,1.2381579477e-02,6.3533811634e-03,1.9961829244e-07,-4.5413606205e-05,2.0340421844e-04,1.9367991845e+03
14,7.0000000000e-02,9.6399044100e-05,5.3111570044e-06,2.0573289110e-02,7.0221085729e-06,1.3600414158e-02,6.9728749525e-03,2.3401799505e-07,-4.6009210974e-05,2.6822991367e-04,1.9367991845e+03
