time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0102568385e-08,5.00000000e-03
0.01000000,1.6399898840e-07,5.00000000e-03
0.01500000,2.5182457385e-07,5.00000000e-03
0.02000000,3.4405632078e-07,5.00000000e-03
0.02500000,4.5000545614e-07,5.00000000e-03
0.03000000,7.2901760796e-07,5.00000000e-03
0.03500000,2.5857215463e-06,5.00000000e-03
0.04000000,1.2367967221e-05,5.00000000e-03
0.04500000,4.2325407225e-05,5.00000000e-03
0.05000000,8.6482270609e-05,5.00000000e-03
0.05500000,9.0892742533e-05,5.00000000e-03
0.06000000,3.7559503425e-05,5.00000000e-03
0.06500000,4.0561646885e-05,5.00000000e-03
0.07000000,1.1904357282e-04,5.00000000e-03
0.07500000,8.1879644394e-05,5.00000000e-03
0.08000000,1.1605676862e-05,5.00000000e-03
0.08500000,1.2930205660e-04,5.00000000e-03
0.09000000,1.2438356187e-04,5.00000000e-03
0.09500000,-1.9647115152e-05,5.00000000e-03
0.10000000,1.5586121879e-04,5.00000000e-03
0.10500000,1.5876448047e-04,5.00000000e-03
0.11000000,-7.8235577778e-05,5.00000000e-03
0.11500000,2.2295857616e-04,5.00000000e-03
0.12000000,1.6161199860e-04,5.00000000e-03
0.12500000,-1.8388811705e-04,5.00000000e-03
0.13000000,3.2951864696e-04,5.00000000e-03
0.13500000,3.1005903102e-08,5.00000000e-03
0.14000000,-3.3638165854e-04,5.00000000e-03
0.14500000,5.6899812295e-04,5.00000000e-03
0.15000000,-1.8520408969e-04,5.00000000e-03
0.15500000,-1.6081643060e-04,5.00000000e-03
0.16000000,7.4690382151e-04,5.00000000e-03
0.16500000,-9.9436384362e-04,5.00000000e-03
0.17000000,4.0965256735e-04,5.00000000e-03
0.17500000,1.0345766885e-03,5.00000000e-03
0.18000000,-1.5462282919e-03,5.00000000e-03
0.18500000,1.1233107206e-03,5.00000000e-03
0.19000000,2.1232494237e-04,5.00000000e-03
0.19500000,-8.8996217892e-04,5.00000000e-03
0.20000000,1.4287564536e-03,5.00000000e-03
0.20500000,-1.8363479676e-03,5.00000000e-03
0.21000000,1.6644502194e-03,5.00000000e-03
0.21500000,7.2461075369e-04,5.00000000e-03
0.22000000,-2.3443463294e-03,5.00000000e-03
0.22500000,3.9273194899e-03,5.00000000e-03
0.23000000,-2.2987096070e-03,5.00000000e-03
0.23500000,-1.7041671956e-03,5.00000000e-03
0.24000000,3.8332367411e-03,5.00000000e-03
0.24500000,-3.5401597555e-03,5.00000000e-03
0.25000000,1.2925521021e-03,5.00000000e-03
0.25500000,2.3299065064e-03,5.00000000e-03
0.26000000,-2.7013911814e-03,5.00000000e-03
0.26500000,2.0149922336e-03,5.00000000e-03
0.27000000,3.0390075412e-04,5.00000000e-03
0.27500000,-5.3480364404e-04,5.00000000e-03
0.28000000,4.0011970760e-04,5.00000000e-03
0.28500000,-2.3520006046e-04,5.00000000e-03
0.29000000,1.4881949978e-03,5.00000000e-03
0.29500000,-2.2597528819e-03,5.00000000e-03
0.30000000,2.1279068735e-03,5.00000000e-03
0.30500000,5.7665623501e-04,5.00000000e-03
0.31000000,-2.6447366316e-03,5.00000000e-03
0.31500000,4.7174885805e-03,5.00000000e-03
0.32000000,-3.9100915691e-03,5.00000000e-03
0.32500000,7.6027151653e-04,5.00000000e-03
0.33000000,4.0397552241e-03,5.00000000e-03
0.33500000,-6.6549207188e-03,5.00000000e-03
0.34000000,5.4500788269e-03,5.00000000e-03
0.34500000,2.9260166273e-04,5.00000000e-03
0.35000000,-5.7032392612e-03,5.00000000e-03
0.35500000,7.6187219503e-03,5.00000000e-03
0.36000000,-4.3360279094e-03,5.00000000e-03
0.36500000,-2.2911709522e-03,5.00000000e-03
0.37000000,6.1197190074e-03,5.00000000e-03
0.37500000,-5.8286376453e-03,5.00000000e-03
0.38000000,2.6458070821e-03,5.00000000e-03
0.38500000,2.6206550386e-03,5.00000000e-03
0.39000000,-3.7470133699e-03,5.00000000e-03
0.39500000,4.8455404753e-03,5.00000000e-03
0.40000000,-3.1067830714e-03,5.00000000e-03
0.40500000,-7.2585533339e-04,5.00000000e-03
0.41000000,3.9387989151e-03,5.00000000e-03
0.41500000,-4.8473201904e-03,5.00000000e-03
0.42000000,3.5204588897e-03,5.00000000e-03
0.42500000,1.1914983260e-03,5.00000000e-03
0.43000000,-3.9100104184e-03,5.00000000e-03
0.43500000,5.0707168803e-03,5.00000000e-03
0.44000000,-2.5506159579e-03,5.00000000e-03
0.44500000,-1.3865102117e-03,5.00000000e-03
0.45000000,4.2949108208e-03,5.00000000e-03
0.45500000,-4.4597506051e-03,5.00000000e-03
0.46000000,2.1791879793e-03,5.00000000e-03
0.46500000,2.7715539471e-03,5.00000000e-03
0.47000000,-4.2459417879e-03,5.00000000e-03
0.47500000,3.9419160498e-03,5.00000000e-03
0.48000000,-5.0164338696e-05,5.00000000e-03
0.48500000,-3.0691966436e-03,5.00000000e-03
0.49000000,4.7331612624e-03,5.00000000e-03
0.49500000,-1.8534040717e-03,5.00000000e-03
0.50000000,-2.5763277323e-03,5.00000000e-03
0.50500000,4.6008546416e-03,5.00000000e-03
0.51000000,-2.1739319753e-03,5.00000000e-03
0.51500000,-1.1876106068e-03,5.00000000e-03
0.52000000,2.9954191954e-03,5.00000000e-03
0.52500000,-2.2613099759e-03,5.00000000e-03
0.53000000,1.6435998030e-04,5.00000000e-03
0.53500000,1.6319293550e-03,5.00000000e-03
0.54000000,-1.2202247367e-03,5.00000000e-03
0.54500000,7.5880121447e-04,5.00000000e-03
0.55000000,7.1482851086e-04,5.00000000e-03
0.55500000,2.2975591007e-05,5.00000000e-03
0.56000000,3.5947248057e-04,5.00000000e-03
0.56500000,-6.3079790440e-05,5.00000000e-03
0.57000000,1.0046639496e-03,5.00000000e-03
0.57500000,-1.0499405714e-03,5.00000000e-03
0.58000000,8.2735261979e-04,5.00000000e-03
0.58500000,1.2334346896e-03,5.00000000e-03
0.59000000,-1.9446167572e-03,5.00000000e-03
0.59500000,2.9541887795e-03,5.00000000e-03
0.60000000,-2.3155292969e-03,5.00000000e-03
0.60500000,1.4944972670e-04,5.00000000e-03
0.61000000,3.0158700520e-03,5.00000000e-03
0.61500000,-4.3549097790e-03,5.00000000e-03
0.62000000,3.6798882647e-03,5.00000000e-03
0.62500000,-7.4395226079e-04,5.00000000e-03
0.63000000,-2.9323077958e-03,5.00000000e-03
0.63500000,4.9770764781e-03,5.00000000e-03
0.64000000,-4.2194468384e-03,5.00000000e-03
0.64500000,2.7483199289e-03,5.00000000e-03
0.65000000,1.9156382246e-03,5.00000000e-03
0.65500000,-3.8480387146e-03,5.00000000e-03
0.66000000,6.7205863233e-03,5.00000000e-03
0.66500000,-4.8579077416e-03,5.00000000e-03
0.67000000,9.7467915788e-04,5.00000000e-03
0.67500000,5.4971634009e-03,5.00000000e-03
0.68000000,-7.9440215170e-03,5.00000000e-03
0.68500000,6.9453827374e-03,5.00000000e-03
0.69000000,-1.6180989969e-04,5.00000000e-03
0.69500000,-6.3007758416e-03,5.00000000e-03
0.70000000,9.5833439851e-03,5.00000000e-03
0.70500000,-5.6169603193e-03,5.00000000e-03
0.71000000,-2.7838105484e-04,5.00000000e-03
0.71500000,6.8093679808e-03,5.00000000e-03
0.72000000,-8.3796028855e-03,5.00000000e-03
0.72500000,5.7497477239e-03,5.00000000e-03
0.73000000,1.8282580798e-03,5.00000000e-03
0.73500000,-6.7738952398e-03,5.00000000e-03
0.74000000,7.9323254304e-03,5.00000000e-03
0.74500000,-3.9678313753e-03,5.00000000e-03
0.75000000,-2.5279281527e-03,5.00000000e-03
0.75500000,6.2980189911e-03,5.00000000e-03
0.76000000,-5.4739292919e-03,5.00000000e-03
0.76500000,2.8924907122e-03,5.00000000e-03
0.77000000,2.0054363688e-03,5.00000000e-03
0.77500000,-3.4097715245e-03,5.00000000e-03
0.78000000,4.7188155941e-03,5.00000000e-03
0.78500000,-3.3967193428e-03,5.00000000e-03
0.79000000,1.4608837946e-04,5.00000000e-03
0.79500000,2.9206817681e-03,5.00000000e-03
0.80000000,-4.3890534942e-03,5.00000000e-03
0.80500000,4.7251960880e-03,5.00000000e-03
0.81000000,-4.4545237827e-04,5.00000000e-03
0.81500000,-3.2701328433e-03,5.00000000e-03
0.82000000,5.6428422352e-03,5.00000000e-03
