time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0102568385e-08,5.00000000e-03
0.01000000,1.6399898840e-07,5.00000000e-03
0.01500000,2.5182457385e-07,5.00000000e-03
0.02000000,3.4405632078e-07,5.00000000e-03
0.02500000,4.5000545614e-07,5.00000000e-03
0.03000000,7.2901760796e-07,5.00000000e-03
0.03500000,2.6543321843e-06,5.00000000e-03
0.04000000,1.2479054770e-05,5.00000000e-03
0.04500000,4.2351668369e-05,5.00000000e-03
0.05000000,8.5969563093e-05,5.00000000e-03
0.05500000,9.0309479855e-05,5.00000000e-03
0.06000000,3.8515686520e-05,5.00000000e-03
0.06500000,4.2580596588e-05,5.00000000e-03
0.07000000,1.1627024594e-04,5.00000000e-03
0.07500000,7.8274587134e-05,5.00000000e-03
0.08000000,2.2475769530e-05,5.00000000e-03
0.08500000,1.2515119984e-04,5.00000000e-03
0.09000000,1.0691725051e-04,5.00000000e-03
0.09500000,1.0746290082e-05,5.00000000e-03
0.10000000,1.4739904884e-04,5.00000000e-03
0.10500000,1.1680790238e-04,5.00000000e-03
0.11000000,-6.9353859229e-06,5.00000000e-03
0.11500000,1.8930323174e-04,5.00000000e-03
0.12000000,9.3403328910e-05,5.00000000e-03
0.12500000,-3.9983931623e-05,5.00000000e-03
0.13000000,2.0552163362e-04,5.00000000e-03
0.13500000,-4.6970111361e-05,5.00000000e-03
0.14000000,-9.2276600095e-05,5.00000000e-03
0.14500000,2.7164512062e-04,5.00000000e-03
0.15000000,-8.4726552553e-05,5.00000000e-03
0.15500000,7.3368937977e-05,5.00000000e-03
0.16000000,2.2723831114e-04,5.00000000e-03
0.16500000,-3.5072448558e-04,5.00000000e-03
0.17000000,3.3865779848e-04,5.00000000e-03
0.17500000,2.5722011041e-04,5.00000000e-03
0.18000000,-4.8801479163e-04,5.00000000e-03
0.18500000,4.8136897315e-04,5.00000000e-03
0.19000000,3.2288691574e-05,5.00000000e-03
0.19500000,-2.1606344536e-04,5.00000000e-03
0.20000000,5.0592338968e-04,5.00000000e-03
0.20500000,-5.2063943229e-04,5.00000000e-03
0.21000000,5.8407629259e-04,5.00000000e-03
0.21500000,3.4805446850e-04,5.00000000e-03
0.22000000,-8.9805619728e-04,5.00000000e-03
0.22500000,1.6485381503e-03,5.00000000e-03
0.23000000,-4.8943378169e-04,5.00000000e-03
0.23500000,-9.7297537374e-04,5.00000000e-03
0.24000000,1.9956708347e-03,5.00000000e-03
0.24500000,-1.4656858249e-03,5.00000000e-03
0.25000000,2.3680768806e-04,5.00000000e-03
0.25500000,1.5310411977e-03,5.00000000e-03
0.26000000,-1.7142629510e-03,5.00000000e-03
0.26500000,1.2854211113e-03,5.00000000e-03
0.27000000,4.2433617600e-04,5.00000000e-03
0.27500000,-6.2978707774e-04,5.00000000e-03
0.28000000,9.8503302445e-04,5.00000000e-03
0.28500000,-1.0319158157e-03,5.00000000e-03
0.29000000,1.3057221330e-03,5.00000000e-03
0.29500000,-2.7319862161e-04,5.00000000e-03
0.30000000,-9.5729280646e-04,5.00000000e-03
0.30500000,2.0131143975e-03,5.00000000e-03
0.31000000,-2.2886302499e-03,5.00000000e-03
0.31500000,1.8133899571e-03,5.00000000e-03
0.32000000,5.8124383896e-04,5.00000000e-03
0.32500000,-2.0811617792e-03,5.00000000e-03
0.33000000,3.8372034772e-03,5.00000000e-03
0.33500000,-3.1994444296e-03,5.00000000e-03
0.34000000,2.5007599184e-04,5.00000000e-03
0.34500000,3.2750723713e-03,5.00000000e-03
0.35000000,-4.4860549960e-03,5.00000000e-03
0.35500000,3.3437678202e-03,5.00000000e-03
0.36000000,2.3950913291e-04,5.00000000e-03
0.36500000,-2.9430435001e-03,5.00000000e-03
0.37000000,4.4309329244e-03,5.00000000e-03
0.37500000,-2.8768773644e-03,5.00000000e-03
0.38000000,8.6910333563e-05,5.00000000e-03
0.38500000,2.5603052419e-03,5.00000000e-03
0.39000000,-2.8495817973e-03,5.00000000e-03
0.39500000,3.1204448487e-03,5.00000000e-03
0.40000000,-1.4242572898e-03,5.00000000e-03
0.40500000,-1.4199091991e-03,5.00000000e-03
0.41000000,3.6076838665e-03,5.00000000e-03
0.41500000,-3.7199250739e-03,5.00000000e-03
0.42000000,1.7137630771e-03,5.00000000e-03
0.42500000,2.1916623299e-03,5.00000000e-03
0.43000000,-3.1600741139e-03,5.00000000e-03
0.43500000,2.9696755098e-03,5.00000000e-03
0.44000000,-5.7970135263e-04,5.00000000e-03
0.44500000,-7.9227560564e-04,5.00000000e-03
0.45000000,2.2114732759e-03,5.00000000e-03
0.45500000,-2.0789750321e-03,5.00000000e-03
0.46000000,1.2075837200e-03,5.00000000e-03
0.46500000,9.7847906835e-04,5.00000000e-03
0.47000000,-1.4063088817e-03,5.00000000e-03
0.47500000,1.4122881605e-03,5.00000000e-03
0.48000000,2.3104672357e-04,5.00000000e-03
0.48500000,-1.6394930824e-04,5.00000000e-03
0.49000000,6.7933150981e-04,5.00000000e-03
0.49500000,3.7816840132e-04,5.00000000e-03
0.50000000,-3.3061326392e-04,5.00000000e-03
0.50500000,-3.0413263062e-06,5.00000000e-03
0.51000000,2.0252453921e-03,5.00000000e-03
0.51500000,-1.6218953455e-03,5.00000000e-03
0.52000000,1.8976256025e-04,5.00000000e-03
0.52500000,2.3773493981e-03,5.00000000e-03
0.53000000,-3.0956949262e-03,5.00000000e-03
0.53500000,1.8140630984e-03,5.00000000e-03
0.54000000,1.6357081043e-03,5.00000000e-03
0.54500000,-1.7360835312e-03,5.00000000e-03
0.55000000,2.5074078133e-03,5.00000000e-03
0.55500000,-1.5693560152e-03,5.00000000e-03
0.56000000,8.3302537047e-04,5.00000000e-03
0.56500000,1.5720373759e-03,5.00000000e-03
0.57000000,-2.7592754767e-03,5.00000000e-03
0.57500000,3.3514278183e-03,5.00000000e-03
0.58000000,-6.9737304831e-04,5.00000000e-03
0.58500000,-9.6808531228e-04,5.00000000e-03
0.59000000,2.5208301273e-03,5.00000000e-03
0.59500000,-3.0102088135e-03,5.00000000e-03
0.60000000,2.6573991377e-03,5.00000000e-03
0.60500000,-2.9586472976e-04,5.00000000e-03
0.61000000,-1.9495713308e-03,5.00000000e-03
0.61500000,3.3659661672e-03,5.00000000e-03
0.62000000,-3.3190377117e-03,5.00000000e-03
0.62500000,1.9112362521e-03,5.00000000e-03
0.63000000,1.1335452101e-03,5.00000000e-03
0.63500000,-2.5737892791e-03,5.00000000e-03
0.64000000,4.4389226685e-03,5.00000000e-03
0.64500000,-2.2850130944e-03,5.00000000e-03
0.65000000,-1.4472899943e-04,5.00000000e-03
0.65500000,2.5173007802e-03,5.00000000e-03
0.66000000,-2.2638823358e-03,5.00000000e-03
0.66500000,3.0525899974e-03,5.00000000e-03
0.67000000,-2.3725872148e-03,5.00000000e-03
0.67500000,7.7631597501e-04,5.00000000e-03
0.68000000,3.1055751646e-03,5.00000000e-03
0.68500000,-4.6475144116e-03,5.00000000e-03
0.69000000,4.7325862079e-03,5.00000000e-03
0.69500000,-9.6491803788e-04,5.00000000e-03
0.70000000,-2.7621218890e-03,5.00000000e-03
0.70500000,5.7372401433e-03,5.00000000e-03
0.71000000,-4.7243619132e-03,5.00000000e-03
0.71500000,2.5405349533e-03,5.00000000e-03
0.72000000,2.7473517794e-03,5.00000000e-03
0.72500000,-4.7805160980e-03,5.00000000e-03
0.73000000,5.4866255855e-03,5.00000000e-03
0.73500000,-3.2480304729e-03,5.00000000e-03
0.74000000,-8.7043101617e-04,5.00000000e-03
0.74500000,4.4534587619e-03,5.00000000e-03
0.75000000,-5.6236320128e-03,5.00000000e-03
0.75500000,4.4213020594e-03,5.00000000e-03
0.76000000,6.4914251760e-04,5.00000000e-03
0.76500000,-3.5393295533e-03,5.00000000e-03
0.77000000,4.9808239154e-03,5.00000000e-03
0.77500000,-3.4004696853e-03,5.00000000e-03
0.78000000,1.7145381616e-03,5.00000000e-03
0.78500000,1.7916060463e-03,5.00000000e-03
0.79000000,-4.1852020546e-03,5.00000000e-03
0.79500000,5.4952878954e-03,5.00000000e-03
0.80000000,-2.7640651383e-03,5.00000000e-03
0.80500000,-1.4180876685e-03,5.00000000e-03
0.81000000,4.9594827414e-03,5.00000000e-03
0.81500000,-4.0554016818e-03,5.00000000e-03
0.82000000,3.4242593988e-03,5.00000000e-03
