time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0102568385e-08,5.00000000e-03
0.01000000,1.6399898840e-07,5.00000000e-03
0.01500000,2.5182457385e-07,5.00000000e-03
0.02000000,3.4405632078e-07,5.00000000e-03
0.02500000,4.5000545614e-07,5.00000000e-03
0.03000000,7.2901760796e-07,5.00000000e-03
0.03500000,2.5857215463e-06,5.00000000e-03
0.04000000,1.2367967221e-05,5.00000000e-03
0.04500000,4.2325407225e-05,5.00000000e-03
0.05000000,8.6482270609e-05,5.00000000e-03
0.05500000,9.0892742533e-05,5.00000000e-03
0.06000000,3.7559503425e-05,5.00000000e-03
0.06500000,4.0561646885e-05,5.00000000e-03
0.07000000,1.1904357282e-04,5.00000000e-03
0.07500000,8.1879644394e-05,5.00000000e-03
0.08000000,1.1605676862e-05,5.00000000e-03
0.08500000,1.2930205660e-04,5.00000000e-03
0.09000000,1.2438356176e-04,5.00000000e-03
0.09500000,-1.9647137227e-05,5.00000000e-03
0.10000000,1.5586061798e-04,5.00000000e-03
0.10500000,1.5876337637e-04,5.00000000e-03
0.11000000,-7.8188309234e-05,5.00000000e-03
0.11500000,2.2320607017e-04,5.00000000e-03
0.12000000,1.6165691552e-04,5.00000000e-03
0.12500000,-1.8529931072e-04,5.00000000e-03
0.13000000,3.2868473132e-04,5.00000000e-03
0.13500000,3.2262524574e-06,5.00000000e-03
0.14000000,-3.3656344345e-04,5.00000000e-03
0.14500000,5.6620039005e-04,5.00000000e-03
0.15000000,-1.7781762847e-04,5.00000000e-03
0.15500000,-1.6866709287e-04,5.00000000e-03
0.16000000,7.3421347559e-04,5.00000000e-03
0.16500000,-9.5595223361e-04,5.00000000e-03
0.17000000,4.0654707976e-04,5.00000000e-03
0.17500000,9.8384520052e-04,5.00000000e-03
0.18000000,-1.5092047633e-03,5.00000000e-03
0.18500000,1.1661439722e-03,5.00000000e-03
0.19000000,1.6204162036e-04,5.00000000e-03
0.19500000,-9.3246089138e-04,5.00000000e-03
0.20000000,1.5190456100e-03,5.00000000e-03
0.20500000,-1.8579202608e-03,5.00000000e-03
0.21000000,1.5229213895e-03,5.00000000e-03
0.21500000,8.5986842033e-04,5.00000000e-03
0.22000000,-2.3383908996e-03,5.00000000e-03
0.22500000,3.7643345579e-03,5.00000000e-03
0.23000000,-2.1580323138e-03,5.00000000e-03
0.23500000,-1.6291007514e-03,5.00000000e-03
0.24000000,3.6411431072e-03,5.00000000e-03
0.24500000,-3.4265205015e-03,5.00000000e-03
0.25000000,1.3700206108e-03,5.00000000e-03
0.25500000,2.1297884970e-03,5.00000000e-03
0.26000000,-2.5353083457e-03,5.00000000e-03
0.26500000,2.2547786367e-03,5.00000000e-03
0.27000000,-9.5000337682e-05,5.00000000e-03
0.27500000,-4.4652486291e-04,5.00000000e-03
0.28000000,5.7085952868e-04,5.00000000e-03
0.28500000,-5.2022689593e-04,5.00000000e-03
0.29000000,1.5919704097e-03,5.00000000e-03
0.29500000,-1.9959273807e-03,5.00000000e-03
0.30000000,1.4827957004e-03,5.00000000e-03
0.30500000,8.8097106773e-04,5.00000000e-03
0.31000000,-2.5891953080e-03,5.00000000e-03
0.31500000,4.3078822383e-03,5.00000000e-03
0.32000000,-3.4737942912e-03,5.00000000e-03
0.32500000,5.1151080506e-04,5.00000000e-03
0.33000000,3.8740273729e-03,5.00000000e-03
0.33500000,-6.3188161891e-03,5.00000000e-03
0.34000000,4.9847888602e-03,5.00000000e-03
0.34500000,6.0998353712e-04,5.00000000e-03
0.35000000,-5.2717421092e-03,5.00000000e-03
0.35500000,6.8690037935e-03,5.00000000e-03
0.36000000,-3.8790577374e-03,5.00000000e-03
0.36500000,-1.8274348580e-03,5.00000000e-03
0.37000000,5.1291718113e-03,5.00000000e-03
0.37500000,-5.1264393431e-03,5.00000000e-03
0.38000000,3.0915841057e-03,5.00000000e-03
0.38500000,1.7764472689e-03,5.00000000e-03
0.39000000,-3.0843697818e-03,5.00000000e-03
0.39500000,4.2548629671e-03,5.00000000e-03
0.40000000,-2.9230840177e-03,5.00000000e-03
0.40500000,1.4827364110e-04,5.00000000e-03
0.41000000,2.9745373379e-03,5.00000000e-03
0.41500000,-4.0452964587e-03,5.00000000e-03
0.42000000,3.3329715894e-03,5.00000000e-03
0.42500000,3.5850207813e-05,5.00000000e-03
0.43000000,-2.5626102126e-03,5.00000000e-03
0.43500000,3.9830501047e-03,5.00000000e-03
0.44000000,-2.3662625018e-03,5.00000000e-03
0.44500000,1.3391792724e-05,5.00000000e-03
0.45000000,2.6754976685e-03,5.00000000e-03
0.45500000,-3.2356223087e-03,5.00000000e-03
0.46000000,2.4128119425e-03,5.00000000e-03
0.46500000,1.3741829116e-03,5.00000000e-03
0.47000000,-2.9086619678e-03,5.00000000e-03
0.47500000,3.1474734001e-03,5.00000000e-03
0.48000000,2.5679098471e-04,5.00000000e-03
0.48500000,-2.1943704296e-03,5.00000000e-03
0.49000000,3.2256178981e-03,5.00000000e-03
0.49500000,-1.2992818601e-04,5.00000000e-03
0.50000000,-2.1261128150e-03,5.00000000e-03
0.50500000,3.1986387139e-03,5.00000000e-03
0.51000000,6.7207324612e-05,5.00000000e-03
0.51500000,-1.6969680526e-03,5.00000000e-03
0.52000000,2.7929914060e-03,5.00000000e-03
0.52500000,-1.3340503212e-03,5.00000000e-03
0.53000000,-1.0582192040e-03,5.00000000e-03
0.53500000,2.6441519090e-03,5.00000000e-03
0.54000000,-2.1257567134e-03,5.00000000e-03
0.54500000,1.0740966006e-03,5.00000000e-03
0.55000000,1.5030036191e-03,5.00000000e-03
0.55500000,-1.6038974509e-03,5.00000000e-03
0.56000000,2.4904561760e-03,5.00000000e-03
0.56500000,-1.2523033864e-03,5.00000000e-03
0.57000000,-1.3149383340e-04,5.00000000e-03
0.57500000,1.7456673076e-03,5.00000000e-03
0.58000000,-1.7897481109e-03,5.00000000e-03
0.58500000,2.7006886096e-03,5.00000000e-03
0.59000000,-1.8743874666e-03,5.00000000e-03
0.59500000,1.0511818137e-04,5.00000000e-03
0.60000000,2.1985454722e-03,5.00000000e-03
0.60500000,-3.0813527202e-03,5.00000000e-03
0.61000000,4.3821441028e-03,5.00000000e-03
0.61500000,-2.1688617490e-03,5.00000000e-03
0.62000000,-1.7909562136e-03,5.00000000e-03
0.62500000,3.7303952645e-03,5.00000000e-03
0.63000000,-3.8402227252e-03,5.00000000e-03
0.63500000,3.1214149001e-03,5.00000000e-03
0.64000000,7.8437484471e-05,5.00000000e-03
0.64500000,-1.9905601563e-03,5.00000000e-03
0.65000000,3.9516219372e-03,5.00000000e-03
0.65500000,-4.3497150135e-03,5.00000000e-03
0.66000000,4.1562339414e-03,5.00000000e-03
0.66500000,-2.3301243273e-05,5.00000000e-03
0.67000000,-3.2164714230e-03,5.00000000e-03
0.67500000,6.6324536355e-03,5.00000000e-03
0.68000000,-5.5918746762e-03,5.00000000e-03
0.68500000,2.5227753072e-03,5.00000000e-03
0.69000000,4.6200309043e-03,5.00000000e-03
0.69500000,-7.0293879416e-03,5.00000000e-03
0.70000000,8.2133000649e-03,5.00000000e-03
0.70500000,-2.7367366452e-03,5.00000000e-03
0.71000000,-3.4837209629e-03,5.00000000e-03
0.71500000,7.6541074331e-03,5.00000000e-03
0.72000000,-8.1339956494e-03,5.00000000e-03
0.72500000,4.1918273438e-03,5.00000000e-03
0.73000000,3.5002518606e-03,5.00000000e-03
0.73500000,-7.1865531257e-03,5.00000000e-03
0.74000000,8.0163604254e-03,5.00000000e-03
0.74500000,-3.4547312135e-03,5.00000000e-03
0.75000000,-2.3686016005e-03,5.00000000e-03
0.75500000,5.6156746550e-03,5.00000000e-03
0.76000000,-5.8588365280e-03,5.00000000e-03
0.76500000,5.0686364787e-03,5.00000000e-03
0.77000000,-8.0550975330e-04,5.00000000e-03
0.77500000,-4.5476391220e-03,5.00000000e-03
0.78000000,7.2078438974e-03,5.00000000e-03
0.78500000,-6.3404375684e-03,5.00000000e-03
0.79000000,1.9670916200e-03,5.00000000e-03
0.79500000,4.4684051174e-03,5.00000000e-03
0.80000000,-6.2680678176e-03,5.00000000e-03
0.80500000,7.3748984586e-03,5.00000000e-03
0.81000000,-2.3645197715e-03,5.00000000e-03
0.81500000,-2.9602124440e-03,5.00000000e-03
0.82000000,6.5846333433e-03,5.00000000e-03
