time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0102568385e-08,5.00000000e-03
0.01000000,1.6399898840e-07,5.00000000e-03
0.01500000,2.5182457385e-07,5.00000000e-03
0.02000000,3.4405632078e-07,5.00000000e-03
0.02500000,4.5000545614e-07,5.00000000e-03
0.03000000,7.2901760796e-07,5.00000000e-03
0.03500000,2.5857215463e-06,5.00000000e-03
0.04000000,1.2367967221e-05,5.00000000e-03
0.04500000,4.2325407225e-05,5.00000000e-03
0.05000000,8.6482270609e-05,5.00000000e-03
0.05500000,9.0892742533e-05,5.00000000e-03
0.06000000,3.7559503425e-05,5.00000000e-03
0.06500000,4.0561646885e-05,5.00000000e-03
0.07000000,1.1904357278e-04,5.00000000e-03
0.07500000,8.1879476506e-05,5.00000000e-03
0.08000000,1.1595991243e-05,5.00000000e-03
0.08500000,1.2922478636e-04,5.00000000e-03
0.09000000,1.2436921608e-04,5.00000000e-03
0.09500000,-1.9042465404e-05,5.00000000e-03
0.10000000,1.5579911068e-04,5.00000000e-03
0.10500000,1.5723812120e-04,5.00000000e-03
0.11000000,-7.6594267169e-05,5.00000000e-03
0.11500000,2.2374853335e-04,5.00000000e-03
0.12000000,1.5755852097e-04,5.00000000e-03
0.12500000,-1.8003323802e-04,5.00000000e-03
0.13000000,3.2748928987e-04,5.00000000e-03
0.13500000,-5.2132076545e-06,5.00000000e-03
0.14000000,-3.2124188579e-04,5.00000000e-03
0.14500000,5.5617143679e-04,5.00000000e-03
0.15000000,-1.8441483824e-04,5.00000000e-03
0.15500000,-1.4631423225e-04,5.00000000e-03
0.16000000,6.9756076260e-04,5.00000000e-03
0.16500000,-9.1206833488e-04,5.00000000e-03
0.17000000,4.1278854183e-04,5.00000000e-03
0.17500000,8.9957239145e-04,5.00000000e-03
0.18000000,-1.3876398506e-03,5.00000000e-03
0.18500000,1.0830833587e-03,5.00000000e-03
0.19000000,1.2299755775e-04,5.00000000e-03
0.19500000,-7.8798952987e-04,5.00000000e-03
0.20000000,1.3071897155e-03,5.00000000e-03
0.20500000,-1.6515144873e-03,5.00000000e-03
0.21000000,1.5185952609e-03,5.00000000e-03
0.21500000,5.9666436348e-04,5.00000000e-03
0.22000000,-1.9685690447e-03,5.00000000e-03
0.22500000,3.5191982552e-03,5.00000000e-03
0.23000000,-2.2657558741e-03,5.00000000e-03
0.23500000,-1.1839904514e-03,5.00000000e-03
0.24000000,3.1888349065e-03,5.00000000e-03
0.24500000,-3.1568461251e-03,5.00000000e-03
0.25000000,1.5454120748e-03,5.00000000e-03
0.25500000,1.6261521534e-03,5.00000000e-03
0.26000000,-2.1117539573e-03,5.00000000e-03
0.26500000,2.0699945707e-03,5.00000000e-03
0.27000000,-2.6253301797e-04,5.00000000e-03
0.27500000,3.7020667496e-05,5.00000000e-03
0.28000000,3.2321439261e-04,5.00000000e-03
0.28500000,-6.5298546898e-04,5.00000000e-03
0.29000000,1.9617566549e-03,5.00000000e-03
0.29500000,-2.7382048694e-03,5.00000000e-03
0.30000000,2.4111115544e-03,5.00000000e-03
0.30500000,6.1438745236e-04,5.00000000e-03
0.31000000,-2.6956863370e-03,5.00000000e-03
0.31500000,4.7926037449e-03,5.00000000e-03
0.32000000,-3.9546759637e-03,5.00000000e-03
0.32500000,8.5619336646e-04,5.00000000e-03
0.33000000,3.8133933422e-03,5.00000000e-03
0.33500000,-6.1771479149e-03,5.00000000e-03
0.34000000,5.1368120344e-03,5.00000000e-03
0.34500000,-6.7118350466e-05,5.00000000e-03
0.35000000,-4.8733837514e-03,5.00000000e-03
0.35500000,6.6869644906e-03,5.00000000e-03
0.36000000,-3.9536945696e-03,5.00000000e-03
0.36500000,-1.5037319244e-03,5.00000000e-03
0.37000000,4.7818038521e-03,5.00000000e-03
0.37500000,-4.7048402325e-03,5.00000000e-03
0.38000000,2.8308675690e-03,5.00000000e-03
0.38500000,1.6028618772e-03,5.00000000e-03
0.39000000,-2.4477360058e-03,5.00000000e-03
0.39500000,3.4145878487e-03,5.00000000e-03
0.40000000,-2.4661512823e-03,5.00000000e-03
0.40500000,4.7059141261e-04,5.00000000e-03
0.41000000,2.5576926659e-03,5.00000000e-03
0.41500000,-3.2241178433e-03,5.00000000e-03
0.42000000,2.9945495960e-03,5.00000000e-03
0.42500000,-4.5292505850e-04,5.00000000e-03
0.43000000,-2.0543788606e-03,5.00000000e-03
0.43500000,3.3354415271e-03,5.00000000e-03
0.44000000,-2.1745019274e-03,5.00000000e-03
0.44500000,1.5561550883e-04,5.00000000e-03
0.45000000,2.0978098925e-03,5.00000000e-03
0.45500000,-2.1801304708e-03,5.00000000e-03
0.46000000,1.4018387839e-03,5.00000000e-03
0.46500000,1.1643919264e-03,5.00000000e-03
0.47000000,-2.0398399259e-03,5.00000000e-03
0.47500000,1.8187068389e-03,5.00000000e-03
0.48000000,1.3028932756e-03,5.00000000e-03
0.48500000,-2.0517110199e-03,5.00000000e-03
0.49000000,2.1301236081e-03,5.00000000e-03
0.49500000,1.5411038194e-03,5.00000000e-03
0.50000000,-3.1056618605e-03,5.00000000e-03
0.50500000,3.2838802380e-03,5.00000000e-03
0.51000000,1.1819601252e-03,5.00000000e-03
0.51500000,-3.3189392258e-03,5.00000000e-03
0.52000000,4.1800274236e-03,5.00000000e-03
0.52500000,-1.4738960909e-03,5.00000000e-03
0.53000000,-2.0627827525e-03,5.00000000e-03
0.53500000,3.9033772928e-03,5.00000000e-03
0.54000000,-3.2137867400e-03,5.00000000e-03
0.54500000,1.6256028416e-03,5.00000000e-03
0.55000000,2.0009896452e-03,5.00000000e-03
0.55500000,-2.2128546670e-03,5.00000000e-03
0.56000000,3.1575066696e-03,5.00000000e-03
0.56500000,-2.1306904508e-03,5.00000000e-03
0.57000000,2.6913688601e-04,5.00000000e-03
0.57500000,2.2645753282e-03,5.00000000e-03
0.58000000,-2.5340150109e-03,5.00000000e-03
0.58500000,3.4766542040e-03,5.00000000e-03
0.59000000,-2.4271168782e-03,5.00000000e-03
0.59500000,-1.9738705108e-05,5.00000000e-03
0.60000000,2.4254071212e-03,5.00000000e-03
0.60500000,-3.5245508280e-03,5.00000000e-03
0.61000000,4.1170199344e-03,5.00000000e-03
0.61500000,-1.9670807945e-03,5.00000000e-03
0.62000000,-2.0298874634e-03,5.00000000e-03
0.62500000,3.9386950146e-03,5.00000000e-03
0.63000000,-4.0268072363e-03,5.00000000e-03
0.63500000,3.1940532258e-03,5.00000000e-03
0.64000000,2.8936943683e-04,5.00000000e-03
0.64500000,-2.3014840542e-03,5.00000000e-03
0.65000000,4.3135083329e-03,5.00000000e-03
0.65500000,-4.5316596498e-03,5.00000000e-03
0.66000000,4.0439005667e-03,5.00000000e-03
0.66500000,4.0657016752e-04,5.00000000e-03
0.67000000,-3.5196468651e-03,5.00000000e-03
0.67500000,6.8481776386e-03,5.00000000e-03
0.68000000,-5.6612642855e-03,5.00000000e-03
0.68500000,2.3393237179e-03,5.00000000e-03
0.69000000,4.9229905888e-03,5.00000000e-03
0.69500000,-7.2723727712e-03,5.00000000e-03
0.70000000,7.8393750470e-03,5.00000000e-03
0.70500000,-2.1458404459e-03,5.00000000e-03
0.71000000,-4.1180321636e-03,5.00000000e-03
0.71500000,7.5509737300e-03,5.00000000e-03
0.72000000,-7.5824144572e-03,5.00000000e-03
0.72500000,3.8707537493e-03,5.00000000e-03
0.73000000,3.4967835889e-03,5.00000000e-03
0.73500000,-7.0937163097e-03,5.00000000e-03
0.74000000,7.9785321816e-03,5.00000000e-03
0.74500000,-3.3423869886e-03,5.00000000e-03
0.75000000,-2.6829722452e-03,5.00000000e-03
0.75500000,5.8156164440e-03,5.00000000e-03
0.76000000,-5.8526488841e-03,5.00000000e-03
0.76500000,4.9702706350e-03,5.00000000e-03
0.77000000,-4.2147549602e-04,5.00000000e-03
0.77500000,-3.9858386300e-03,5.00000000e-03
0.78000000,7.0212807552e-03,5.00000000e-03
0.78500000,-5.8524494556e-03,5.00000000e-03
0.79000000,1.1358676687e-03,5.00000000e-03
0.79500000,5.3002580992e-03,5.00000000e-03
0.80000000,-6.2333132523e-03,5.00000000e-03
0.80500000,6.0517317491e-03,5.00000000e-03
0.81000000,-1.0670619475e-03,5.00000000e-03
0.81500000,-3.3871151563e-03,5.00000000e-03
0.82000000,5.8380744110e-03,5.00000000e-03
