time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0102568385e-08,5.00000000e-03
0.01000000,1.6399898840e-07,5.00000000e-03
0.01500000,2.5182457385e-07,5.00000000e-03
0.02000000,3.4405632078e-07,5.00000000e-03
0.02500000,4.5000545614e-07,5.00000000e-03
0.03000000,7.2901760796e-07,5.00000000e-03
0.03500000,2.5982544877e-06,5.00000000e-03
0.04000000,1.2388281132e-05,5.00000000e-03
0.04500000,4.2327926815e-05,5.00000000e-03
0.05000000,8.6388956708e-05,5.00000000e-03
0.05500000,9.0790644750e-05,5.00000000e-03
0.06000000,3.7735683323e-05,5.00000000e-03
0.06500000,4.0920224410e-05,5.00000000e-03
0.07000000,1.1851348383e-04,5.00000000e-03
0.07500000,8.1148564177e-05,5.00000000e-03
0.08000000,1.3886047391e-05,5.00000000e-03
0.08500000,1.2857185872e-04,5.00000000e-03
0.09000000,1.1996740751e-04,5.00000000e-03
0.09500000,-1.2401529932e-05,5.00000000e-03
0.10000000,1.5500308393e-04,5.00000000e-03
0.10500000,1.4625495334e-04,5.00000000e-03
0.11000000,-5.9548817185e-05,5.00000000e-03
0.11500000,2.1843192268e-04,5.00000000e-03
0.12000000,1.3694398228e-04,5.00000000e-03
0.12500000,-1.4206573107e-04,5.00000000e-03
0.13000000,3.0125545798e-04,5.00000000e-03
0.13500000,-2.7595626889e-05,5.00000000e-03
0.14000000,-2.6663660266e-04,5.00000000e-03
0.14500000,4.8972292410e-04,5.00000000e-03
0.15000000,-1.8019067466e-04,5.00000000e-03
0.15500000,-6.3445910118e-05,5.00000000e-03
0.16000000,5.7547825077e-04,5.00000000e-03
0.16500000,-8.0282966106e-04,5.00000000e-03
0.17000000,4.5801926157e-04,5.00000000e-03
0.17500000,7.5634000744e-04,5.00000000e-03
0.18000000,-1.2212445593e-03,5.00000000e-03
0.18500000,9.5919098439e-04,5.00000000e-03
0.19000000,1.2006865946e-04,5.00000000e-03
0.19500000,-6.8148602343e-04,5.00000000e-03
0.20000000,1.1615727227e-03,5.00000000e-03
0.20500000,-1.4346452158e-03,5.00000000e-03
0.21000000,1.3004066954e-03,5.00000000e-03
0.21500000,6.5099280696e-04,5.00000000e-03
0.22000000,-1.9205113695e-03,5.00000000e-03
0.22500000,3.3200709675e-03,5.00000000e-03
0.23000000,-1.9754731490e-03,5.00000000e-03
0.23500000,-1.3694497624e-03,5.00000000e-03
0.24000000,3.2183277854e-03,5.00000000e-03
0.24500000,-2.9816822234e-03,5.00000000e-03
0.25000000,1.2021177602e-03,5.00000000e-03
0.25500000,1.8075165196e-03,5.00000000e-03
0.26000000,-2.1899314091e-03,5.00000000e-03
0.26500000,2.0459891917e-03,5.00000000e-03
0.27000000,-1.2117687454e-04,5.00000000e-03
0.27500000,-2.1810229339e-04,5.00000000e-03
0.28000000,4.8426942973e-04,5.00000000e-03
0.28500000,-5.8443959604e-04,5.00000000e-03
0.29000000,1.8714476980e-03,5.00000000e-03
0.29500000,-2.1691527705e-03,5.00000000e-03
0.30000000,1.3567945088e-03,5.00000000e-03
0.30500000,1.0066083422e-03,5.00000000e-03
0.31000000,-2.6181585793e-03,5.00000000e-03
0.31500000,4.3577419266e-03,5.00000000e-03
0.32000000,-3.3316938388e-03,5.00000000e-03
0.32500000,1.1342013346e-05,5.00000000e-03
0.33000000,4.0201969722e-03,5.00000000e-03
0.33500000,-6.1221389087e-03,5.00000000e-03
0.34000000,4.7132067493e-03,5.00000000e-03
0.34500000,1.2491111367e-03,5.00000000e-03
0.35000000,-5.2454580788e-03,5.00000000e-03
0.35500000,6.4258109705e-03,5.00000000e-03
0.36000000,-3.3453917701e-03,5.00000000e-03
0.36500000,-2.3491228458e-03,5.00000000e-03
0.37000000,5.2352410325e-03,5.00000000e-03
0.37500000,-4.8085201604e-03,5.00000000e-03
0.38000000,2.1307576495e-03,5.00000000e-03
0.38500000,2.4294650006e-03,5.00000000e-03
0.39000000,-2.9436204992e-03,5.00000000e-03
0.39500000,3.7301844324e-03,5.00000000e-03
0.40000000,-2.3830257266e-03,5.00000000e-03
0.40500000,-6.6410595239e-04,5.00000000e-03
0.41000000,3.0806957405e-03,5.00000000e-03
0.41500000,-3.5322132577e-03,5.00000000e-03
0.42000000,2.5686803067e-03,5.00000000e-03
0.42500000,1.0421301187e-03,5.00000000e-03
0.43000000,-2.6121910826e-03,5.00000000e-03
0.43500000,3.5296757247e-03,5.00000000e-03
0.44000000,-1.7452859344e-03,5.00000000e-03
0.44500000,-8.0977496226e-04,5.00000000e-03
0.45000000,2.8849924512e-03,5.00000000e-03
0.45500000,-2.9690983466e-03,5.00000000e-03
0.46000000,1.4668943304e-03,5.00000000e-03
0.46500000,2.0771064033e-03,5.00000000e-03
0.47000000,-3.1574882422e-03,5.00000000e-03
0.47500000,2.6991877185e-03,5.00000000e-03
0.48000000,1.1354793614e-03,5.00000000e-03
0.48500000,-2.8021467236e-03,5.00000000e-03
0.49000000,3.5432840140e-03,5.00000000e-03
0.49500000,-4.0962848246e-05,5.00000000e-03
0.50000000,-2.5028829824e-03,5.00000000e-03
0.50500000,3.7372293793e-03,5.00000000e-03
0.51000000,-5.8581849176e-04,5.00000000e-03
0.51500000,-1.8905092367e-03,5.00000000e-03
0.52000000,2.9403860697e-03,5.00000000e-03
0.52500000,-1.9186859244e-03,5.00000000e-03
0.53000000,-1.4777110258e-04,5.00000000e-03
0.53500000,2.1005547654e-03,5.00000000e-03
0.54000000,-1.9169710762e-03,5.00000000e-03
0.54500000,1.6106504905e-03,5.00000000e-03
0.55000000,5.3757773426e-04,5.00000000e-03
0.55500000,-9.4073234995e-04,5.00000000e-03
0.56000000,1.9322503667e-03,5.00000000e-03
0.56500000,-1.6432635652e-03,5.00000000e-03
0.57000000,9.7703691120e-04,5.00000000e-03
0.57500000,5.8312388276e-04,5.00000000e-03
0.58000000,-8.8575571985e-04,5.00000000e-03
0.58500000,2.0135498703e-03,5.00000000e-03
0.59000000,-2.5551530294e-03,5.00000000e-03
0.59500000,2.4885156659e-03,5.00000000e-03
0.60000000,1.9595852716e-04,5.00000000e-03
0.60500000,-2.0007777992e-03,5.00000000e-03
0.61000000,4.3848241560e-03,5.00000000e-03
0.61500000,-3.8269010836e-03,5.00000000e-03
0.62000000,1.0808572382e-03,5.00000000e-03
0.62500000,3.1048866458e-03,5.00000000e-03
0.63000000,-3.9813760249e-03,5.00000000e-03
0.63500000,4.7133501744e-03,5.00000000e-03
0.64000000,-2.1159984717e-03,5.00000000e-03
0.64500000,-6.7689948163e-04,5.00000000e-03
0.65000000,3.4912428307e-03,5.00000000e-03
0.65500000,-4.4801342498e-03,5.00000000e-03
0.66000000,5.1030949471e-03,5.00000000e-03
0.66500000,-1.6341576113e-03,5.00000000e-03
0.67000000,-3.1172354876e-03,5.00000000e-03
0.67500000,6.6654246021e-03,5.00000000e-03
0.68000000,-6.6810564448e-03,5.00000000e-03
0.68500000,3.4019271960e-03,5.00000000e-03
0.69000000,3.7444105170e-03,5.00000000e-03
0.69500000,-6.5782060253e-03,5.00000000e-03
0.70000000,8.5086085355e-03,5.00000000e-03
0.70500000,-3.2809304872e-03,5.00000000e-03
0.71000000,-3.0788614186e-03,5.00000000e-03
0.71500000,7.5229080733e-03,5.00000000e-03
0.72000000,-8.0020719876e-03,5.00000000e-03
0.72500000,4.1208360518e-03,5.00000000e-03
0.73000000,4.0293865197e-03,5.00000000e-03
0.73500000,-7.8249660940e-03,5.00000000e-03
0.74000000,7.7665690542e-03,5.00000000e-03
0.74500000,-2.3101592476e-03,5.00000000e-03
0.75000000,-4.2227361257e-03,5.00000000e-03
0.75500000,6.5939685526e-03,5.00000000e-03
0.76000000,-4.7795078906e-03,5.00000000e-03
0.76500000,2.3374754287e-03,5.00000000e-03
0.77000000,2.4692764016e-03,5.00000000e-03
0.77500000,-3.5609024475e-03,5.00000000e-03
0.78000000,4.7427695092e-03,5.00000000e-03
0.78500000,-3.8461254697e-03,5.00000000e-03
0.79000000,3.7205421256e-04,5.00000000e-03
0.79500000,3.7951152300e-03,5.00000000e-03
0.80000000,-5.0486111586e-03,5.00000000e-03
0.80500000,4.5990269361e-03,5.00000000e-03
0.81000000,-5.8308518600e-05,5.00000000e-03
0.81500000,-2.7577157061e-03,5.00000000e-03
0.82000000,5.7118349537e-03,5.00000000e-03
