time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0102568385e-08,5.00000000e-03
0.01000000,1.6399898840e-07,5.00000000e-03
0.01500000,2.5182457385e-07,5.00000000e-03
0.02000000,3.4405632078e-07,5.00000000e-03
0.02500000,4.5000545614e-07,5.00000000e-03
0.03000000,7.2901760796e-07,5.00000000e-03
0.03500000,2.5857162836e-06,5.00000000e-03
0.04000000,1.2367948245e-05,5.00000000e-03
0.04500000,4.2325406002e-05,5.00000000e-03
0.05000000,8.6482338933e-05,5.00000000e-03
0.05500000,9.0892999072e-05,5.00000000e-03
0.06000000,3.7563617368e-05,5.00000000e-03
0.06500000,4.0551911150e-05,5.00000000e-03
0.07000000,1.1904948553e-04,5.00000000e-03
0.07500000,8.1905977930e-05,5.00000000e-03
0.08000000,1.1554533988e-05,5.00000000e-03
0.08500000,1.2929287104e-04,5.00000000e-03
0.09000000,1.2450192554e-04,5.00000000e-03
0.09500000,-1.9812757763e-05,5.00000000e-03
0.10000000,1.5579937601e-04,5.00000000e-03
0.10500000,1.5913694675e-04,5.00000000e-03
0.11000000,-7.8676014481e-05,5.00000000e-03
0.11500000,2.2295788107e-04,5.00000000e-03
0.12000000,1.6249796245e-04,5.00000000e-03
0.12500000,-1.8507674314e-04,5.00000000e-03
0.13000000,3.3014471536e-04,5.00000000e-03
0.13500000,1.6492593237e-06,5.00000000e-03
0.14000000,-3.3926269537e-04,5.00000000e-03
0.14500000,5.7165003318e-04,5.00000000e-03
0.15000000,-1.8368653291e-04,5.00000000e-03
0.15500000,-1.6801219029e-04,5.00000000e-03
0.16000000,7.5561693069e-04,5.00000000e-03
0.16500000,-9.9990383272e-04,5.00000000e-03
0.17000000,4.0047171524e-04,5.00000000e-03
0.17500000,1.0531716557e-03,5.00000000e-03
0.18000000,-1.5653877172e-03,5.00000000e-03
0.18500000,1.1301640466e-03,5.00000000e-03
0.19000000,2.2607038571e-04,5.00000000e-03
0.19500000,-9.0763719499e-04,5.00000000e-03
0.20000000,1.4497347941e-03,5.00000000e-03
0.20500000,-1.8639440265e-03,5.00000000e-03
0.21000000,1.6877708962e-03,5.00000000e-03
0.21500000,7.4056952057e-04,5.00000000e-03
0.22000000,-2.3876931356e-03,5.00000000e-03
0.22500000,3.9878953624e-03,5.00000000e-03
0.23000000,-2.3318607091e-03,5.00000000e-03
0.23500000,-1.7569695663e-03,5.00000000e-03
0.24000000,3.9205115329e-03,5.00000000e-03
0.24500000,-3.6028003590e-03,5.00000000e-03
0.25000000,1.2817688081e-03,5.00000000e-03
0.25500000,2.4046216240e-03,5.00000000e-03
0.26000000,-2.7615019132e-03,5.00000000e-03
0.26500000,2.0090866876e-03,5.00000000e-03
0.27000000,3.6491645649e-04,5.00000000e-03
0.27500000,-5.3892417713e-04,5.00000000e-03
0.28000000,3.6121091074e-04,5.00000000e-03
0.28500000,-2.1440833354e-04,5.00000000e-03
0.29000000,1.5310912536e-03,5.00000000e-03
0.29500000,-2.3635987846e-03,5.00000000e-03
0.30000000,2.2024650333e-03,5.00000000e-03
0.30500000,6.7224177740e-04,5.00000000e-03
0.31000000,-2.7349247150e-03,5.00000000e-03
0.31500000,4.7520469240e-03,5.00000000e-03
0.32000000,-3.8820818746e-03,5.00000000e-03
0.32500000,6.0382787770e-04,5.00000000e-03
0.33000000,4.1241827988e-03,5.00000000e-03
0.33500000,-6.7173175180e-03,5.00000000e-03
0.34000000,5.4930747000e-03,5.00000000e-03
0.34500000,3.8451934280e-04,5.00000000e-03
0.35000000,-5.8832597837e-03,5.00000000e-03
0.35500000,7.7946102051e-03,5.00000000e-03
0.36000000,-4.4062782581e-03,5.00000000e-03
0.36500000,-2.4005920107e-03,5.00000000e-03
0.37000000,6.3813757826e-03,5.00000000e-03
0.37500000,-6.0656940244e-03,5.00000000e-03
0.38000000,2.6998814955e-03,5.00000000e-03
0.38500000,2.7688397104e-03,5.00000000e-03
0.39000000,-4.0504621921e-03,5.00000000e-03
0.39500000,5.1091862061e-03,5.00000000e-03
0.40000000,-3.2139508246e-03,5.00000000e-03
0.40500000,-8.1621713120e-04,5.00000000e-03
0.41000000,4.1908790024e-03,5.00000000e-03
0.41500000,-5.1587479662e-03,5.00000000e-03
0.42000000,3.7543627852e-03,5.00000000e-03
0.42500000,1.2321558782e-03,5.00000000e-03
0.43000000,-4.2625110937e-03,5.00000000e-03
0.43500000,5.5148100885e-03,5.00000000e-03
0.44000000,-2.7259704671e-03,5.00000000e-03
0.44500000,-1.6930079113e-03,5.00000000e-03
0.45000000,4.6865239882e-03,5.00000000e-03
0.45500000,-4.7045328597e-03,5.00000000e-03
0.46000000,2.1558429692e-03,5.00000000e-03
0.46500000,3.0064625192e-03,5.00000000e-03
0.47000000,-4.4110580911e-03,5.00000000e-03
0.47500000,4.0681969707e-03,5.00000000e-03
0.48000000,-8.4600336212e-05,5.00000000e-03
0.48500000,-3.1835927450e-03,5.00000000e-03
0.49000000,4.8548451336e-03,5.00000000e-03
0.49500000,-1.8919653168e-03,5.00000000e-03
0.50000000,-2.6397723474e-03,5.00000000e-03
0.50500000,4.5963244179e-03,5.00000000e-03
0.51000000,-2.1248494969e-03,5.00000000e-03
0.51500000,-1.1693243797e-03,5.00000000e-03
0.52000000,2.8426165137e-03,5.00000000e-03
0.52500000,-2.0948415367e-03,5.00000000e-03
0.53000000,2.0608046444e-04,5.00000000e-03
0.53500000,1.5665848689e-03,5.00000000e-03
0.54000000,-1.1966101932e-03,5.00000000e-03
0.54500000,6.3606555461e-04,5.00000000e-03
0.55000000,7.9281192499e-04,5.00000000e-03
0.55500000,-2.8385657470e-05,5.00000000e-03
0.56000000,2.5399985083e-04,5.00000000e-03
0.56500000,1.4486235555e-04,5.00000000e-03
0.57000000,8.7314879869e-04,5.00000000e-03
0.57500000,-9.9624672373e-04,5.00000000e-03
0.58000000,8.6911565183e-04,5.00000000e-03
0.58500000,1.0494917032e-03,5.00000000e-03
0.59000000,-1.6653030584e-03,5.00000000e-03
0.59500000,2.6844918764e-03,5.00000000e-03
0.60000000,-2.2434132220e-03,5.00000000e-03
0.60500000,4.1948554232e-04,5.00000000e-03
0.61000000,2.6291887422e-03,5.00000000e-03
0.61500000,-4.1037142670e-03,5.00000000e-03
0.62000000,3.7012510096e-03,5.00000000e-03
0.62500000,-1.0762864794e-03,5.00000000e-03
0.63000000,-2.5702394656e-03,5.00000000e-03
0.63500000,4.8861118459e-03,5.00000000e-03
0.64000000,-4.7308734014e-03,5.00000000e-03
0.64500000,3.0984119646e-03,5.00000000e-03
0.65000000,1.8203718176e-03,5.00000000e-03
0.65500000,-4.0368569140e-03,5.00000000e-03
0.66000000,6.9792349432e-03,5.00000000e-03
0.66500000,-4.9982409163e-03,5.00000000e-03
0.67000000,9.5130122129e-04,5.00000000e-03
0.67500000,5.6420800493e-03,5.00000000e-03
0.68000000,-8.1411454311e-03,5.00000000e-03
0.68500000,7.0677087649e-03,5.00000000e-03
0.69000000,-4.1274514327e-05,5.00000000e-03
0.69500000,-6.5251565844e-03,5.00000000e-03
0.70000000,9.8058535679e-03,5.00000000e-03
0.70500000,-5.7167269916e-03,5.00000000e-03
0.71000000,-5.3961285907e-04,5.00000000e-03
0.71500000,7.1671850833e-03,5.00000000e-03
0.72000000,-8.6284325402e-03,5.00000000e-03
0.72500000,5.5329593235e-03,5.00000000e-03
0.73000000,2.5179289167e-03,5.00000000e-03
0.73500000,-6.9176161604e-03,5.00000000e-03
0.74000000,7.8780265344e-03,5.00000000e-03
0.74500000,-3.5714150522e-03,5.00000000e-03
0.75000000,-2.7147813382e-03,5.00000000e-03
0.75500000,6.5469377925e-03,5.00000000e-03
0.76000000,-5.8939051815e-03,5.00000000e-03
0.76500000,3.0032043384e-03,5.00000000e-03
0.77000000,2.6269383883e-03,5.00000000e-03
0.77500000,-4.4842969800e-03,5.00000000e-03
0.78000000,5.2870144732e-03,5.00000000e-03
0.78500000,-2.9845160469e-03,5.00000000e-03
0.79000000,-1.4209344364e-03,5.00000000e-03
0.79500000,3.8179037534e-03,5.00000000e-03
0.80000000,-4.3008194998e-03,5.00000000e-03
0.80500000,3.9448972328e-03,5.00000000e-03
0.81000000,8.0508654788e-04,5.00000000e-03
0.81500000,-3.1123504873e-03,5.00000000e-03
0.82000000,5.2683426546e-03,5.00000000e-03
