time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0102568385e-08,5.00000000e-03
0.01000000,1.6399898840e-07,5.00000000e-03
0.01500000,2.5182457385e-07,5.00000000e-03
0.02000000,3.4405632078e-07,5.00000000e-03
0.02500000,4.5000545614e-07,5.00000000e-03
0.03000000,7.2901760796e-07,5.00000000e-03
0.03500000,2.6199361098e-06,5.00000000e-03
0.04000000,1.2320248465e-05,5.00000000e-03
0.04500000,4.2333474844e-05,5.00000000e-03
0.05000000,8.6518774027e-05,5.00000000e-03
0.05500000,9.0148823766e-05,5.00000000e-03
0.06000000,3.7893676472e-05,5.00000000e-03
0.06500000,4.3333815141e-05,5.00000000e-03
0.07000000,1.1572247724e-04,5.00000000e-03
0.07500000,7.8468331673e-05,5.00000000e-03
0.08000000,2.1359702669e-05,5.00000000e-03
0.08500000,1.2372272663e-04,5.00000000e-03
0.09000000,1.0950057565e-04,5.00000000e-03
0.09500000,6.8572777982e-06,5.00000000e-03
0.10000000,1.4588438690e-04,5.00000000e-03
0.10500000,1.2320929829e-04,5.00000000e-03
0.11000000,-1.7075716507e-05,5.00000000e-03
0.11500000,1.8916101116e-04,5.00000000e-03
0.12000000,1.0354933644e-04,5.00000000e-03
0.12500000,-6.2661668714e-05,5.00000000e-03
0.13000000,2.1916987887e-04,5.00000000e-03
0.13500000,-3.4802088356e-05,5.00000000e-03
0.14000000,-1.2962259569e-04,5.00000000e-03
0.14500000,3.1903887432e-04,5.00000000e-03
0.15000000,-9.1111997444e-05,5.00000000e-03
0.15500000,3.0141429508e-05,5.00000000e-03
0.16000000,3.2179398020e-04,5.00000000e-03
0.16500000,-4.4321066341e-04,5.00000000e-03
0.17000000,3.2861867289e-04,5.00000000e-03
0.17500000,3.8985725033e-04,5.00000000e-03
0.18000000,-6.8705271898e-04,5.00000000e-03
0.18500000,5.9396757714e-04,5.00000000e-03
0.19000000,8.7966458867e-05,5.00000000e-03
0.19500000,-4.1857423245e-04,5.00000000e-03
0.20000000,7.8341090000e-04,5.00000000e-03
0.20500000,-7.3416467523e-04,5.00000000e-03
0.21000000,5.3374251488e-04,5.00000000e-03
0.21500000,6.6543912924e-04,5.00000000e-03
0.22000000,-1.3567353989e-03,5.00000000e-03
0.22500000,2.1622217885e-03,5.00000000e-03
0.23000000,-5.7938091309e-04,5.00000000e-03
0.23500000,-1.2208754015e-03,5.00000000e-03
0.24000000,2.4031906041e-03,5.00000000e-03
0.24500000,-1.9168231945e-03,5.00000000e-03
0.25000000,5.1072442691e-04,5.00000000e-03
0.25500000,1.5467080536e-03,5.00000000e-03
0.26000000,-1.9166022380e-03,5.00000000e-03
0.26500000,1.7799065832e-03,5.00000000e-03
0.27000000,-3.5158675212e-05,5.00000000e-03
0.27500000,-4.0148878232e-04,5.00000000e-03
0.28000000,9.5588416114e-04,5.00000000e-03
0.28500000,-1.1945797052e-03,5.00000000e-03
0.29000000,1.6619735098e-03,5.00000000e-03
0.29500000,-7.0886335004e-04,5.00000000e-03
0.30000000,-5.6095989760e-04,5.00000000e-03
0.30500000,1.6948425082e-03,5.00000000e-03
0.31000000,-2.4466467835e-03,5.00000000e-03
0.31500000,2.5963960601e-03,5.00000000e-03
0.32000000,-5.2062418869e-04,5.00000000e-03
0.32500000,-1.9809540613e-03,5.00000000e-03
0.33000000,4.0112619980e-03,5.00000000e-03
0.33500000,-3.9241947412e-03,5.00000000e-03
0.34000000,1.5142149385e-03,5.00000000e-03
0.34500000,3.1934886794e-03,5.00000000e-03
0.35000000,-4.6662926974e-03,5.00000000e-03
0.35500000,4.0077831072e-03,5.00000000e-03
0.36000000,-6.9058258994e-04,5.00000000e-03
0.36500000,-3.1108515369e-03,5.00000000e-03
0.37000000,4.5034734561e-03,5.00000000e-03
0.37500000,-3.0480724220e-03,5.00000000e-03
0.38000000,5.8406880613e-04,5.00000000e-03
0.38500000,2.5663354111e-03,5.00000000e-03
0.39000000,-2.7009926253e-03,5.00000000e-03
0.39500000,2.8562403590e-03,5.00000000e-03
0.40000000,-1.0383862717e-03,5.00000000e-03
0.40500000,-1.0722376708e-03,5.00000000e-03
0.41000000,2.6104417769e-03,5.00000000e-03
0.41500000,-2.5131247739e-03,5.00000000e-03
0.42000000,1.6600123981e-03,5.00000000e-03
0.42500000,9.2001989540e-04,5.00000000e-03
0.43000000,-1.9132252926e-03,5.00000000e-03
0.43500000,2.5147326701e-03,5.00000000e-03
0.44000000,-9.9046999368e-04,5.00000000e-03
0.44500000,-5.8259490838e-05,5.00000000e-03
0.45000000,1.6555267163e-03,5.00000000e-03
0.45500000,-1.8488443156e-03,5.00000000e-03
0.46000000,1.2328581790e-03,5.00000000e-03
0.46500000,6.8207573407e-04,5.00000000e-03
0.47000000,-9.3016957048e-04,5.00000000e-03
0.47500000,1.1640544860e-03,5.00000000e-03
0.48000000,1.3910232937e-04,5.00000000e-03
0.48500000,-2.0866350356e-04,5.00000000e-03
0.49000000,4.5740780412e-04,5.00000000e-03
0.49500000,8.5156691280e-04,5.00000000e-03
0.50000000,-5.4179437347e-04,5.00000000e-03
0.50500000,-1.5085622716e-04,5.00000000e-03
0.51000000,2.2833447948e-03,5.00000000e-03
0.51500000,-2.2085906435e-03,5.00000000e-03
0.52000000,9.8350240760e-04,5.00000000e-03
0.52500000,1.8789047967e-03,5.00000000e-03
0.53000000,-2.9352766554e-03,5.00000000e-03
0.53500000,3.1298089232e-03,5.00000000e-03
0.54000000,-3.6188160929e-04,5.00000000e-03
0.54500000,-1.4795275882e-03,5.00000000e-03
0.55000000,3.0399177847e-03,5.00000000e-03
0.55500000,-2.7310530365e-03,5.00000000e-03
0.56000000,2.2704443815e-03,5.00000000e-03
0.56500000,8.3915220543e-04,5.00000000e-03
0.57000000,-2.1668489388e-03,5.00000000e-03
0.57500000,3.4724466256e-03,5.00000000e-03
0.58000000,-2.2891370536e-03,5.00000000e-03
0.58500000,7.2372633341e-04,5.00000000e-03
0.59000000,1.9484009058e-03,5.00000000e-03
0.59500000,-2.9151217560e-03,5.00000000e-03
0.60000000,3.5380798658e-03,5.00000000e-03
0.60500000,-2.1413474044e-03,5.00000000e-03
0.61000000,-1.9616646323e-05,5.00000000e-03
0.61500000,2.7108916820e-03,5.00000000e-03
0.62000000,-4.0685281795e-03,5.00000000e-03
0.62500000,3.3793286114e-03,5.00000000e-03
0.63000000,-5.3820515746e-04,5.00000000e-03
0.63500000,-1.9769157434e-03,5.00000000e-03
0.64000000,3.9192811527e-03,5.00000000e-03
0.64500000,-3.3329331382e-03,5.00000000e-03
0.65000000,2.4636122484e-03,5.00000000e-03
0.65500000,9.1685480003e-04,5.00000000e-03
0.66000000,-1.8232925987e-03,5.00000000e-03
0.66500000,3.8979542295e-03,5.00000000e-03
0.67000000,-3.2271474361e-03,5.00000000e-03
0.67500000,2.2369431424e-03,5.00000000e-03
0.68000000,1.8846294629e-03,5.00000000e-03
0.68500000,-3.3163546126e-03,5.00000000e-03
0.69000000,5.2529903242e-03,5.00000000e-03
0.69500000,-3.3850009528e-03,5.00000000e-03
0.70000000,3.3377059799e-04,5.00000000e-03
0.70500000,4.2446876600e-03,5.00000000e-03
0.71000000,-5.2186572022e-03,5.00000000e-03
0.71500000,4.8027063163e-03,5.00000000e-03
0.72000000,-9.4051530544e-04,5.00000000e-03
0.72500000,-3.5375153473e-03,5.00000000e-03
0.73000000,5.8215970481e-03,5.00000000e-03
0.73500000,-5.1313056215e-03,5.00000000e-03
0.74000000,2.1756400619e-03,5.00000000e-03
0.74500000,3.1836898064e-03,5.00000000e-03
0.75000000,-4.9686658638e-03,5.00000000e-03
0.75500000,5.7163248818e-03,5.00000000e-03
0.76000000,-2.5438673692e-03,5.00000000e-03
0.76500000,-1.2269108370e-03,5.00000000e-03
0.77000000,4.3665359439e-03,5.00000000e-03
0.77500000,-5.1576151817e-03,5.00000000e-03
0.78000000,4.4772539826e-03,5.00000000e-03
0.78500000,-7.0402153966e-04,5.00000000e-03
0.79000000,-3.7443737591e-03,5.00000000e-03
0.79500000,6.1033605667e-03,5.00000000e-03
0.80000000,-4.4817487570e-03,5.00000000e-03
0.80500000,1.6989117200e-03,5.00000000e-03
0.81000000,4.5244550289e-03,5.00000000e-03
0.81500000,-5.4462527119e-03,5.00000000e-03
0.82000000,5.7697705223e-03,5.00000000e-03
