time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0102568385e-08,5.00000000e-03
0.01000000,1.6399898840e-07,5.00000000e-03
0.01500000,2.5182457385e-07,5.00000000e-03
0.02000000,3.4405632078e-07,5.00000000e-03
0.02500000,4.5000545614e-07,5.00000000e-03
0.03000000,7.2901760796e-07,5.00000000e-03
0.03500000,2.6261508287e-06,5.00000000e-03
0.04000000,1.2349443215e-05,5.00000000e-03
0.04500000,4.2334861653e-05,5.00000000e-03
0.05000000,8.6417470998e-05,5.00000000e-03
0.05500000,9.0190590911e-05,5.00000000e-03
0.06000000,3.8000176866e-05,5.00000000e-03
0.06500000,4.3188381581e-05,5.00000000e-03
0.07000000,1.1582051953e-04,5.00000000e-03
0.07500000,7.8444428925e-05,5.00000000e-03
0.08000000,2.1519857387e-05,5.00000000e-03
0.08500000,1.2397928524e-04,5.00000000e-03
0.09000000,1.0906254958e-04,5.00000000e-03
0.09500000,7.4940965877e-06,5.00000000e-03
0.10000000,1.4621432015e-04,5.00000000e-03
0.10500000,1.2204606398e-04,5.00000000e-03
0.11000000,-1.5380975659e-05,5.00000000e-03
0.11500000,1.8943682017e-04,5.00000000e-03
0.12000000,1.0159124632e-04,5.00000000e-03
0.12500000,-5.8640491575e-05,5.00000000e-03
0.13000000,2.1725210445e-04,5.00000000e-03
0.13500000,-3.7448787872e-05,5.00000000e-03
0.14000000,-1.2269244327e-04,5.00000000e-03
0.14500000,3.1126696872e-04,5.00000000e-03
0.15000000,-9.1226619318e-05,5.00000000e-03
0.15500000,3.8678331459e-05,5.00000000e-03
0.16000000,3.0402371980e-04,5.00000000e-03
0.16500000,-4.2803186795e-04,5.00000000e-03
0.17000000,3.3382366882e-04,5.00000000e-03
0.17500000,3.6407018255e-04,5.00000000e-03
0.18000000,-6.5134308234e-04,5.00000000e-03
0.18500000,5.9019760233e-04,5.00000000e-03
0.19000000,6.9671221394e-05,5.00000000e-03
0.19500000,-3.8571736870e-04,5.00000000e-03
0.20000000,7.4350728245e-04,5.00000000e-03
0.20500000,-7.2255695146e-04,5.00000000e-03
0.21000000,5.5336131705e-04,5.00000000e-03
0.21500000,6.1739384661e-04,5.00000000e-03
0.22000000,-1.2893219407e-03,5.00000000e-03
0.22500000,2.0936628731e-03,5.00000000e-03
0.23000000,-5.7286907344e-04,5.00000000e-03
0.23500000,-1.1687311433e-03,5.00000000e-03
0.24000000,2.3397316679e-03,5.00000000e-03
0.24500000,-1.8567754216e-03,5.00000000e-03
0.25000000,4.7637017970e-04,5.00000000e-03
0.25500000,1.5349475527e-03,5.00000000e-03
0.26000000,-1.8846706961e-03,5.00000000e-03
0.26500000,1.7190742090e-03,5.00000000e-03
0.27000000,2.7554993116e-05,5.00000000e-03
0.27500000,-4.4551078252e-04,5.00000000e-03
0.28000000,9.5592285560e-04,5.00000000e-03
0.28500000,-1.1378999410e-03,5.00000000e-03
0.29000000,1.5851193719e-03,5.00000000e-03
0.29500000,-6.3551885325e-04,5.00000000e-03
0.30000000,-5.8788783859e-04,5.00000000e-03
0.30500000,1.6815421675e-03,5.00000000e-03
0.31000000,-2.3572243796e-03,5.00000000e-03
0.31500000,2.5030262743e-03,5.00000000e-03
0.32000000,-5.3333694085e-04,5.00000000e-03
0.32500000,-1.8938393662e-03,5.00000000e-03
0.33000000,3.9262614040e-03,5.00000000e-03
0.33500000,-3.8981420420e-03,5.00000000e-03
0.34000000,1.5885282418e-03,5.00000000e-03
0.34500000,3.0874206690e-03,5.00000000e-03
0.35000000,-4.6214303491e-03,5.00000000e-03
0.35500000,4.0521141140e-03,5.00000000e-03
0.36000000,-8.1492595134e-04,5.00000000e-03
0.36500000,-3.0227318371e-03,5.00000000e-03
0.37000000,4.5094180824e-03,5.00000000e-03
0.37500000,-3.1811399554e-03,5.00000000e-03
0.38000000,7.2074881616e-04,5.00000000e-03
0.38500000,2.6068893091e-03,5.00000000e-03
0.39000000,-2.8009315185e-03,5.00000000e-03
0.39500000,2.9331455217e-03,5.00000000e-03
0.40000000,-1.1169672761e-03,5.00000000e-03
0.40500000,-1.0489672491e-03,5.00000000e-03
0.41000000,2.7245797387e-03,5.00000000e-03
0.41500000,-2.7151877038e-03,5.00000000e-03
0.42000000,1.7707631211e-03,5.00000000e-03
0.42500000,1.0280814723e-03,5.00000000e-03
0.43000000,-2.0434419857e-03,5.00000000e-03
0.43500000,2.6090240993e-03,5.00000000e-03
0.44000000,-1.0648984148e-03,5.00000000e-03
0.44500000,-8.4451902602e-05,5.00000000e-03
0.45000000,1.7378023552e-03,5.00000000e-03
0.45500000,-1.9615677105e-03,5.00000000e-03
0.46000000,1.3905526972e-03,5.00000000e-03
0.46500000,6.0851959719e-04,5.00000000e-03
0.47000000,-1.0746684310e-03,5.00000000e-03
0.47500000,1.4611947215e-03,5.00000000e-03
0.48000000,-9.1050448284e-05,5.00000000e-03
0.48500000,-2.3879946782e-04,5.00000000e-03
0.49000000,7.6736468086e-04,5.00000000e-03
0.49500000,4.5379132326e-04,5.00000000e-03
0.50000000,-4.1270659006e-04,5.00000000e-03
0.50500000,1.7822319467e-04,5.00000000e-03
0.51000000,1.8336697943e-03,5.00000000e-03
0.51500000,-1.8137909861e-03,5.00000000e-03
0.52000000,7.4612821036e-04,5.00000000e-03
0.52500000,1.7774036436e-03,5.00000000e-03
0.53000000,-2.6148127478e-03,5.00000000e-03
0.53500000,2.7269671367e-03,5.00000000e-03
0.54000000,-6.8117613633e-07,5.00000000e-03
0.54500000,-1.4813578217e-03,5.00000000e-03
0.55000000,2.8610074738e-03,5.00000000e-03
0.55500000,-2.4835761400e-03,5.00000000e-03
0.56000000,1.7966534726e-03,5.00000000e-03
0.56500000,1.0568473875e-03,5.00000000e-03
0.57000000,-2.2201194128e-03,5.00000000e-03
0.57500000,3.3234964833e-03,5.00000000e-03
0.58000000,-1.9660550575e-03,5.00000000e-03
0.58500000,3.4775030741e-04,5.00000000e-03
0.59000000,2.0554645620e-03,5.00000000e-03
0.59500000,-2.9025285976e-03,5.00000000e-03
0.60000000,3.4782468236e-03,5.00000000e-03
0.60500000,-1.7450115499e-03,5.00000000e-03
0.61000000,-5.7690980761e-04,5.00000000e-03
0.61500000,2.7389479194e-03,5.00000000e-03
0.62000000,-3.6767035884e-03,5.00000000e-03
0.62500000,2.9799130647e-03,5.00000000e-03
0.63000000,-1.0359906478e-04,5.00000000e-03
0.63500000,-2.1004718759e-03,5.00000000e-03
0.64000000,3.9429303217e-03,5.00000000e-03
0.64500000,-3.0430153967e-03,5.00000000e-03
0.65000000,2.1159622182e-03,5.00000000e-03
0.65500000,1.3171634931e-03,5.00000000e-03
0.66000000,-2.0268940401e-03,5.00000000e-03
0.66500000,3.7312705146e-03,5.00000000e-03
0.67000000,-2.8429685337e-03,5.00000000e-03
0.67500000,1.8110198536e-03,5.00000000e-03
0.68000000,2.0780407050e-03,5.00000000e-03
0.68500000,-3.3433556235e-03,5.00000000e-03
0.69000000,5.0500872017e-03,5.00000000e-03
0.69500000,-2.9310121445e-03,5.00000000e-03
0.70000000,-3.1448987320e-04,5.00000000e-03
0.70500000,4.1498154103e-03,5.00000000e-03
0.71000000,-4.8643183240e-03,5.00000000e-03
0.71500000,4.4594761557e-03,5.00000000e-03
0.72000000,-7.7786647584e-04,5.00000000e-03
0.72500000,-3.5168008459e-03,5.00000000e-03
0.73000000,5.8282841912e-03,5.00000000e-03
0.73500000,-5.0737724661e-03,5.00000000e-03
0.74000000,2.0001375172e-03,5.00000000e-03
0.74500000,3.3206466467e-03,5.00000000e-03
0.75000000,-4.9714378985e-03,5.00000000e-03
0.75500000,5.7408925199e-03,5.00000000e-03
0.76000000,-2.5626320507e-03,5.00000000e-03
0.76500000,-1.3002656899e-03,5.00000000e-03
0.77000000,4.6402058483e-03,5.00000000e-03
0.77500000,-5.3611840551e-03,5.00000000e-03
0.78000000,4.2480359316e-03,5.00000000e-03
0.78500000,-3.5303639077e-04,5.00000000e-03
0.79000000,-3.7618821271e-03,5.00000000e-03
0.79500000,6.1306902652e-03,5.00000000e-03
0.80000000,-4.4439238984e-03,5.00000000e-03
0.80500000,1.6011450619e-03,5.00000000e-03
0.81000000,4.4194055382e-03,5.00000000e-03
0.81500000,-5.2534917678e-03,5.00000000e-03
0.82000000,5.8499494611e-03,5.00000000e-03
