time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.1424237227e-05,5.00000000e-03
0.06000000,4.1328501517e-05,5.00000000e-03
0.06500000,3.6438747085e-05,5.00000000e-03
0.07000000,1.1071752041e-04,5.00000000e-03
0.07500000,9.7759548533e-05,5.00000000e-03
0.08000000,1.3851297459e-05,5.00000000e-03
0.08500000,9.2057674053e-05,5.00000000e-03
0.09000000,1.5382753152e-04,5.00000000e-03
0.09500000,1.2567219890e-05,5.00000000e-03
0.10000000,6.3427556468e-05,5.00000000e-03
0.10500000,2.0553287473e-04,5.00000000e-03
0.11000000,9.1691166072e-06,5.00000000e-03
0.11500000,3.1592423013e-05,5.00000000e-03
0.12000000,2.6351958366e-04,5.00000000e-03
0.12500000,-1.9821344544e-05,5.00000000e-03
0.13000000,-2.6201501348e-05,5.00000000e-03
0.13500000,2.9232423169e-04,5.00000000e-03
0.14000000,-1.5349005865e-04,5.00000000e-03
0.14500000,-1.2670465685e-04,5.00000000e-03
0.15000000,3.9749872542e-04,5.00000000e-03
0.15500000,-1.8136297081e-04,5.00000000e-03
0.16000000,-1.7129982043e-05,5.00000000e-03
0.16500000,5.5482200058e-04,5.00000000e-03
0.17000000,-5.3218359951e-04,5.00000000e-03
0.17500000,-7.5928795295e-05,5.00000000e-03
0.18000000,8.2397806451e-04,5.00000000e-03
0.18500000,-5.8391856105e-04,5.00000000e-03
0.19000000,-5.2585740706e-06,5.00000000e-03
0.19500000,5.8980212245e-04,5.00000000e-03
0.20000000,-7.0171408871e-04,5.00000000e-03
0.20500000,8.4242051727e-04,5.00000000e-03
0.21000000,1.3163550976e-04,5.00000000e-03
