time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0950831921e-05,5.00000000e-03
0.06000000,3.8345495489e-05,5.00000000e-03
0.06500000,3.9595609939e-05,5.00000000e-03
0.07000000,1.1750957363e-04,5.00000000e-03
0.07500000,8.5296477567e-05,5.00000000e-03
0.08000000,1.1115284427e-05,5.00000000e-03
0.08500000,1.2222733001e-04,5.00000000e-03
0.09000000,1.3236297960e-04,5.00000000e-03
0.09500000,-1.6797053439e-05,5.00000000e-03
0.10000000,1.3689794281e-04,5.00000000e-03
0.10500000,1.7640364065e-04,5.00000000e-03
0.11000000,-7.0923315604e-05,5.00000000e-03
0.11500000,1.8191064088e-04,5.00000000e-03
0.12000000,2.0594721499e-04,5.00000000e-03
0.12500000,-1.7958981555e-04,5.00000000e-03
0.13000000,2.5447845376e-04,5.00000000e-03
0.13500000,1.1497037289e-04,5.00000000e-03
0.14000000,-3.8597330796e-04,5.00000000e-03
0.14500000,4.6034283983e-04,5.00000000e-03
0.15000000,3.5267556355e-05,5.00000000e-03
0.15500000,-3.4715888776e-04,5.00000000e-03
0.16000000,8.0271968635e-04,5.00000000e-03
0.16500000,-6.3001874060e-04,5.00000000e-03
0.17000000,-2.4770872176e-04,5.00000000e-03
0.17500000,1.3146617740e-03,5.00000000e-03
0.18000000,-1.2935729409e-03,5.00000000e-03
0.18500000,1.6370565095e-04,5.00000000e-03
0.19000000,1.0389799077e-03,5.00000000e-03
0.19500000,-1.2326549768e-03,5.00000000e-03
0.20000000,1.3942303899e-03,5.00000000e-03
0.20500000,-7.4920632067e-04,5.00000000e-03
0.21000000,-6.0369963978e-04,5.00000000e-03
