time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0102568385e-08,5.00000000e-03
0.01000000,1.6399898840e-07,5.00000000e-03
0.01500000,2.5182457385e-07,5.00000000e-03
0.02000000,3.4405632078e-07,5.00000000e-03
0.02500000,4.5000545614e-07,5.00000000e-03
0.03000000,7.2901760796e-07,5.00000000e-03
0.03500000,2.6542989332e-06,5.00000000e-03
0.04000000,1.2477952676e-05,5.00000000e-03
0.04500000,4.2343977612e-05,5.00000000e-03
0.05000000,8.5976130999e-05,5.00000000e-03
0.05500000,9.0331537433e-05,5.00000000e-03
0.06000000,3.8486880313e-05,5.00000000e-03
0.06500000,4.2578303332e-05,5.00000000e-03
0.07000000,1.1623844301e-04,5.00000000e-03
0.07500000,7.8331095107e-05,5.00000000e-03
0.08000000,2.2301611325e-05,5.00000000e-03
0.08500000,1.2502703349e-04,5.00000000e-03
0.09000000,1.0721362751e-04,5.00000000e-03
0.09500000,1.0301076937e-05,5.00000000e-03
0.10000000,1.4740483293e-04,5.00000000e-03
0.10500000,1.1747955676e-04,5.00000000e-03
0.11000000,-8.0438146001e-06,5.00000000e-03
0.11500000,1.8975543334e-04,5.00000000e-03
0.12000000,9.4466455422e-05,5.00000000e-03
0.12500000,-4.2035166690e-05,5.00000000e-03
0.13000000,2.0769918351e-04,5.00000000e-03
0.13500000,-4.6233123410e-05,5.00000000e-03
0.14000000,-9.6370972860e-05,5.00000000e-03
0.14500000,2.7790306574e-04,5.00000000e-03
0.15000000,-8.6121184035e-05,5.00000000e-03
0.15500000,6.7837833172e-05,5.00000000e-03
0.16000000,2.3968579840e-04,5.00000000e-03
0.16500000,-3.6361587308e-04,5.00000000e-03
0.17000000,3.1304922644e-04,5.00000000e-03
0.17500000,2.9477531066e-04,5.00000000e-03
0.18000000,-5.5621673233e-04,5.00000000e-03
0.18500000,5.0047787163e-04,5.00000000e-03
0.19000000,7.7400724413e-05,5.00000000e-03
0.19500000,-3.2306726328e-04,5.00000000e-03
0.20000000,5.9686561183e-04,5.00000000e-03
0.20500000,-5.3399387185e-04,5.00000000e-03
0.21000000,4.4424001009e-04,5.00000000e-03
0.21500000,5.8203542261e-04,5.00000000e-03
0.22000000,-1.1933696761e-03,5.00000000e-03
0.22500000,1.8660895293e-03,5.00000000e-03
0.23000000,-3.6276927462e-04,5.00000000e-03
0.23500000,-1.3507649888e-03,5.00000000e-03
0.24000000,2.7321488876e-03,5.00000000e-03
0.24500000,-1.8464836245e-03,5.00000000e-03
0.25000000,3.4109266883e-05,5.00000000e-03
0.25500000,2.1842170602e-03,5.00000000e-03
0.26000000,-2.4673986746e-03,5.00000000e-03
0.26500000,1.1430856988e-03,5.00000000e-03
0.27000000,1.0232460825e-03,5.00000000e-03
0.27500000,-1.1737773780e-03,5.00000000e-03
0.28000000,1.5552128131e-03,5.00000000e-03
0.28500000,-1.0487406905e-03,5.00000000e-03
0.29000000,6.4678477639e-04,5.00000000e-03
0.29500000,7.3059949969e-04,5.00000000e-03
0.30000000,-1.3095964322e-03,5.00000000e-03
0.30500000,1.9205318073e-03,5.00000000e-03
0.31000000,-1.4531096152e-03,5.00000000e-03
0.31500000,5.7151279152e-04,5.00000000e-03
0.32000000,1.3772133488e-03,5.00000000e-03
0.32500000,-2.2902175459e-03,5.00000000e-03
0.33000000,3.9615135955e-03,5.00000000e-03
0.33500000,-1.7847448405e-03,5.00000000e-03
0.34000000,-1.4233493741e-03,5.00000000e-03
0.34500000,4.7538513398e-03,5.00000000e-03
0.35000000,-5.7219907768e-03,5.00000000e-03
0.35500000,2.9089608253e-03,5.00000000e-03
0.36000000,2.2529913245e-03,5.00000000e-03
0.36500000,-5.0300176325e-03,5.00000000e-03
0.37000000,5.6717077569e-03,5.00000000e-03
0.37500000,-2.5409550902e-03,5.00000000e-03
0.38000000,-1.8068587213e-03,5.00000000e-03
0.38500000,4.4119004255e-03,5.00000000e-03
0.39000000,-4.4996535445e-03,5.00000000e-03
0.39500000,3.2837289018e-03,5.00000000e-03
0.40000000,6.2185179900e-04,5.00000000e-03
0.40500000,-3.1988252679e-03,5.00000000e-03
0.41000000,5.4416594019e-03,5.00000000e-03
0.41500000,-3.1898655919e-03,5.00000000e-03
0.42000000,-4.2208462190e-04,5.00000000e-03
0.42500000,4.6052527736e-03,5.00000000e-03
0.43000000,-5.2352293296e-03,5.00000000e-03
0.43500000,3.1053802508e-03,5.00000000e-03
0.44000000,1.2395022777e-03,5.00000000e-03
0.44500000,-3.2495571082e-03,5.00000000e-03
0.45000000,4.8760654491e-03,5.00000000e-03
0.45500000,-2.7950804470e-03,5.00000000e-03
0.46000000,-1.2628160034e-03,5.00000000e-03
0.46500000,3.9303424759e-03,5.00000000e-03
0.47000000,-3.5099430392e-03,5.00000000e-03
0.47500000,1.0850150192e-03,5.00000000e-03
0.48000000,2.4865162395e-03,5.00000000e-03
0.48500000,-2.3418846006e-03,5.00000000e-03
0.49000000,1.4035213294e-03,5.00000000e-03
0.49500000,1.3268740585e-03,5.00000000e-03
0.50000000,-1.3044870391e-03,5.00000000e-03
0.50500000,6.5760371275e-04,5.00000000e-03
0.51000000,1.5907916680e-03,5.00000000e-03
0.51500000,-1.1193150979e-03,5.00000000e-03
0.52000000,-3.1324299080e-04,5.00000000e-03
0.52500000,2.3877335750e-03,5.00000000e-03
0.53000000,-1.7480720706e-03,5.00000000e-03
0.53500000,1.1591835121e-04,5.00000000e-03
0.54000000,1.8025987952e-03,5.00000000e-03
0.54500000,-1.7142928622e-03,5.00000000e-03
0.55000000,2.3130367974e-03,5.00000000e-03
0.55500000,-7.5841496859e-04,5.00000000e-03
0.56000000,-1.2053506659e-03,5.00000000e-03
0.56500000,3.4481158299e-03,5.00000000e-03
0.57000000,-3.1337746896e-03,5.00000000e-03
0.57500000,1.2196939929e-03,5.00000000e-03
0.58000000,2.1817773856e-03,5.00000000e-03
0.58500000,-2.3857555751e-03,5.00000000e-03
0.59000000,2.7827213628e-03,5.00000000e-03
0.59500000,-1.4866884503e-03,5.00000000e-03
0.60000000,2.7177068586e-04,5.00000000e-03
0.60500000,2.7284976731e-03,5.00000000e-03
0.61000000,-3.6279661024e-03,5.00000000e-03
0.61500000,3.7929958158e-03,5.00000000e-03
0.62000000,-1.7684741151e-03,5.00000000e-03
0.62500000,-1.9564599178e-03,5.00000000e-03
0.63000000,4.1378539275e-03,5.00000000e-03
0.63500000,-4.5253292944e-03,5.00000000e-03
0.64000000,2.6641076839e-03,5.00000000e-03
0.64500000,2.1969630247e-03,5.00000000e-03
0.65000000,-3.4376789557e-03,5.00000000e-03
0.65500000,3.7738574403e-03,5.00000000e-03
0.66000000,-1.1299716966e-03,5.00000000e-03
0.66500000,1.2933269088e-03,5.00000000e-03
0.67000000,1.8584768634e-03,5.00000000e-03
0.67500000,-3.9557946856e-03,5.00000000e-03
0.68000000,5.9844975450e-03,5.00000000e-03
0.68500000,-3.2642779978e-03,5.00000000e-03
0.69000000,-1.0483964208e-03,5.00000000e-03
0.69500000,4.6279824801e-03,5.00000000e-03
0.70000000,-5.0550464993e-03,5.00000000e-03
0.70500000,4.8897939225e-03,5.00000000e-03
0.71000000,-1.0146293730e-03,5.00000000e-03
0.71500000,-4.1752028195e-03,5.00000000e-03
0.72000000,7.6117752438e-03,5.00000000e-03
0.72500000,-5.9229720149e-03,5.00000000e-03
0.73000000,2.1247724964e-03,5.00000000e-03
0.73500000,4.2474982953e-03,5.00000000e-03
0.74000000,-6.3663224691e-03,5.00000000e-03
0.74500000,6.9216513294e-03,5.00000000e-03
0.75000000,-3.0928427843e-03,5.00000000e-03
0.75500000,-2.2715742923e-03,5.00000000e-03
0.76000000,6.0579173515e-03,5.00000000e-03
0.76500000,-6.0286116406e-03,5.00000000e-03
0.77000000,3.3635101687e-03,5.00000000e-03
0.77500000,1.0373289319e-03,5.00000000e-03
0.78000000,-3.2967699376e-03,5.00000000e-03
0.78500000,5.5806799047e-03,5.00000000e-03
0.79000000,-5.6918475690e-03,5.00000000e-03
0.79500000,2.5565168152e-03,5.00000000e-03
0.80000000,4.4641885207e-03,5.00000000e-03
0.80500000,-7.1426006431e-03,5.00000000e-03
0.81000000,6.3033805782e-03,5.00000000e-03
0.81500000,-1.0481073695e-03,5.00000000e-03
0.82000000,-3.1579366645e-03,5.00000000e-03
