time_s,acc_m_s2
0.000000000000000000e+00,5.313853629530044387e-05
4.999999999999893419e-03,5.603538024530044421e-05
9.999999999999786837e-03,5.881818294530044751e-05
1.499999999999968026e-02,6.173149788530044762e-05
1.999999999999957367e-02,6.482288394530044380e-05
2.499999999999946709e-02,6.801753006530044581e-05
2.999999999999936051e-02,7.104665205530044398e-05
3.499999999999925393e-02,7.399919718530044411e-05
3.999999999999914735e-02,7.711328358530044344e-05
4.499999999999904077e-02,8.020475793530043866e-05
4.999999999999893419e-02,8.367721344530044795e-05
5.499999999999882760e-02,8.713280556530045198e-05
5.999999999999872102e-02,8.950658031530043179e-05
6.499999999999861444e-02,9.167863203530043784e-05
6.999999999999850786e-02,9.464511717530045413e-05
7.499999999999840128e-02,9.794127717530045545e-05
7.999999999999829470e-02,1.015528286753004369e-04
8.499999999999818812e-02,1.068729878753004315e-04
8.999999999999808153e-02,1.113654773753004512e-04
9.499999999999797495e-02,1.122072734753004478e-04
9.999999999999786837e-02,1.126646156753004457e-04
1.049999999999977618e-01,1.156242926753004477e-04
1.099999999999976552e-01,1.195118975753004496e-04
1.149999999999975486e-01,1.227736244753004481e-04
1.199999999999974420e-01,1.255620188753004535e-04
1.249999999999973355e-01,1.286576624753004588e-04
1.299999999999972289e-01,1.317547775753004661e-04
1.349999999999971223e-01,1.365855158753004524e-04
1.399999999999970157e-01,1.443992789753004592e-04
1.449999999999969091e-01,1.462102049753004568e-04
1.499999999999968026e-01,1.462944728753004596e-04
1.549999999999966960e-01,1.536404951753004482e-04
1.599999999999965894e-01,1.566341147753004613e-04
1.649999999999964828e-01,1.542523448753004771e-04
1.699999999999963762e-01,1.548075908753004536e-04
1.749999999999962697e-01,1.621905968753004773e-04
1.799999999999961631e-01,1.742462039753004614e-04
1.849999999999960565e-01,1.747994879753004714e-04
1.899999999999959499e-01,1.722533024753004547e-04
1.949999999999958433e-01,1.821295199753004512e-04
1.999999999999957367e-01,1.853466113753004531e-04
2.049999999999956302e-01,1.797470633753004625e-04
2.099999999999955236e-01,1.787014154753004537e-04
2.149999999999954170e-01,1.882911809753004637e-04
2.199999999999953104e-01,2.086856804753004413e-04
2.249999999999952038e-01,2.295202565753004867e-04
2.299999999999950973e-01,2.464145480753004514e-04
2.349999999999949907e-01,2.394334577753004642e-04
2.399999999999948841e-01,2.102220245753004611e-04
2.449999999999947775e-01,2.009257742753004687e-04
2.499999999999946709e-01,2.228405294753004915e-04
2.549999999999945643e-01,2.280774998753004460e-04
2.599999999999944578e-01,2.138010068753004676e-04
2.649999999999943512e-01,2.097645842753004838e-04
2.699999999999942446e-01,2.173013129753004734e-04
2.749999999999941380e-01,2.300178197753004617e-04
2.799999999999940314e-01,2.578535966753004761e-04
2.849999999999939249e-01,2.746881452753004529e-04
2.899999999999938183e-01,2.521947962753004350e-04
2.949999999999937117e-01,2.353745702753004521e-04
