time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0102568385e-08,5.00000000e-03
0.01000000,1.6399898840e-07,5.00000000e-03
0.01500000,2.5182457385e-07,5.00000000e-03
0.02000000,3.4405632078e-07,5.00000000e-03
0.02500000,4.5000545614e-07,5.00000000e-03
0.03000000,7.2901760796e-07,5.00000000e-03
0.03500000,2.5857192404e-06,5.00000000e-03
0.04000000,1.2367887987e-05,5.00000000e-03
0.04500000,4.2324859275e-05,5.00000000e-03
0.05000000,8.6482774862e-05,5.00000000e-03
0.05500000,9.0894357108e-05,5.00000000e-03
0.06000000,3.7558845217e-05,5.00000000e-03
0.06500000,4.0559290044e-05,5.00000000e-03
0.07000000,1.1904311550e-04,5.00000000e-03
0.07500000,8.1892208174e-05,5.00000000e-03
0.08000000,1.1579412776e-05,5.00000000e-03
0.08500000,1.2928480429e-04,5.00000000e-03
0.09000000,1.2445544234e-04,5.00000000e-03
0.09500000,-1.9742384753e-05,5.00000000e-03
0.10000000,1.5580144154e-04,5.00000000e-03
0.10500000,1.5903287581e-04,5.00000000e-03
0.11000000,-7.8595728536e-05,5.00000000e-03
0.11500000,2.2287643339e-04,5.00000000e-03
0.12000000,1.6243868063e-04,5.00000000e-03
0.12500000,-1.8535410298e-04,5.00000000e-03
0.13000000,3.2982927430e-04,5.00000000e-03
0.13500000,2.2843273020e-06,5.00000000e-03
0.14000000,-3.4232072681e-04,5.00000000e-03
0.14500000,5.7276988676e-04,5.00000000e-03
0.15000000,-1.8017247527e-04,5.00000000e-03
0.15500000,-1.7488735322e-04,5.00000000e-03
0.16000000,7.7045005171e-04,5.00000000e-03
0.16500000,-1.0022976715e-03,5.00000000e-03
0.17000000,3.7737077645e-04,5.00000000e-03
0.17500000,1.1109720275e-03,5.00000000e-03
0.18000000,-1.6435186354e-03,5.00000000e-03
0.18500000,1.1256588167e-03,5.00000000e-03
0.19000000,3.3492352514e-04,5.00000000e-03
0.19500000,-8.7284606282e-04,5.00000000e-03
0.20000000,1.5695802697e-03,5.00000000e-03
0.20500000,-1.7375235108e-03,5.00000000e-03
0.21000000,1.1939823925e-03,5.00000000e-03
0.21500000,1.1969055956e-03,5.00000000e-03
0.22000000,-2.8776511414e-03,5.00000000e-03
0.22500000,4.4371553693e-03,5.00000000e-03
0.23000000,-1.9333859718e-03,5.00000000e-03
0.23500000,-2.6414044424e-03,5.00000000e-03
0.24000000,4.9020534876e-03,5.00000000e-03
0.24500000,-3.9541729422e-03,5.00000000e-03
0.25000000,6.3237378165e-04,5.00000000e-03
0.25500000,3.4465112065e-03,5.00000000e-03
0.26000000,-3.8396388814e-03,5.00000000e-03
0.26500000,2.5522704471e-03,5.00000000e-03
0.27000000,8.3199322712e-04,5.00000000e-03
0.27500000,-1.1436076644e-03,5.00000000e-03
0.28000000,9.8613756604e-04,5.00000000e-03
0.28500000,-4.6478508059e-04,5.00000000e-03
0.29000000,1.5029864518e-03,5.00000000e-03
0.29500000,-1.9229495708e-03,5.00000000e-03
0.30000000,1.0431492703e-03,5.00000000e-03
0.30500000,1.6620834804e-03,5.00000000e-03
0.31000000,-3.5031202597e-03,5.00000000e-03
0.31500000,5.2527224528e-03,5.00000000e-03
0.32000000,-3.9778706301e-03,5.00000000e-03
0.32500000,-9.3196599998e-04,5.00000000e-03
0.33000000,5.7502607465e-03,5.00000000e-03
0.33500000,-8.4432402151e-03,5.00000000e-03
0.34000000,5.8662312654e-03,5.00000000e-03
0.34500000,2.8908186739e-03,5.00000000e-03
0.35000000,-8.0763908792e-03,5.00000000e-03
0.35500000,9.1021168614e-03,5.00000000e-03
0.36000000,-3.7720177393e-03,5.00000000e-03
0.36500000,-4.3173916501e-03,5.00000000e-03
0.37000000,7.9545715653e-03,5.00000000e-03
0.37500000,-7.4549842711e-03,5.00000000e-03
0.38000000,3.0609778136e-03,5.00000000e-03
0.38500000,4.0448680070e-03,5.00000000e-03
0.39000000,-5.7783111398e-03,5.00000000e-03
0.39500000,6.6389704911e-03,5.00000000e-03
0.40000000,-3.3804336194e-03,5.00000000e-03
0.40500000,-1.8220229046e-03,5.00000000e-03
0.41000000,5.4198647901e-03,5.00000000e-03
0.41500000,-6.5964805776e-03,5.00000000e-03
0.42000000,4.8254040630e-03,5.00000000e-03
0.42500000,2.0415188458e-03,5.00000000e-03
0.43000000,-6.0105433791e-03,5.00000000e-03
0.43500000,7.0229605422e-03,5.00000000e-03
0.44000000,-2.9120799874e-03,5.00000000e-03
0.44500000,-2.5854809385e-03,5.00000000e-03
0.45000000,5.7863193711e-03,5.00000000e-03
0.45500000,-5.8811360625e-03,5.00000000e-03
0.46000000,2.5927927441e-03,5.00000000e-03
0.46500000,3.8298972322e-03,5.00000000e-03
0.47000000,-5.9616728942e-03,5.00000000e-03
0.47500000,5.3024937734e-03,5.00000000e-03
0.48000000,6.2254548001e-04,5.00000000e-03
0.48500000,-4.6951636161e-03,5.00000000e-03
0.49000000,5.8332214350e-03,5.00000000e-03
0.49500000,-1.4334738218e-03,5.00000000e-03
0.50000000,-3.5019540487e-03,5.00000000e-03
0.50500000,4.9627390373e-03,5.00000000e-03
0.51000000,-2.3214218476e-03,5.00000000e-03
0.51500000,-1.2571190155e-03,5.00000000e-03
0.52000000,3.4953931311e-03,5.00000000e-03
0.52500000,-2.9495316779e-03,5.00000000e-03
0.53000000,1.9161699892e-04,5.00000000e-03
0.53500000,2.0285144824e-03,5.00000000e-03
0.54000000,-1.4678983549e-03,5.00000000e-03
0.54500000,1.0836718447e-03,5.00000000e-03
0.55000000,2.3887490637e-04,5.00000000e-03
0.55500000,-1.5593901009e-04,5.00000000e-03
0.56000000,9.6170996167e-04,5.00000000e-03
0.56500000,-1.2578191558e-03,5.00000000e-03
0.57000000,1.8055975226e-03,5.00000000e-03
0.57500000,-1.8624140690e-04,5.00000000e-03
0.58000000,-7.0080168264e-04,5.00000000e-03
0.58500000,1.9505953086e-03,5.00000000e-03
0.59000000,-2.6210761499e-03,5.00000000e-03
0.59500000,3.0409970228e-03,5.00000000e-03
0.60000000,-1.0010389370e-03,5.00000000e-03
0.60500000,-2.4283557347e-03,5.00000000e-03
0.61000000,5.1024720580e-03,5.00000000e-03
0.61500000,-4.9541676079e-03,5.00000000e-03
0.62000000,2.3856973985e-03,5.00000000e-03
0.62500000,2.0116707281e-03,5.00000000e-03
0.63000000,-4.0709213376e-03,5.00000000e-03
0.63500000,6.3276245667e-03,5.00000000e-03
0.64000000,-4.3494966753e-03,5.00000000e-03
0.64500000,1.4529578982e-03,5.00000000e-03
0.65000000,4.4091666480e-03,5.00000000e-03
0.65500000,-6.5540160339e-03,5.00000000e-03
0.66000000,8.6543768441e-03,5.00000000e-03
0.66500000,-4.4735854618e-03,5.00000000e-03
0.67000000,-2.4495418872e-03,5.00000000e-03
0.67500000,8.7722386739e-03,5.00000000e-03
0.68000000,-1.0657897625e-02,5.00000000e-03
0.68500000,7.3411463845e-03,5.00000000e-03
0.69000000,3.2905410979e-03,5.00000000e-03
0.69500000,-9.5006030083e-03,5.00000000e-03
0.70000000,1.2010191387e-02,5.00000000e-03
0.70500000,-6.6272899744e-03,5.00000000e-03
0.71000000,-1.9511431163e-03,5.00000000e-03
0.71500000,1.0034807545e-02,5.00000000e-03
0.72000000,-1.2098031096e-02,5.00000000e-03
0.72500000,7.2372838057e-03,5.00000000e-03
0.73000000,3.5865233489e-03,5.00000000e-03
0.73500000,-9.5802046671e-03,5.00000000e-03
0.74000000,1.1103967307e-02,5.00000000e-03
0.74500000,-5.9741518724e-03,5.00000000e-03
0.75000000,-2.9625697629e-03,5.00000000e-03
0.75500000,8.6920642844e-03,5.00000000e-03
0.76000000,-9.0090277448e-03,5.00000000e-03
0.76500000,5.9387208842e-03,5.00000000e-03
0.77000000,2.2695330558e-03,5.00000000e-03
0.77500000,-6.6314461243e-03,5.00000000e-03
0.78000000,8.2198583343e-03,5.00000000e-03
0.78500000,-5.2194310961e-03,5.00000000e-03
0.79000000,-9.8601432974e-04,5.00000000e-03
0.79500000,5.5062806199e-03,5.00000000e-03
0.80000000,-7.1125744975e-03,5.00000000e-03
0.80500000,5.8489324331e-03,5.00000000e-03
0.81000000,1.5471572127e-03,5.00000000e-03
0.81500000,-5.0688421046e-03,5.00000000e-03
0.82000000,6.8212986051e-03,5.00000000e-03
