time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-3.2100627858e-07,5.00000000e-03
0.01000000,-6.3766785047e-07,5.00000000e-03
0.01500000,-9.4975612587e-07,5.00000000e-03
0.02000000,-1.2581007069e-06,5.00000000e-03
0.02500000,-1.6003196073e-06,5.00000000e-03
0.03000000,-2.6302000141e-06,5.00000000e-03
0.03500000,-1.0147499342e-05,5.00000000e-03
0.04000000,-5.0731075796e-05,5.00000000e-03
0.04500000,-1.7514701029e-04,5.00000000e-03
0.05000000,-3.4044204598e-04,5.00000000e-03
0.05500000,-3.1271942624e-04,5.00000000e-03
0.06000000,-1.1245827537e-04,5.00000000e-03
0.06500000,-1.1253390315e-04,5.00000000e-03
0.07000000,-3.3113910804e-04,5.00000000e-03
0.07500000,-2.7537112448e-04,5.00000000e-03
0.08000000,-4.6448079588e-05,5.00000000e-03
0.08500000,-1.9643768657e-04,5.00000000e-03
0.09000000,-3.5773436602e-04,5.00000000e-03
0.09500000,-1.0366891651e-04,5.00000000e-03
0.10000000,-8.2242569123e-05,5.00000000e-03
0.10500000,-3.4760059704e-04,5.00000000e-03
0.11000000,-1.7944248988e-04,5.00000000e-03
0.11500000,-3.8586177506e-05,5.00000000e-03
0.12000000,-3.0172800279e-04,5.00000000e-03
0.12500000,-1.8008537750e-04,5.00000000e-03
0.13000000,6.5514200990e-05,5.00000000e-03
0.13500000,-1.5527382167e-04,5.00000000e-03
0.14000000,-3.7574760557e-05,5.00000000e-03
0.14500000,2.9555404374e-04,5.00000000e-03
0.15000000,5.9696330919e-05,5.00000000e-03
0.15500000,1.1692088148e-05,5.00000000e-03
0.16000000,2.0272423332e-04,5.00000000e-03
0.16500000,-1.2470345576e-04,5.00000000e-03
0.17000000,-2.1566042378e-04,5.00000000e-03
0.17500000,1.7286303302e-04,5.00000000e-03
0.18000000,3.1303231457e-04,5.00000000e-03
0.18500000,1.6230875855e-04,5.00000000e-03
0.19000000,-3.7321819119e-04,5.00000000e-03
0.19500000,-2.4392650989e-04,5.00000000e-03
0.20000000,7.2848056775e-04,5.00000000e-03
0.20500000,1.5024870224e-04,5.00000000e-03
0.21000000,-5.4407054245e-04,5.00000000e-03
0.21500000,2.5406619118e-04,5.00000000e-03
0.22000000,-2.1146035648e-05,5.00000000e-03
0.22500000,1.4381764522e-04,5.00000000e-03
0.23000000,5.8041025332e-04,5.00000000e-03
0.23500000,-1.8061439071e-03,5.00000000e-03
0.24000000,1.1126999978e-04,5.00000000e-03
0.24500000,1.9314143966e-03,5.00000000e-03
0.25000000,-3.1949402840e-03,5.00000000e-03
0.25500000,-7.5873097250e-04,5.00000000e-03
0.26000000,3.3738934941e-03,5.00000000e-03
0.26500000,-2.9215067948e-03,5.00000000e-03
0.27000000,-1.6671329985e-03,5.00000000e-03
0.27500000,3.3333406391e-03,5.00000000e-03
0.28000000,-2.2808501794e-03,5.00000000e-03
0.28500000,-1.8599214659e-03,5.00000000e-03
0.29000000,2.4030525585e-03,5.00000000e-03
0.29500000,-1.3682032973e-03,5.00000000e-03
0.30000000,-5.0758514900e-04,5.00000000e-03
0.30500000,8.8915360512e-04,5.00000000e-03
0.31000000,-2.2349140461e-03,5.00000000e-03
0.31500000,1.5424193957e-03,5.00000000e-03
0.32000000,1.1900073863e-03,5.00000000e-03
0.32500000,-2.9640785093e-03,5.00000000e-03
0.33000000,2.7250158451e-03,5.00000000e-03
