time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-3.2100627858e-07,5.00000000e-03
0.01000000,-6.3766785047e-07,5.00000000e-03
0.01500000,-9.4975612587e-07,5.00000000e-03
0.02000000,-1.2581007069e-06,5.00000000e-03
0.02500000,-1.6003196073e-06,5.00000000e-03
0.03000000,-2.6302000141e-06,5.00000000e-03
0.03500000,-1.0147499342e-05,5.00000000e-03
0.04000000,-5.0731075796e-05,5.00000000e-03
0.04500000,-1.7514701029e-04,5.00000000e-03
0.05000000,-3.4044204598e-04,5.00000000e-03
0.05500000,-3.0294912368e-04,5.00000000e-03
0.06000000,-8.2641675584e-05,5.00000000e-03
0.06500000,-1.5475667055e-04,5.00000000e-03
0.07000000,-3.6943478190e-04,5.00000000e-03
0.07500000,-1.5285315388e-04,5.00000000e-03
0.08000000,-6.1254068160e-05,5.00000000e-03
0.08500000,-3.7927388698e-04,5.00000000e-03
0.09000000,-1.6884201616e-04,5.00000000e-03
0.09500000,-9.4026738969e-06,5.00000000e-03
0.10000000,-4.3203285339e-04,5.00000000e-03
0.10500000,-1.2401485062e-04,5.00000000e-03
0.11000000,3.1825170434e-05,5.00000000e-03
0.11500000,-5.1739478763e-04,5.00000000e-03
0.12000000,8.0317798463e-05,5.00000000e-03
0.12500000,1.0129207509e-04,5.00000000e-03
0.13000000,-4.0476107290e-04,5.00000000e-03
0.13500000,6.7686034089e-04,5.00000000e-03
0.14000000,1.1911990057e-04,5.00000000e-03
0.14500000,-4.0611102112e-04,5.00000000e-03
0.15000000,5.0744700250e-04,5.00000000e-03
0.15500000,-7.2310845643e-04,5.00000000e-03
0.16000000,3.6938544803e-04,5.00000000e-03
0.16500000,1.1771355560e-03,5.00000000e-03
0.17000000,-1.7755648418e-03,5.00000000e-03
0.17500000,7.0416581260e-04,5.00000000e-03
0.18000000,9.4133347181e-04,5.00000000e-03
0.18500000,-8.4973947582e-04,5.00000000e-03
0.19000000,5.4299301992e-04,5.00000000e-03
0.19500000,-7.8935463380e-04,5.00000000e-03
0.20000000,1.3044557575e-03,5.00000000e-03
0.20500000,-1.1683760142e-04,5.00000000e-03
0.21000000,-2.3245589844e-03,5.00000000e-03
0.21500000,3.4332172578e-03,5.00000000e-03
0.22000000,-2.5888418005e-03,5.00000000e-03
0.22500000,-2.3799728197e-03,5.00000000e-03
0.23000000,4.0338179872e-03,5.00000000e-03
0.23500000,-3.0893050234e-03,5.00000000e-03
0.24000000,-5.5999647106e-04,5.00000000e-03
0.24500000,2.2561529470e-03,5.00000000e-03
0.25000000,-2.8997923998e-03,5.00000000e-03
0.25500000,5.7981398397e-04,5.00000000e-03
0.26000000,1.6346077073e-03,5.00000000e-03
0.26500000,-1.3425695394e-03,5.00000000e-03
0.27000000,-1.1498599466e-03,5.00000000e-03
0.27500000,1.3948427494e-03,5.00000000e-03
0.28000000,8.3202974721e-04,5.00000000e-03
0.28500000,-2.6392023015e-03,5.00000000e-03
0.29000000,2.5159681534e-03,5.00000000e-03
0.29500000,6.4717549374e-05,5.00000000e-03
0.30000000,-1.8393742397e-03,5.00000000e-03
0.30500000,4.0029343065e-03,5.00000000e-03
0.31000000,-3.9682433888e-03,5.00000000e-03
0.31500000,1.3350973977e-03,5.00000000e-03
0.32000000,4.2045283349e-03,5.00000000e-03
0.32500000,-6.8538277582e-03,5.00000000e-03
0.33000000,5.8519021876e-03,5.00000000e-03
