time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-3.2100627857e-07,5.00000000e-03
0.01000000,-6.3766861925e-07,5.00000000e-03
0.01500000,-9.4997195340e-07,5.00000000e-03
0.02000000,-1.2717996651e-06,5.00000000e-03
0.02500000,-1.9088015287e-06,5.00000000e-03
0.03000000,-5.7363432755e-06,5.00000000e-03
0.03500000,-2.5498730093e-05,5.00000000e-03
0.04000000,-8.5196642941e-05,5.00000000e-03
0.04500000,-1.8345824650e-04,5.00000000e-03
0.05000000,-2.5273321122e-04,5.00000000e-03
0.05500000,-2.3549909475e-04,5.00000000e-03
0.06000000,-1.9455021489e-04,5.00000000e-03
0.06500000,-2.0557820177e-04,5.00000000e-03
0.07000000,-2.1934867352e-04,5.00000000e-03
0.07500000,-1.9983712595e-04,5.00000000e-03
0.08000000,-1.9716012768e-04,5.00000000e-03
0.08500000,-2.0429706633e-04,5.00000000e-03
0.09000000,-1.9299626988e-04,5.00000000e-03
0.09500000,-1.9085110752e-04,5.00000000e-03
0.10000000,-1.9308482909e-04,5.00000000e-03
0.10500000,-1.8221616309e-04,5.00000000e-03
0.11000000,-1.7106711189e-04,5.00000000e-03
0.11500000,-1.4596387224e-04,5.00000000e-03
0.12000000,-9.4161040568e-05,5.00000000e-03
0.12500000,-2.8372052332e-05,5.00000000e-03
0.13000000,3.7475697136e-05,5.00000000e-03
0.13500000,7.1469661167e-05,5.00000000e-03
0.14000000,5.7390531863e-05,5.00000000e-03
0.14500000,2.8414543735e-05,5.00000000e-03
0.15000000,2.0556356853e-05,5.00000000e-03
0.15500000,3.6163081848e-05,5.00000000e-03
0.16000000,4.6368036877e-05,5.00000000e-03
0.16500000,3.5861117720e-05,5.00000000e-03
0.17000000,3.0588990104e-05,5.00000000e-03
0.17500000,4.0723164083e-05,5.00000000e-03
0.18000000,4.2118378093e-05,5.00000000e-03
0.18500000,2.9895032700e-05,5.00000000e-03
0.19000000,1.7855553566e-05,5.00000000e-03
0.19500000,-1.1045461391e-06,5.00000000e-03
0.20000000,-4.3893967690e-05,5.00000000e-03
0.20500000,-1.0115288584e-04,5.00000000e-03
0.21000000,-1.4958754448e-04,5.00000000e-03
0.21500000,-1.8048304074e-04,5.00000000e-03
0.22000000,-1.8769491952e-04,5.00000000e-03
0.22500000,-1.6852026574e-04,5.00000000e-03
0.23000000,-1.4347099312e-04,5.00000000e-03
0.23500000,-1.3630256043e-04,5.00000000e-03
0.24000000,-1.4835441213e-04,5.00000000e-03
0.24500000,-1.5945642080e-04,5.00000000e-03
0.25000000,-1.4690725212e-04,5.00000000e-03
0.25500000,-1.1771144667e-04,5.00000000e-03
0.26000000,-9.8582882217e-05,5.00000000e-03
0.26500000,-9.2305127425e-05,5.00000000e-03
0.27000000,-8.6248589191e-05,5.00000000e-03
0.27500000,-7.6774718011e-05,5.00000000e-03
0.28000000,-5.2906592181e-05,5.00000000e-03
0.28500000,-1.8688561287e-06,5.00000000e-03
0.29000000,5.6958483075e-05,5.00000000e-03
0.29500000,8.8308645466e-05,5.00000000e-03
0.30000000,8.9678706442e-05,5.00000000e-03
0.30500000,8.6076003067e-05,5.00000000e-03
0.31000000,8.7533802388e-05,5.00000000e-03
0.31500000,8.9862911720e-05,5.00000000e-03
0.32000000,9.4032842456e-05,5.00000000e-03
0.32500000,9.4743429237e-05,5.00000000e-03
0.33000000,8.7045987005e-05,5.00000000e-03
0.33500000,8.4970986768e-05,5.00000000e-03
0.34000000,8.8624862314e-05,5.00000000e-03
0.34500000,6.8860846191e-05,5.00000000e-03
0.35000000,2.0264258455e-05,5.00000000e-03
0.35500000,-2.3900475118e-05,5.00000000e-03
0.36000000,-4.1486995418e-05,5.00000000e-03
0.36500000,-4.5867465406e-05,5.00000000e-03
0.37000000,-6.1326014686e-05,5.00000000e-03
0.37500000,-8.2344137992e-05,5.00000000e-03
0.38000000,-7.7011457945e-05,5.00000000e-03
0.38500000,-5.6589887219e-05,5.00000000e-03
0.39000000,-7.4829970534e-05,5.00000000e-03
0.39500000,-1.1903690832e-04,5.00000000e-03
0.40000000,-1.2156794842e-04,5.00000000e-03
0.40500000,-9.8322081572e-05,5.00000000e-03
0.41000000,-1.1941303215e-04,5.00000000e-03
0.41500000,-1.6406138105e-04,5.00000000e-03
0.42000000,-1.6156139897e-04,5.00000000e-03
0.42500000,-1.1389783061e-04,5.00000000e-03
0.43000000,-5.5320580053e-05,5.00000000e-03
0.43500000,1.8019935702e-05,5.00000000e-03
0.44000000,9.7191736755e-05,5.00000000e-03
0.44500000,1.3175613687e-04,5.00000000e-03
0.45000000,1.0696845371e-04,5.00000000e-03
0.45500000,8.5716419598e-05,5.00000000e-03
0.46000000,1.2641230025e-04,5.00000000e-03
0.46500000,1.9348535994e-04,5.00000000e-03
0.47000000,2.1098124652e-04,5.00000000e-03
0.47500000,1.8273416232e-04,5.00000000e-03
0.48000000,1.7453063747e-04,5.00000000e-03
0.48500000,2.0127930906e-04,5.00000000e-03
0.49000000,2.2625951761e-04,5.00000000e-03
0.49500000,2.3904788380e-04,5.00000000e-03
0.50000000,2.5599906891e-04,5.00000000e-03
0.50500000,2.6279549811e-04,5.00000000e-03
0.51000000,2.0037040190e-04,5.00000000e-03
0.51500000,6.6894353782e-05,5.00000000e-03
0.52000000,-9.9327999941e-06,5.00000000e-03
0.52500000,2.9813483554e-05,5.00000000e-03
0.53000000,4.9888545232e-05,5.00000000e-03
0.53500000,-1.4178367511e-05,5.00000000e-03
0.54000000,-3.9491904278e-05,5.00000000e-03
0.54500000,1.1668027994e-05,5.00000000e-03
0.55000000,2.1310420333e-05,5.00000000e-03
0.55500000,-6.3077999989e-05,5.00000000e-03
0.56000000,-1.3577103553e-04,5.00000000e-03
0.56500000,-8.5475373751e-05,5.00000000e-03
0.57000000,9.4349892871e-06,5.00000000e-03
0.57500000,-1.3034788680e-05,5.00000000e-03
0.58000000,-1.1593460054e-04,5.00000000e-03
0.58500000,-1.4681435840e-04,5.00000000e-03
0.59000000,-9.8124146173e-05,5.00000000e-03
0.59500000,-4.4001747049e-05,5.00000000e-03
0.60000000,3.8567237618e-06,5.00000000e-03
0.60500000,4.2366703868e-05,5.00000000e-03
0.61000000,3.4149413940e-05,5.00000000e-03
0.61500000,-9.3622416825e-07,5.00000000e-03
0.62000000,4.9514428069e-05,5.00000000e-03
0.62500000,2.1570025778e-04,5.00000000e-03
0.63000000,3.4541801742e-04,5.00000000e-03
0.63500000,3.3431547567e-04,5.00000000e-03
0.64000000,2.8039918187e-04,5.00000000e-03
0.64500000,2.7979744373e-04,5.00000000e-03
0.65000000,2.9314506266e-04,5.00000000e-03
