time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-3.2100627858e-07,5.00000000e-03
0.01000000,-6.3766785047e-07,5.00000000e-03
0.01500000,-9.4975612587e-07,5.00000000e-03
0.02000000,-1.2581007069e-06,5.00000000e-03
0.02500000,-1.6003196073e-06,5.00000000e-03
0.03000000,-2.6302000141e-06,5.00000000e-03
0.03500000,-1.0147499342e-05,5.00000000e-03
0.04000000,-5.0731075796e-05,5.00000000e-03
0.04500000,-1.7514701029e-04,5.00000000e-03
0.05000000,-3.4044204598e-04,5.00000000e-03
0.05500000,-3.0292872108e-04,5.00000000e-03
0.06000000,-8.2573414605e-05,5.00000000e-03
0.06500000,-1.5497974307e-04,5.00000000e-03
0.07000000,-3.6915771780e-04,5.00000000e-03
0.07500000,-1.5253409108e-04,5.00000000e-03
0.08000000,-6.2139312462e-05,5.00000000e-03
0.08500000,-3.7871628394e-04,5.00000000e-03
0.09000000,-1.6780454311e-04,5.00000000e-03
0.09500000,-6.8129873113e-06,5.00000000e-03
0.10000000,-4.3326428877e-04,5.00000000e-03
0.10500000,-1.1929015018e-04,5.00000000e-03
0.11000000,2.6678704143e-05,5.00000000e-03
0.11500000,-5.1504588696e-04,5.00000000e-03
0.12000000,8.6413164863e-05,5.00000000e-03
0.12500000,9.0095428955e-05,5.00000000e-03
0.13000000,-3.8986222448e-04,5.00000000e-03
0.13500000,6.7774856106e-04,5.00000000e-03
0.14000000,9.5230230131e-05,5.00000000e-03
0.14500000,-4.2922527812e-04,5.00000000e-03
0.15000000,5.0717549325e-04,5.00000000e-03
0.15500000,-7.4389821707e-04,5.00000000e-03
0.16000000,4.4299691833e-04,5.00000000e-03
0.16500000,1.0787177039e-03,5.00000000e-03
0.17000000,-1.7156837957e-03,5.00000000e-03
0.17500000,8.2029958126e-04,5.00000000e-03
0.18000000,7.9295125196e-04,5.00000000e-03
0.18500000,-7.6335038933e-04,5.00000000e-03
0.19000000,5.2953766914e-04,5.00000000e-03
0.19500000,-7.4951174406e-04,5.00000000e-03
0.20000000,1.2485856703e-03,5.00000000e-03
0.20500000,-2.4205580870e-04,5.00000000e-03
0.21000000,-1.9720385712e-03,5.00000000e-03
0.21500000,3.0152533958e-03,5.00000000e-03
0.22000000,-2.5038219855e-03,5.00000000e-03
0.22500000,-1.8727550776e-03,5.00000000e-03
0.23000000,3.4165613385e-03,5.00000000e-03
0.23500000,-3.0744845949e-03,5.00000000e-03
0.24000000,8.7178196231e-06,5.00000000e-03
0.24500000,1.7416334123e-03,5.00000000e-03
0.25000000,-2.6664394599e-03,5.00000000e-03
0.25500000,8.7718929127e-04,5.00000000e-03
0.26000000,1.2274026456e-03,5.00000000e-03
0.26500000,-1.1497332666e-03,5.00000000e-03
0.27000000,-1.0066434579e-03,5.00000000e-03
0.27500000,1.1841872775e-03,5.00000000e-03
0.28000000,8.2682691308e-04,5.00000000e-03
0.28500000,-2.4698457779e-03,5.00000000e-03
0.29000000,2.4127286208e-03,5.00000000e-03
0.29500000,-1.0975658783e-04,5.00000000e-03
0.30000000,-1.9801867014e-03,5.00000000e-03
0.30500000,3.6975213957e-03,5.00000000e-03
0.31000000,-3.9398751300e-03,5.00000000e-03
0.31500000,1.7551714799e-03,5.00000000e-03
0.32000000,3.4169224048e-03,5.00000000e-03
0.32500000,-5.9140689793e-03,5.00000000e-03
0.33000000,5.5193229244e-03,5.00000000e-03
