time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-3.2100627858e-07,5.00000000e-03
0.01000000,-6.3766785047e-07,5.00000000e-03
0.01500000,-9.4975612587e-07,5.00000000e-03
0.02000000,-1.2581007069e-06,5.00000000e-03
0.02500000,-1.6003196073e-06,5.00000000e-03
0.03000000,-2.6302000141e-06,5.00000000e-03
0.03500000,-1.0147499342e-05,5.00000000e-03
0.04000000,-5.0731075796e-05,5.00000000e-03
0.04500000,-1.7514701029e-04,5.00000000e-03
0.05000000,-3.4044204598e-04,5.00000000e-03
0.05500000,-3.0297002983e-04,5.00000000e-03
0.06000000,-8.2711978703e-05,5.00000000e-03
0.06500000,-1.5452699078e-04,5.00000000e-03
0.07000000,-3.6968968149e-04,5.00000000e-03
0.07500000,-1.5313633856e-04,5.00000000e-03
0.08000000,-6.0547019785e-05,5.00000000e-03
0.08500000,-3.7975713735e-04,5.00000000e-03
0.09000000,-1.6937224660e-04,5.00000000e-03
0.09500000,-7.5281152237e-06,5.00000000e-03
0.10000000,-4.3352831696e-04,5.00000000e-03
0.10500000,-1.2444296365e-04,5.00000000e-03
0.11000000,3.4751241295e-05,5.00000000e-03
0.11500000,-5.2144234123e-04,5.00000000e-03
0.12000000,8.1219764272e-05,5.00000000e-03
0.12500000,1.0572582573e-04,5.00000000e-03
0.13000000,-4.1489972307e-04,5.00000000e-03
0.13500000,6.8399479624e-04,5.00000000e-03
0.14000000,1.2297260449e-04,5.00000000e-03
0.14500000,-4.2476731141e-04,5.00000000e-03
0.15000000,5.3023956746e-04,5.00000000e-03
0.15500000,-7.3622056767e-04,5.00000000e-03
0.16000000,3.5497084755e-04,5.00000000e-03
0.16500000,1.2225264461e-03,5.00000000e-03
0.17000000,-1.8498910178e-03,5.00000000e-03
0.17500000,7.2798319819e-04,5.00000000e-03
0.18000000,9.7930368704e-04,5.00000000e-03
0.18500000,-9.2807021238e-04,5.00000000e-03
0.19000000,6.3887616350e-04,5.00000000e-03
0.19500000,-8.3698793999e-04,5.00000000e-03
0.20000000,1.2541058945e-03,5.00000000e-03
0.20500000,1.7493229014e-05,5.00000000e-03
0.21000000,-2.4574969324e-03,5.00000000e-03
0.21500000,3.5604091850e-03,5.00000000e-03
0.22000000,-2.7022868583e-03,5.00000000e-03
0.22500000,-2.4012402594e-03,5.00000000e-03
0.23000000,4.1681861953e-03,5.00000000e-03
0.23500000,-3.3256448188e-03,5.00000000e-03
0.24000000,-2.6182357210e-04,5.00000000e-03
0.24500000,2.1259285351e-03,5.00000000e-03
0.25000000,-3.0600619281e-03,5.00000000e-03
0.25500000,1.0678034462e-03,5.00000000e-03
0.26000000,1.3208678964e-03,5.00000000e-03
0.26500000,-1.2613349238e-03,5.00000000e-03
0.27000000,-8.2838321757e-04,5.00000000e-03
0.27500000,8.9466478035e-04,5.00000000e-03
0.28000000,1.1071465827e-03,5.00000000e-03
0.28500000,-2.8075276347e-03,5.00000000e-03
0.29000000,2.4735350440e-03,5.00000000e-03
0.29500000,4.5914429929e-04,5.00000000e-03
0.30000000,-2.1164357374e-03,5.00000000e-03
0.30500000,4.2023611728e-03,5.00000000e-03
0.31000000,-4.1468490747e-03,5.00000000e-03
0.31500000,1.3897429739e-03,5.00000000e-03
0.32000000,4.3786474339e-03,5.00000000e-03
0.32500000,-7.0482125324e-03,5.00000000e-03
0.33000000,6.1189024452e-03,5.00000000e-03
