time_s,acc_m_s2
0.000000000000000000e+00,-2.250880432479986310e-04
4.999999999999893419e-03,-2.228265200991889471e-04
9.999999999999786837e-03,-2.204322454179930360e-04
1.499999999999968026e-02,-2.178576791902452623e-04
1.999999999999957367e-02,-2.151776095527908818e-04
2.499999999999946709e-02,-2.126607315318342810e-04
2.999999999999936051e-02,-2.102181308535904945e-04
3.499999999999925393e-02,-2.076117733232865799e-04
3.999999999999914735e-02,-2.050257519943082503e-04
4.499999999999904077e-02,-2.020566140975014655e-04
4.999999999999893419e-02,-1.991020709410242060e-04
5.499999999999882760e-02,-1.972267154518945044e-04
5.999999999999872102e-02,-1.955507564472396009e-04
6.499999999999861444e-02,-1.930783802669489349e-04
6.999999999999850786e-02,-1.902741893744707097e-04
7.499999999999840128e-02,-1.871524648641651736e-04
7.999999999999829470e-02,-1.823204689139011733e-04
8.499999999999818812e-02,-1.783136154244601302e-04
8.999999999999808153e-02,-1.779539666750328897e-04
9.499999999999797495e-02,-1.779764011557192572e-04
9.999999999999786837e-02,-1.754951185775325173e-04
1.049999999999977618e-01,-1.720839908043944339e-04
1.099999999999976552e-01,-1.692962957341370895e-04
1.149999999999975486e-01,-1.669795425625042982e-04
1.199999999999974420e-01,-1.643534187511486145e-04
1.249999999999973355e-01,-1.617236001816353035e-04
1.299999999999972289e-01,-1.573585292634368355e-04
1.349999999999971223e-01,-1.500092336514395521e-04
1.399999999999970157e-01,-1.486585092769389784e-04
1.449999999999969091e-01,-1.490316400016399175e-04
1.499999999999968026e-01,-1.421432853586592393e-04
1.549999999999966960e-01,-1.396036389440228785e-04
1.599999999999965894e-01,-1.424353408131680526e-04
1.649999999999964828e-01,-1.423288267474432886e-04
1.699999999999963762e-01,-1.353946838816055321e-04
1.749999999999962697e-01,-1.237873377443232442e-04
1.799999999999961631e-01,-1.236761915776761131e-04
1.849999999999960565e-01,-1.266612638456533866e-04
1.899999999999959499e-01,-1.172259851726536643e-04
1.949999999999958433e-01,-1.144453711259876952e-04
1.999999999999957367e-01,-1.204762008248774964e-04
2.049999999999956302e-01,-1.219525032354528484e-04
2.099999999999955236e-01,-1.127948444057550397e-04
2.149999999999954170e-01,-9.283396413823715332e-05
2.199999999999953104e-01,-7.243098300426121107e-05
2.249999999999952038e-01,-5.596476894109925850e-05
2.299999999999950973e-01,-6.336361412493655596e-05
2.349999999999949907e-01,-9.298304399436579536e-05
2.399999999999948841e-01,-1.026919275283910980e-04
2.449999999999947775e-01,-8.119830209292766305e-05
2.499999999999946709e-01,-7.637460710130059840e-05
2.549999999999945643e-01,-9.105555537524468227e-05
2.599999999999944578e-01,-9.549777616940761948e-05
2.649999999999943512e-01,-8.836864638584464814e-05
2.699999999999942446e-01,-7.605935853202337694e-05
2.749999999999941380e-01,-4.863381739632025312e-05
2.799999999999940314e-01,-3.220360410202444975e-05
2.849999999999939249e-01,-5.508571728983340383e-05
2.899999999999938183e-01,-7.229450624585604974e-05
2.949999999999937117e-01,-4.112171858461177140e-05
2.999999999999936051e-01,-5.007776307530326763e-06
3.049999999999934985e-01,-6.601410560450946997e-06
3.099999999999933920e-01,-5.381384459212556803e-05
3.149999999999932854e-01,-1.026983441842146152e-04
3.199999999999931788e-01,-9.091325331328976606e-05
3.249999999999930722e-01,-5.190052590133156465e-05
3.299999999999929656e-01,-4.250068470273413629e-05
3.349999999999928590e-01,-2.975034542829946049e-05
3.399999999999927525e-01,3.663349884375980396e-05
3.449999999999926459e-01,5.838860482631807509e-05
3.499999999999925393e-01,-8.292022048157004244e-06
3.549999999999924327e-01,-4.613232411111013411e-05
3.599999999999923261e-01,-6.079734811897353231e-06
3.649999999999922196e-01,7.401090641215640609e-06
3.699999999999921130e-01,-3.847867877394509111e-05
3.749999999999920064e-01,-8.628512501446807491e-05
3.799999999999918998e-01,-7.897159464484908113e-05
3.849999999999917932e-01,-6.708372177249557957e-05
3.899999999999916866e-01,-4.665923007472566418e-05
3.949999999999915801e-01,-4.092277817267220343e-06
3.999999999999914735e-01,5.975091106424044329e-05
4.049999999999913669e-01,8.653184804425024981e-05
4.099999999999912603e-01,3.263496437630024485e-05
4.149999999999911537e-01,-4.935302672478200444e-06
4.199999999999910472e-01,5.518907494063445056e-05
4.249999999999909406e-01,1.223186471424466217e-04
4.299999999999908340e-01,1.304470077113572212e-04
4.349999999999907274e-01,9.831456419735565830e-05
4.399999999999906208e-01,5.351193157701751552e-05
4.449999999999905143e-01,7.763680964151160348e-05
4.499999999999904077e-01,1.175195989570953988e-04
4.549999999999903011e-01,8.396577518311291739e-05
4.599999999999901945e-01,1.061706926205024368e-04
4.649999999999900879e-01,1.923578131662881992e-04
4.699999999999899813e-01,1.336033206995865578e-04
4.749999999999898748e-01,2.951590647460064731e-05
4.799999999999897682e-01,7.881546417112533386e-05
4.849999999999896616e-01,1.785534466970448283e-04
4.899999999999895550e-01,1.784501972018314982e-04
4.949999999999894484e-01,7.284129405854852357e-05
4.999999999999893419e-01,4.717234951134883987e-05
5.049999999999892353e-01,2.003651970549735588e-04
5.099999999999891287e-01,2.567743198392542347e-04
5.149999999999890221e-01,1.097021865501122999e-04
5.199999999999889155e-01,1.961792973155859217e-05
5.249999999999888090e-01,1.223638510686927408e-04
5.299999999999887024e-01,2.380378363972049383e-04
5.349999999999885958e-01,2.163809209078736790e-04
5.399999999999884892e-01,1.193107211260675593e-04
5.449999999999883826e-01,1.140991655257458671e-04
5.499999999999882760e-01,1.109647037179569573e-04
5.549999999999881695e-01,6.270429828483644805e-05
5.599999999999880629e-01,3.903783456261259946e-05
5.649999999999879563e-01,5.459506664910219342e-05
5.699999999999878497e-01,4.081730962421060781e-05
5.749999999999877431e-01,-3.602766721956660365e-05
5.799999999999876366e-01,8.207053719856555388e-06
5.849999999999875300e-01,1.997980944171537290e-04
5.899999999999874234e-01,3.152710218400903890e-04
5.949999999999873168e-01,3.006936714825199667e-04
5.999999999999872102e-01,2.378646814278855383e-04
6.049999999999871036e-01,1.644684554007202516e-04
6.099999999999869971e-01,2.031700994996464994e-04
6.149999999999868905e-01,2.981160322883766875e-04
6.199999999999867839e-01,2.957043981242121321e-04
6.249999999999866773e-01,1.555718076470443138e-04
6.299999999999865707e-01,8.468741048285370555e-05
6.349999999999864642e-01,1.840017418402102893e-04
6.399999999999863576e-01,1.952120512227744492e-04
6.449999999999862510e-01,1.315579020417956702e-04
6.499999999999861444e-01,2.188676125426115534e-04
6.549999999999860378e-01,3.177957445276517181e-04
6.599999999999859313e-01,2.106803645014344428e-04
6.649999999999858247e-01,1.040561875025668392e-04
6.699999999999857181e-01,2.280526304042452624e-04
6.749999999999856115e-01,3.496960486702585047e-04
6.799999999999855049e-01,2.254105342509805845e-04
6.849999999999853983e-01,1.078945283328777395e-04
6.899999999999852918e-01,2.040290187715057199e-04
6.949999999999851852e-01,2.297085860015102461e-04
6.999999999999850786e-01,1.263903709756240682e-04
7.049999999999849720e-01,1.119794090836720950e-04
7.099999999999848654e-01,2.888858573365679595e-04
7.149999999999847589e-01,3.916907696818141453e-04
7.199999999999846523e-01,2.801102115310037319e-04
7.249999999999845457e-01,2.675419629858193874e-04
7.299999999999844391e-01,3.559248943485315148e-04
7.349999999999843325e-01,2.136839083385021730e-04
7.399999999999842260e-01,-1.127210081981777700e-05
7.449999999999841194e-01,1.115992980891125028e-04
7.499999999999840128e-01,2.580842715439223348e-04
7.549999999999839062e-01,1.821920239488309485e-04
7.599999999999837996e-01,1.381182758286482329e-04
7.649999999999836930e-01,3.140927474202716979e-04
7.699999999999835865e-01,4.850263408081907516e-04
7.749999999999834799e-01,4.884747402114826293e-04
7.799999999999833733e-01,4.408111051258135904e-04
7.849999999999832667e-01,4.378680762904415234e-04
7.899999999999831601e-01,4.615624828487128323e-04
7.949999999999830536e-01,4.650665879305629401e-04
7.999999999999829470e-01,4.676847796070170756e-04
8.049999999999828404e-01,3.745554667116908270e-04
8.099999999999827338e-01,7.026222161278889648e-05
8.149999999999826272e-01,-3.922642029489558014e-05
8.199999999999825206e-01,1.066921838765219334e-04
8.249999999999824141e-01,1.934756169185148896e-04
8.299999999999823075e-01,2.095485970561449147e-04
8.349999999999822009e-01,3.633332272240647311e-04
8.399999999999820943e-01,5.276647130970172619e-04
8.449999999999819877e-01,5.475412997938320335e-04
8.499999999999818812e-01,4.558082015834313003e-04
8.549999999999817746e-01,2.510982709473257198e-04
8.599999999999816680e-01,1.658274433141147027e-04
8.649999999999815614e-01,3.147117504809878634e-04
8.699999999999814548e-01,3.244437980552249828e-04
8.749999999999813483e-01,1.148858953286940459e-04
8.799999999999812417e-01,-9.534937247314619632e-05
8.849999999999811351e-01,-1.650992162724821273e-05
8.899999999999810285e-01,2.282904826005260814e-04
8.949999999999809219e-01,4.273253816784023090e-04
8.999999999999808153e-01,2.744413590901981660e-04
9.049999999999807088e-01,-6.731231327680977915e-06
9.099999999999806022e-01,1.568669479982610264e-04
9.149999999999804956e-01,3.435017939876083707e-04
9.199999999999803890e-01,2.420469379135366510e-04
9.249999999999802824e-01,1.288723089178095004e-04
9.299999999999801759e-01,1.438942834497808874e-04
9.349999999999800693e-01,1.927535669843945905e-04
9.399999999999799627e-01,1.892286193006827285e-04
9.449999999999798561e-01,1.817673290377676233e-04
9.499999999999797495e-01,1.168960907208621921e-04
9.549999999999796430e-01,2.032784016326810256e-05
9.599999999999795364e-01,2.325166106683748029e-04
9.649999999999794298e-01,3.712306621646642001e-04
9.699999999999793232e-01,3.007360515187069592e-04
9.749999999999792166e-01,4.339670757216615264e-04
9.799999999999791100e-01,5.833833190887775712e-04
9.849999999999790035e-01,4.587365746243945693e-04
9.899999999999788969e-01,3.819441496754400660e-04
9.949999999999787903e-01,3.162688599329328875e-04
9.999999999999786837e-01,2.036897563279800160e-04
1.004999999999978577e+00,1.604144621532786448e-04
1.009999999999978471e+00,2.460152356226147710e-04
1.014999999999978364e+00,5.105736552138654284e-04
1.019999999999978257e+00,6.970874303699961397e-04
1.024999999999978151e+00,7.039497599695613943e-04
