time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-3.2100627858e-07,5.00000000e-03
0.01000000,-6.3766785047e-07,5.00000000e-03
0.01500000,-9.4975612587e-07,5.00000000e-03
0.02000000,-1.2581007069e-06,5.00000000e-03
0.02500000,-1.6003196073e-06,5.00000000e-03
0.03000000,-2.6302000141e-06,5.00000000e-03
0.03500000,-1.0147499342e-05,5.00000000e-03
0.04000000,-5.0731075796e-05,5.00000000e-03
0.04500000,-1.7514701029e-04,5.00000000e-03
0.05000000,-3.4044204598e-04,5.00000000e-03
0.05500000,-3.0299953561e-04,5.00000000e-03
0.06000000,-8.2811818505e-05,5.00000000e-03
0.06500000,-1.5420237715e-04,5.00000000e-03
0.07000000,-3.7006763344e-04,5.00000000e-03
0.07500000,-1.5357540226e-04,5.00000000e-03
0.08000000,-5.9394865377e-05,5.00000000e-03
0.08500000,-3.8049164164e-04,5.00000000e-03
0.09000000,-1.7053480415e-04,5.00000000e-03
0.09500000,-4.2087770772e-06,5.00000000e-03
0.10000000,-4.3562435226e-04,5.00000000e-03
0.10500000,-1.2633477761e-04,5.00000000e-03
0.11000000,4.0507587003e-05,5.00000000e-03
0.11500000,-5.2764239639e-04,5.00000000e-03
0.12000000,8.0045242618e-05,5.00000000e-03
0.12500000,1.1532226120e-04,5.00000000e-03
0.13000000,-4.3316807025e-04,5.00000000e-03
0.13500000,6.9178673771e-04,5.00000000e-03
0.14000000,1.3709692122e-04,5.00000000e-03
0.14500000,-4.5484446271e-04,5.00000000e-03
0.15000000,5.6854162158e-04,5.00000000e-03
0.15500000,-7.6520922434e-04,5.00000000e-03
0.16000000,3.1567658581e-04,5.00000000e-03
0.16500000,1.1606592983e-03,5.00000000e-03
0.17000000,-1.8760217192e-03,5.00000000e-03
0.17500000,5.9949912809e-04,5.00000000e-03
0.18000000,1.1269219474e-03,5.00000000e-03
0.18500000,-1.0348289360e-03,5.00000000e-03
0.19000000,6.8643677897e-04,5.00000000e-03
0.19500000,-8.4349586055e-04,5.00000000e-03
0.20000000,1.0635991758e-03,5.00000000e-03
0.20500000,3.9119021885e-04,5.00000000e-03
0.21000000,-2.7654454396e-03,5.00000000e-03
0.21500000,3.7994474500e-03,5.00000000e-03
0.22000000,-2.2497813565e-03,5.00000000e-03
0.22500000,-3.1067914298e-03,5.00000000e-03
0.23000000,4.7263418268e-03,5.00000000e-03
0.23500000,-3.3657894733e-03,5.00000000e-03
0.24000000,-1.0384724064e-03,5.00000000e-03
0.24500000,2.8977602756e-03,5.00000000e-03
0.25000000,-3.5172448423e-03,5.00000000e-03
0.25500000,8.0230773994e-04,5.00000000e-03
0.26000000,1.9902631505e-03,5.00000000e-03
0.26500000,-1.8648525675e-03,5.00000000e-03
0.27000000,-7.8701552116e-04,5.00000000e-03
0.27500000,1.2318674771e-03,5.00000000e-03
0.28000000,8.4485632631e-04,5.00000000e-03
0.28500000,-2.7175172671e-03,5.00000000e-03
0.29000000,2.4861289947e-03,5.00000000e-03
0.29500000,5.9884562351e-04,5.00000000e-03
0.30000000,-2.4659210468e-03,5.00000000e-03
0.30500000,4.7459014642e-03,5.00000000e-03
0.31000000,-4.3657712994e-03,5.00000000e-03
0.31500000,5.8221354951e-04,5.00000000e-03
0.32000000,4.5096867862e-03,5.00000000e-03
0.32500000,-7.6329627353e-03,5.00000000e-03
0.33000000,6.0774479024e-03,5.00000000e-03
