time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-3.2100627858e-07,5.00000000e-03
0.01000000,-6.3766785047e-07,5.00000000e-03
0.01500000,-9.4975612587e-07,5.00000000e-03
0.02000000,-1.2581007069e-06,5.00000000e-03
0.02500000,-1.6003196073e-06,5.00000000e-03
0.03000000,-2.6302000141e-06,5.00000000e-03
0.03500000,-1.0147499342e-05,5.00000000e-03
0.04000000,-5.0731075796e-05,5.00000000e-03
0.04500000,-1.7514701029e-04,5.00000000e-03
0.05000000,-3.4044204598e-04,5.00000000e-03
0.05500000,-3.0302166468e-04,5.00000000e-03
0.06000000,-8.2887172559e-05,5.00000000e-03
0.06500000,-1.5395825030e-04,5.00000000e-03
0.07000000,-3.7034995974e-04,5.00000000e-03
0.07500000,-1.5390961066e-04,5.00000000e-03
0.08000000,-5.8522561636e-05,5.00000000e-03
0.08500000,-3.8103728270e-04,5.00000000e-03
0.09000000,-1.7143065671e-04,5.00000000e-03
0.09500000,-1.6752104137e-06,5.00000000e-03
0.10000000,-4.3718895901e-04,5.00000000e-03
0.10500000,-1.2783408829e-04,5.00000000e-03
0.11000000,4.4958949791e-05,5.00000000e-03
0.11500000,-5.3233663951e-04,5.00000000e-03
0.12000000,7.8957012924e-05,5.00000000e-03
0.12500000,1.2295083319e-04,5.00000000e-03
0.13000000,-4.4739276843e-04,5.00000000e-03
0.13500000,6.9735578022e-04,5.00000000e-03
0.14000000,1.4884195962e-04,5.00000000e-03
0.14500000,-4.7931312628e-04,5.00000000e-03
0.15000000,5.9916471827e-04,5.00000000e-03
0.15500000,-7.8742275832e-04,5.00000000e-03
0.16000000,2.8114881602e-04,5.00000000e-03
0.16500000,1.2650187058e-03,5.00000000e-03
0.17000000,-1.9621199825e-03,5.00000000e-03
0.17500000,5.6731364552e-04,5.00000000e-03
0.18000000,1.2403213815e-03,5.00000000e-03
0.18500000,-1.1396934647e-03,5.00000000e-03
0.19000000,7.5311945896e-04,5.00000000e-03
0.19500000,-9.1352403060e-04,5.00000000e-03
0.20000000,1.0563002878e-03,5.00000000e-03
0.20500000,6.5400848691e-04,5.00000000e-03
0.21000000,-3.1905466515e-03,5.00000000e-03
0.21500000,4.1042993583e-03,5.00000000e-03
0.22000000,-2.0611831263e-03,5.00000000e-03
0.22500000,-3.6750570543e-03,5.00000000e-03
0.23000000,5.3108918332e-03,5.00000000e-03
0.23500000,-3.6060159268e-03,5.00000000e-03
0.24000000,-1.4038911736e-03,5.00000000e-03
0.24500000,3.4287124155e-03,5.00000000e-03
0.25000000,-3.9768240088e-03,5.00000000e-03
0.25500000,5.9866522057e-04,5.00000000e-03
0.26000000,2.3146406889e-03,5.00000000e-03
0.26500000,-1.9882964336e-03,5.00000000e-03
0.27000000,-9.6848501428e-04,5.00000000e-03
0.27500000,1.2248524370e-03,5.00000000e-03
0.28000000,1.0492680435e-03,5.00000000e-03
0.28500000,-2.9991865896e-03,5.00000000e-03
0.29000000,2.5494345453e-03,5.00000000e-03
0.29500000,1.0378160874e-03,5.00000000e-03
0.30000000,-2.9392542568e-03,5.00000000e-03
0.30500000,5.2143096770e-03,5.00000000e-03
0.31000000,-4.3827048702e-03,5.00000000e-03
0.31500000,-3.0601001244e-04,5.00000000e-03
0.32000000,5.4484411756e-03,5.00000000e-03
0.32500000,-8.4501703621e-03,5.00000000e-03
0.33000000,6.1455065464e-03,5.00000000e-03
