time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-3.2100627858e-07,5.00000000e-03
0.01000000,-6.3766785047e-07,5.00000000e-03
0.01500000,-9.4975612587e-07,5.00000000e-03
0.02000000,-1.2581007069e-06,5.00000000e-03
0.02500000,-1.6003196073e-06,5.00000000e-03
0.03000000,-2.6302000141e-06,5.00000000e-03
0.03500000,-1.0147499342e-05,5.00000000e-03
0.04000000,-5.0731075796e-05,5.00000000e-03
0.04500000,-1.7514701029e-04,5.00000000e-03
0.05000000,-3.4044204598e-04,5.00000000e-03
0.05500000,-3.0303887602e-04,5.00000000e-03
0.06000000,-8.2946062674e-05,5.00000000e-03
0.06500000,-1.5376797885e-04,5.00000000e-03
0.07000000,-3.7056885860e-04,5.00000000e-03
0.07500000,-1.5417248277e-04,5.00000000e-03
0.08000000,-5.7839209971e-05,5.00000000e-03
0.08500000,-3.8145841510e-04,5.00000000e-03
0.09000000,-1.7214185580e-04,5.00000000e-03
0.09500000,3.2246055407e-07,5.00000000e-03
0.10000000,-4.3829063954e-04,5.00000000e-03
0.10500000,-1.2897738181e-04,5.00000000e-03
0.11000000,4.7830457772e-05,5.00000000e-03
0.11500000,-5.3548522352e-04,5.00000000e-03
0.12000000,7.8677067166e-05,5.00000000e-03
0.12500000,1.2755023383e-04,5.00000000e-03
0.13000000,-4.5753792298e-04,5.00000000e-03
0.13500000,7.0189079015e-04,5.00000000e-03
0.14000000,1.5631422695e-04,5.00000000e-03
0.14500000,-4.9705395392e-04,5.00000000e-03
0.15000000,6.2243396272e-04,5.00000000e-03
0.15500000,-8.0425913007e-04,5.00000000e-03
0.16000000,2.5454253606e-04,5.00000000e-03
0.16500000,1.3469670235e-03,5.00000000e-03
0.17000000,-2.0231007436e-03,5.00000000e-03
0.17500000,5.3838380834e-04,5.00000000e-03
0.18000000,1.3171753032e-03,5.00000000e-03
0.18500000,-1.2142281515e-03,5.00000000e-03
0.19000000,8.3798816150e-04,5.00000000e-03
0.19500000,-1.0136504190e-03,5.00000000e-03
0.20000000,1.0714052098e-03,5.00000000e-03
0.20500000,8.5212416837e-04,5.00000000e-03
0.21000000,-3.5588663122e-03,5.00000000e-03
0.21500000,4.4848240383e-03,5.00000000e-03
0.22000000,-2.0265238913e-03,5.00000000e-03
0.22500000,-4.1564044129e-03,5.00000000e-03
0.23000000,5.8827954307e-03,5.00000000e-03
0.23500000,-3.9338202179e-03,5.00000000e-03
0.24000000,-1.8028534278e-03,5.00000000e-03
0.24500000,3.7367330102e-03,5.00000000e-03
0.25000000,-4.1130729023e-03,5.00000000e-03
0.25500000,5.2207119303e-04,5.00000000e-03
0.26000000,2.4235079876e-03,5.00000000e-03
0.26500000,-2.0627121498e-03,5.00000000e-03
0.27000000,-8.9317813554e-04,5.00000000e-03
0.27500000,1.1378222240e-03,5.00000000e-03
0.28000000,1.2196512459e-03,5.00000000e-03
0.28500000,-3.1823336037e-03,5.00000000e-03
0.29000000,2.3204048066e-03,5.00000000e-03
0.29500000,1.5392209695e-03,5.00000000e-03
0.30000000,-3.5249570702e-03,5.00000000e-03
0.30500000,5.5260457950e-03,5.00000000e-03
0.31000000,-4.2640886049e-03,5.00000000e-03
0.31500000,-1.2797129649e-03,5.00000000e-03
0.32000000,6.0894499315e-03,5.00000000e-03
0.32500000,-8.9142946240e-03,5.00000000e-03
0.33000000,6.1708649153e-03,5.00000000e-03
