time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-3.2100627858e-07,5.00000000e-03
0.01000000,-6.3766785047e-07,5.00000000e-03
0.01500000,-9.4975612587e-07,5.00000000e-03
0.02000000,-1.2581007069e-06,5.00000000e-03
0.02500000,-1.6003196073e-06,5.00000000e-03
0.03000000,-2.6302000141e-06,5.00000000e-03
0.03500000,-1.0147499342e-05,5.00000000e-03
0.04000000,-5.0731075796e-05,5.00000000e-03
0.04500000,-1.7514701029e-04,5.00000000e-03
0.05000000,-3.4044204598e-04,5.00000000e-03
0.05500000,-3.0305264500e-04,5.00000000e-03
0.06000000,-8.2993352247e-05,5.00000000e-03
0.06500000,-1.5361551286e-04,5.00000000e-03
0.07000000,-3.7074353716e-04,5.00000000e-03
0.07500000,-1.5438463858e-04,5.00000000e-03
0.08000000,-5.7289425811e-05,5.00000000e-03
0.08500000,-3.8179319518e-04,5.00000000e-03
0.09000000,-1.7272002085e-04,5.00000000e-03
0.09500000,1.9367159598e-06,5.00000000e-03
0.10000000,-4.3926261678e-04,5.00000000e-03
0.10500000,-1.2998448836e-04,5.00000000e-03
0.11000000,5.0754074347e-05,5.00000000e-03
0.11500000,-5.3847246388e-04,5.00000000e-03
0.12000000,7.7780240553e-05,5.00000000e-03
0.12500000,1.3276566764e-04,5.00000000e-03
0.13000000,-4.6691472088e-04,5.00000000e-03
0.13500000,7.0506660130e-04,5.00000000e-03
0.14000000,1.6474222482e-04,5.00000000e-03
0.14500000,-5.1460648830e-04,5.00000000e-03
0.15000000,6.4309308579e-04,5.00000000e-03
0.15500000,-8.1610487391e-04,5.00000000e-03
0.16000000,2.2699718176e-04,5.00000000e-03
0.16500000,1.4216827397e-03,5.00000000e-03
0.17000000,-2.0779959047e-03,5.00000000e-03
0.17500000,5.0753064558e-04,5.00000000e-03
0.18000000,1.4059080183e-03,5.00000000e-03
0.18500000,-1.2984711881e-03,5.00000000e-03
0.19000000,8.0051636739e-04,5.00000000e-03
0.19500000,-1.0023436839e-03,5.00000000e-03
0.20000000,1.0861288418e-03,5.00000000e-03
0.20500000,9.6341712610e-04,5.00000000e-03
0.21000000,-3.8267059983e-03,5.00000000e-03
0.21500000,4.7486541634e-03,5.00000000e-03
0.22000000,-1.9105997487e-03,5.00000000e-03
0.22500000,-4.5737107308e-03,5.00000000e-03
0.23000000,6.3213494308e-03,5.00000000e-03
0.23500000,-4.1522322733e-03,5.00000000e-03
0.24000000,-1.9982580668e-03,5.00000000e-03
0.24500000,4.0893725751e-03,5.00000000e-03
0.25000000,-4.3958479276e-03,5.00000000e-03
0.25500000,5.2773512647e-04,5.00000000e-03
0.26000000,2.4912117839e-03,5.00000000e-03
0.26500000,-2.0310259835e-03,5.00000000e-03
0.27000000,-8.8322937747e-04,5.00000000e-03
0.27500000,8.8363816751e-04,5.00000000e-03
0.28000000,1.4023211894e-03,5.00000000e-03
0.28500000,-3.4212408525e-03,5.00000000e-03
0.29000000,2.0170721249e-03,5.00000000e-03
0.29500000,2.1250067323e-03,5.00000000e-03
0.30000000,-4.0698720972e-03,5.00000000e-03
0.30500000,6.0122539214e-03,5.00000000e-03
0.31000000,-4.5057848730e-03,5.00000000e-03
0.31500000,-1.7035413997e-03,5.00000000e-03
0.32000000,6.9845122913e-03,5.00000000e-03
0.32500000,-9.9743551229e-03,5.00000000e-03
0.33000000,6.5128948330e-03,5.00000000e-03
