time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0826020120e-05,5.00000000e-03
0.06000000,3.7628349610e-05,5.00000000e-03
0.06500000,4.0499926625e-05,5.00000000e-03
0.07000000,1.1899687571e-04,5.00000000e-03
0.07500000,8.1861254028e-05,5.00000000e-03
0.08000000,1.1599385824e-05,5.00000000e-03
0.08500000,1.2933936547e-04,5.00000000e-03
0.09000000,1.2398393235e-04,5.00000000e-03
0.09500000,-1.9284158935e-05,5.00000000e-03
0.10000000,1.5607008394e-04,5.00000000e-03
0.10500000,1.5733931571e-04,5.00000000e-03
0.11000000,-7.6724513577e-05,5.00000000e-03
0.11500000,2.2290851481e-04,5.00000000e-03
0.12000000,1.5842771780e-04,5.00000000e-03
0.12500000,-1.7998880906e-04,5.00000000e-03
0.13000000,3.2664854894e-04,5.00000000e-03
0.13500000,-3.0343892465e-06,5.00000000e-03
0.14000000,-3.2965795921e-04,5.00000000e-03
0.14500000,5.6186261741e-04,5.00000000e-03
0.15000000,-1.8160351529e-04,5.00000000e-03
0.15500000,-1.5741777559e-04,5.00000000e-03
0.16000000,7.4495335555e-04,5.00000000e-03
0.16500000,-9.7234559239e-04,5.00000000e-03
0.17000000,3.8084543271e-04,5.00000000e-03
0.17500000,1.0589422346e-03,5.00000000e-03
0.18000000,-1.5918074992e-03,5.00000000e-03
0.18500000,1.0927543603e-03,5.00000000e-03
0.19000000,3.2171981432e-04,5.00000000e-03
0.19500000,-8.7143717287e-04,5.00000000e-03
0.20000000,1.5581911576e-03,5.00000000e-03
0.20500000,-1.6893145085e-03,5.00000000e-03
0.21000000,1.0970791472e-03,5.00000000e-03
