time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0819429647e-05,5.00000000e-03
0.06000000,3.7629773179e-05,5.00000000e-03
0.06500000,4.0519884479e-05,5.00000000e-03
0.07000000,1.1899165711e-04,5.00000000e-03
0.07500000,8.1774103696e-05,5.00000000e-03
0.08000000,1.1751619842e-05,5.00000000e-03
0.08500000,1.2935263226e-04,5.00000000e-03
0.09000000,1.2351021251e-04,5.00000000e-03
0.09500000,-1.8650801711e-05,5.00000000e-03
0.10000000,1.5615878292e-04,5.00000000e-03
0.10500000,1.5582611032e-04,5.00000000e-03
0.11000000,-7.4772457893e-05,5.00000000e-03
0.11500000,2.2264021379e-04,5.00000000e-03
0.12000000,1.5497509175e-04,5.00000000e-03
0.12500000,-1.7501603072e-04,5.00000000e-03
0.13000000,3.2328295207e-04,5.00000000e-03
0.13500000,-7.0799579468e-06,5.00000000e-03
0.14000000,-3.3124378648e-04,5.00000000e-03
0.14500000,5.5824471305e-04,5.00000000e-03
0.15000000,-1.8779956896e-04,5.00000000e-03
0.15500000,-1.4340051362e-04,5.00000000e-03
0.16000000,7.2738632548e-04,5.00000000e-03
0.16500000,-9.5155737052e-04,5.00000000e-03
0.17000000,3.8720766308e-04,5.00000000e-03
0.17500000,1.0109579332e-03,5.00000000e-03
0.18000000,-1.5480552228e-03,5.00000000e-03
0.18500000,1.0765517266e-03,5.00000000e-03
0.19000000,2.9685127540e-04,5.00000000e-03
0.19500000,-8.6418213351e-04,5.00000000e-03
0.20000000,1.5557980148e-03,5.00000000e-03
0.20500000,-1.6603416227e-03,5.00000000e-03
0.21000000,1.0227549379e-03,5.00000000e-03
