time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0812839030e-05,5.00000000e-03
0.06000000,3.7631202448e-05,5.00000000e-03
0.06500000,4.0539839770e-05,5.00000000e-03
0.07000000,1.1898641063e-04,5.00000000e-03
0.07500000,8.1687218808e-05,5.00000000e-03
0.08000000,1.1903126314e-05,5.00000000e-03
0.08500000,1.2936376112e-04,5.00000000e-03
0.09000000,1.2304649464e-04,5.00000000e-03
0.09500000,-1.8027333989e-05,5.00000000e-03
0.10000000,1.5624073389e-04,5.00000000e-03
0.10500000,1.5434522495e-04,5.00000000e-03
0.11000000,-7.2859461977e-05,5.00000000e-03
0.11500000,2.2237664857e-04,5.00000000e-03
0.12000000,1.5161151859e-04,5.00000000e-03
0.12500000,-1.7018464260e-04,5.00000000e-03
0.13000000,3.2005224169e-04,5.00000000e-03
0.13500000,-1.1003992428e-05,5.00000000e-03
0.14000000,-3.1918273826e-04,5.00000000e-03
0.14500000,5.4794965864e-04,5.00000000e-03
0.15000000,-1.8689501616e-04,5.00000000e-03
0.15500000,-1.3074293402e-04,5.00000000e-03
0.16000000,7.0578707053e-04,5.00000000e-03
0.16500000,-9.2307623455e-04,5.00000000e-03
0.17000000,3.8687345530e-04,5.00000000e-03
0.17500000,9.6539630697e-04,5.00000000e-03
0.18000000,-1.5030226951e-03,5.00000000e-03
0.18500000,1.0555468303e-03,5.00000000e-03
0.19000000,2.8194315675e-04,5.00000000e-03
0.19500000,-8.6637929377e-04,5.00000000e-03
0.20000000,1.5536525842e-03,5.00000000e-03
0.20500000,-1.6161309125e-03,5.00000000e-03
0.21000000,9.3384860242e-04,5.00000000e-03
