time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0806248267e-05,5.00000000e-03
0.06000000,3.7632637396e-05,5.00000000e-03
0.06500000,4.0559792512e-05,5.00000000e-03
0.07000000,1.1898113627e-04,5.00000000e-03
0.07500000,8.1600598839e-05,5.00000000e-03
0.08000000,1.2054239453e-05,5.00000000e-03
0.08500000,1.2937446975e-04,5.00000000e-03
0.09000000,1.2258582842e-04,5.00000000e-03
0.09500000,-1.7408003903e-05,5.00000000e-03
0.10000000,1.5632031717e-04,5.00000000e-03
0.10500000,1.5288274768e-04,5.00000000e-03
0.11000000,-7.0971312271e-05,5.00000000e-03
0.11500000,2.2211558940e-04,5.00000000e-03
0.12000000,1.4831926158e-04,5.00000000e-03
0.12500000,-1.6546443073e-04,5.00000000e-03
0.13000000,3.1691834282e-04,5.00000000e-03
0.13500000,-1.4805599390e-05,5.00000000e-03
0.14000000,-3.0738856597e-04,5.00000000e-03
0.14500000,5.3811459930e-04,5.00000000e-03
0.15000000,-1.8651888219e-04,5.00000000e-03
0.15500000,-1.1850376103e-04,5.00000000e-03
0.16000000,6.8560520860e-04,5.00000000e-03
0.16500000,-8.9692813057e-04,5.00000000e-03
0.17000000,3.8703981288e-04,5.00000000e-03
0.17500000,9.2196898026e-04,5.00000000e-03
0.18000000,-1.4602624155e-03,5.00000000e-03
0.18500000,1.0370300863e-03,5.00000000e-03
0.19000000,2.6478358719e-04,5.00000000e-03
0.19500000,-8.6386769608e-04,5.00000000e-03
0.20000000,1.5508859580e-03,5.00000000e-03
0.20500000,-1.5823090471e-03,5.00000000e-03
0.21000000,8.5964353493e-04,5.00000000e-03
