time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0832610446e-05,5.00000000e-03
0.06000000,3.7626931736e-05,5.00000000e-03
0.06500000,4.0479966215e-05,5.00000000e-03
0.07000000,1.1900206638e-04,5.00000000e-03
0.07500000,8.1948670339e-05,5.00000000e-03
0.08000000,1.1447054354e-05,5.00000000e-03
0.08500000,1.2932723544e-04,5.00000000e-03
0.09000000,1.2445445882e-04,5.00000000e-03
0.09500000,-1.9916579394e-05,5.00000000e-03
0.10000000,1.5598299230e-04,5.00000000e-03
0.10500000,1.5885888406e-04,5.00000000e-03
0.11000000,-7.8689745760e-05,5.00000000e-03
0.11500000,2.2317811881e-04,5.00000000e-03
0.12000000,1.6194000212e-04,5.00000000e-03
0.12500000,-1.8507144863e-04,5.00000000e-03
0.13000000,3.2999634604e-04,5.00000000e-03
0.13500000,1.4886224468e-06,5.00000000e-03
0.14000000,-3.4133493088e-04,5.00000000e-03
0.14500000,5.7214972367e-04,5.00000000e-03
0.15000000,-1.8060901904e-04,5.00000000e-03
0.15500000,-1.7341481418e-04,5.00000000e-03
0.16000000,7.6840158343e-04,5.00000000e-03
0.16500000,-1.0006008104e-03,5.00000000e-03
0.17000000,3.7790776838e-04,5.00000000e-03
0.17500000,1.1081005598e-03,5.00000000e-03
0.18000000,-1.6398485754e-03,5.00000000e-03
0.18500000,1.1228168627e-03,5.00000000e-03
0.19000000,3.3511950318e-04,5.00000000e-03
0.19500000,-8.7182137988e-04,5.00000000e-03
0.20000000,1.5666010471e-03,5.00000000e-03
0.20500000,-1.7329523289e-03,5.00000000e-03
0.21000000,1.1890277488e-03,5.00000000e-03
