time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0661176304e-05,5.00000000e-03
0.06000000,3.7631388626e-05,5.00000000e-03
0.06500000,4.1275104213e-05,5.00000000e-03
0.07000000,1.1814387698e-04,5.00000000e-03
0.07500000,8.0883967152e-05,5.00000000e-03
0.08000000,1.4598454148e-05,5.00000000e-03
0.08500000,1.2793410082e-04,5.00000000e-03
0.09000000,1.1974779578e-04,5.00000000e-03
0.09500000,-1.1435899306e-05,5.00000000e-03
0.10000000,1.5354284915e-04,5.00000000e-03
0.10500000,1.4694098734e-04,5.00000000e-03
0.11000000,-5.8480701192e-05,5.00000000e-03
0.11500000,2.1426100054e-04,5.00000000e-03
0.12000000,1.4054132379e-04,5.00000000e-03
0.12500000,-1.4178845032e-04,5.00000000e-03
0.13000000,2.9514971474e-04,5.00000000e-03
0.13500000,-1.8285011152e-05,5.00000000e-03
0.14000000,-2.7310907428e-04,5.00000000e-03
0.14500000,4.8542407369e-04,5.00000000e-03
0.15000000,-1.6234380642e-04,5.00000000e-03
0.15500000,-8.2311659136e-05,5.00000000e-03
0.16000000,5.9457740491e-04,5.00000000e-03
0.16500000,-8.0345136227e-04,5.00000000e-03
0.17000000,4.0962502239e-04,5.00000000e-03
0.17500000,8.3838973951e-04,5.00000000e-03
0.18000000,-1.3043254647e-03,5.00000000e-03
0.18500000,9.3356097058e-04,5.00000000e-03
0.19000000,2.4859367960e-04,5.00000000e-03
0.19500000,-7.0644132346e-04,5.00000000e-03
0.20000000,1.2690019226e-03,5.00000000e-03
0.20500000,-1.3804570790e-03,5.00000000e-03
0.21000000,1.0208994526e-03,5.00000000e-03
