time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0319054227e-05,5.00000000e-03
0.06000000,3.7651844603e-05,5.00000000e-03
0.06500000,4.2817979756e-05,5.00000000e-03
0.07000000,1.1644880928e-04,5.00000000e-03
0.07500000,7.8945324775e-05,5.00000000e-03
0.08000000,2.0533278245e-05,5.00000000e-03
0.08500000,1.2508826849e-04,5.00000000e-03
0.09000000,1.1155552450e-04,5.00000000e-03
0.09500000,3.9153310913e-06,5.00000000e-03
0.10000000,1.4810868333e-04,5.00000000e-03
0.10500000,1.2764135435e-04,5.00000000e-03
0.11000000,-2.3764340841e-05,5.00000000e-03
0.11500000,1.9679695862e-04,5.00000000e-03
0.12000000,1.0916287649e-04,5.00000000e-03
0.12500000,-7.3000608591e-05,5.00000000e-03
0.13000000,2.3514830333e-04,5.00000000e-03
0.13500000,-4.0061366207e-05,5.00000000e-03
0.14000000,-1.4900050858e-04,5.00000000e-03
0.14500000,3.4080358624e-04,5.00000000e-03
0.15000000,-1.1170114217e-04,5.00000000e-03
0.15500000,3.1544424235e-05,5.00000000e-03
0.16000000,3.3747086371e-04,5.00000000e-03
0.16500000,-4.9469847491e-04,5.00000000e-03
0.17000000,3.7207844005e-04,5.00000000e-03
0.17500000,4.3053017231e-04,5.00000000e-03
0.18000000,-7.4456914128e-04,5.00000000e-03
0.18500000,6.1515353235e-04,5.00000000e-03
0.19000000,1.1662195387e-04,5.00000000e-03
0.19500000,-4.2393790820e-04,5.00000000e-03
0.20000000,7.5690724551e-04,5.00000000e-03
0.20500000,-7.9717837723e-04,5.00000000e-03
0.21000000,6.8801082637e-04,5.00000000e-03
