time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0831585173e-05,5.00000000e-03
0.06000000,3.7602429518e-05,5.00000000e-03
0.06500000,4.0526930135e-05,5.00000000e-03
0.07000000,1.1899301795e-04,5.00000000e-03
0.07500000,8.1829882566e-05,5.00000000e-03
0.08000000,1.1729830306e-05,5.00000000e-03
0.08500000,1.2940113448e-04,5.00000000e-03
0.09000000,1.2394143323e-04,5.00000000e-03
0.09500000,-1.9086500271e-05,5.00000000e-03
0.10000000,1.5618081223e-04,5.00000000e-03
0.10500000,1.5724943769e-04,5.00000000e-03
0.11000000,-7.6125501422e-05,5.00000000e-03
0.11500000,2.2316257563e-04,5.00000000e-03
0.12000000,1.5776232939e-04,5.00000000e-03
0.12500000,-1.7694500580e-04,5.00000000e-03
0.13000000,3.2733361355e-04,5.00000000e-03
0.13500000,-7.0688345279e-06,5.00000000e-03
0.14000000,-3.1601467489e-04,5.00000000e-03
0.14500000,5.4823433769e-04,5.00000000e-03
0.15000000,-1.8173074048e-04,5.00000000e-03
0.15500000,-1.4295452651e-04,5.00000000e-03
0.16000000,7.2405589156e-04,5.00000000e-03
0.16500000,-9.6472272821e-04,5.00000000e-03
0.17000000,4.1551610580e-04,5.00000000e-03
0.17500000,1.0512243911e-03,5.00000000e-03
0.18000000,-1.5243751463e-03,5.00000000e-03
0.18500000,8.8021377249e-04,5.00000000e-03
0.19000000,3.7848727161e-04,5.00000000e-03
0.19500000,-7.6469670324e-04,5.00000000e-03
0.20000000,1.4159110552e-03,5.00000000e-03
0.20500000,-1.6115641739e-03,5.00000000e-03
0.21000000,1.1751484680e-03,5.00000000e-03
