time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0832089924e-05,5.00000000e-03
0.06000000,3.7614487341e-05,5.00000000e-03
0.06500000,4.0503819818e-05,5.00000000e-03
0.07000000,1.1899751905e-04,5.00000000e-03
0.07500000,8.1888254572e-05,5.00000000e-03
0.08000000,1.1590756976e-05,5.00000000e-03
0.08500000,1.2936516540e-04,5.00000000e-03
0.09000000,1.2419304849e-04,5.00000000e-03
0.09500000,-1.9494582439e-05,5.00000000e-03
0.10000000,1.5608597963e-04,5.00000000e-03
0.10500000,1.5803605542e-04,5.00000000e-03
0.11000000,-7.7383457980e-05,5.00000000e-03
0.11500000,2.2318131684e-04,5.00000000e-03
0.12000000,1.5979132577e-04,5.00000000e-03
0.12500000,-1.8091114295e-04,5.00000000e-03
0.13000000,3.2868292991e-04,5.00000000e-03
0.13500000,-2.9796600281e-06,5.00000000e-03
0.14000000,-3.2821263042e-04,5.00000000e-03
0.14500000,5.5919059492e-04,5.00000000e-03
0.15000000,-1.7955592487e-04,5.00000000e-03
0.15500000,-1.6008530609e-04,5.00000000e-03
0.16000000,7.5354726178e-04,5.00000000e-03
0.16500000,-9.8562503266e-04,5.00000000e-03
0.17000000,3.9376244410e-04,5.00000000e-03
0.17500000,1.1144204005e-03,5.00000000e-03
0.18000000,-1.6130854722e-03,5.00000000e-03
0.18500000,9.1184200270e-04,5.00000000e-03
0.19000000,4.3695928385e-04,5.00000000e-03
0.19500000,-8.8561755662e-04,5.00000000e-03
0.20000000,1.6376089035e-03,5.00000000e-03
0.20500000,-1.8268957623e-03,5.00000000e-03
0.21000000,1.1402967823e-03,5.00000000e-03
