strain,stress
0.0,0.0
-1.0096556014339174e-12,-5.146052965774576e-07
-4.435924237346073e-12,-2.260919496954177e-06
-3.4084101210225635e-12,-1.7372119768980604e-06
2.1566437398800098e-11,1.0992065770652751e-05
1.341447969402254e-10,6.837137022417068e-05
4.634957153667954e-10,0.0002362353226543138
1.137220676449726e-09,0.0005796170042756678
2.082988434935294e-09,0.001061645154797084
2.8642875153532095e-09,0.0014598423392046282
2.831088471609802e-09,0.0014429183790997469
1.64663131748565e-09,0.0008392260239603992
-2.274047689449028e-10,-0.0001159186733802416
-1.6704649071802674e-09,-0.0008513974033751386
-1.7536898416862274e-09,-0.0008938112745881353
-5.952741430664003e-10,-0.00030339161589945825
6.661685010564386e-10,0.0003395326942461551
8.828823419767981e-10,0.0004499847864078609
-4.353809424181569e-11,-2.2192609023996118e-05
-1.1264901432885009e-09,-0.0005741466807192425
-1.3362847273321976e-09,-0.0006810729784428768
-6.383394277457223e-10,-0.0003253442713171888
4.8142931789887556e-11,2.454014508761562e-05
-1.16798908522431e-10,-5.952780468180305e-05
-1.0148067065429167e-09,-0.0005172233952466381
-1.767518480562498e-09,-0.0009008609231296831
-1.71888909210961e-09,-0.000876074558348638
-1.076011821747104e-09,-0.0005484130938206976
-5.522683852513963e-10,-0.0002814729164883474
-5.197692485813099e-10,-0.0002649090834770762
-6.814163410247338e-10,-0.0003472975286211905
-5.774490601239008e-10,-0.00029430735732398756
-2.3534181738882694e-10,-0.0001199431383695587
-1.460394821623773e-10,-7.44281031924747e-05
-6.124637135942995e-10,-0.0003121554123190786
-1.2910837851249947e-09,-0.000658033270306892
-1.514076664561848e-09,-0.0007716874866422483
-1.0357243171953114e-09,-0.0005278806258554675
-3.3433680018642306e-10,-0.00017039870928047104
-1.1156302849582048e-10,-5.685620122626567e-05
-5.518042452688663e-10,-0.0002812385949815292
-1.1593946274373103e-09,-0.000590914360328708
-1.3221781375872615e-09,-0.0006738813730182164
-9.516847023741717e-10,-0.0004850480176553343
-5.201353441089024e-10,-0.0002650963138819034
-5.181498622772536e-10,-0.00026408456873428855
-9.623078269447875e-10,-0.0004904631323596469
-1.4448735075202382e-09,-0.0007364163137137721
-1.5880568803924055e-09,-0.0008093934325175665
-1.3807843225003847e-09,-0.0007037505428018929
-1.1017979703123826e-09,-0.0005615567584655692
-1.008243974834191e-09,-0.000513874219447136
-1.1451015866247482e-09,-0.0005836279661374919
-1.3971164881049393e-09,-0.0007120750222868009
-1.6294847112316386e-09,-0.0008305081857798324
-1.7537787020174845e-09,-0.0008938577559587754
-1.7283501804204527e-09,-0.0008808972702660557
-1.5736529118932706e-09,-0.0008020510113813316
-1.391085580311331e-09,-0.0007090000313504047
