time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0831858580e-05,5.00000000e-03
0.06000000,3.7608959680e-05,5.00000000e-03
0.06500000,4.0514414543e-05,5.00000000e-03
0.07000000,1.1906436006e-04,5.00000000e-03
0.07500000,8.1790067262e-05,5.00000000e-03
0.08000000,1.1860758609e-05,5.00000000e-03
0.08500000,1.2983387830e-04,5.00000000e-03
0.09000000,1.2308166402e-04,5.00000000e-03
0.09500000,-1.8025185493e-05,5.00000000e-03
0.10000000,1.5718831936e-04,5.00000000e-03
0.10500000,1.5348087284e-04,5.00000000e-03
0.11000000,-7.1582435578e-05,5.00000000e-03
0.11500000,2.2403403474e-04,5.00000000e-03
0.12000000,1.4785214426e-04,5.00000000e-03
0.12500000,-1.6603098068e-04,5.00000000e-03
0.13000000,3.1974398045e-04,5.00000000e-03
0.13500000,-1.7120349894e-05,5.00000000e-03
0.14000000,-3.0572268696e-04,5.00000000e-03
0.14500000,5.3217929663e-04,5.00000000e-03
0.15000000,-2.0059849765e-04,5.00000000e-03
0.15500000,-9.2894387107e-05,5.00000000e-03
0.16000000,6.7185749475e-04,5.00000000e-03
0.16500000,-9.3090375851e-04,5.00000000e-03
0.17000000,5.2308604161e-04,5.00000000e-03
0.17500000,9.2305673560e-04,5.00000000e-03
0.18000000,-1.5696990548e-03,5.00000000e-03
0.18500000,1.1667942654e-03,5.00000000e-03
0.19000000,2.3678467893e-04,5.00000000e-03
0.19500000,-9.9127187355e-04,5.00000000e-03
0.20000000,1.5996817487e-03,5.00000000e-03
0.20500000,-1.7620256779e-03,5.00000000e-03
0.21000000,8.7257390740e-04,5.00000000e-03
