time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0830354844e-05,5.00000000e-03
0.06000000,3.7573077642e-05,5.00000000e-03
0.06500000,4.0583177282e-05,5.00000000e-03
0.07000000,1.1898167113e-04,5.00000000e-03
0.07500000,8.1688475271e-05,5.00000000e-03
0.08000000,1.2067682969e-05,5.00000000e-03
0.08500000,1.2948550523e-04,5.00000000e-03
0.09000000,1.2333575934e-04,5.00000000e-03
0.09500000,-1.8096579178e-05,5.00000000e-03
0.10000000,1.5639180327e-04,5.00000000e-03
0.10500000,1.5537747964e-04,5.00000000e-03
0.11000000,-7.3096100988e-05,5.00000000e-03
0.11500000,2.2303228422e-04,5.00000000e-03
0.12000000,1.5303277018e-04,5.00000000e-03
0.12500000,-1.6752597659e-04,5.00000000e-03
0.13000000,3.2389731648e-04,5.00000000e-03
0.13500000,-1.6667515752e-05,5.00000000e-03
0.14000000,-3.1204617951e-04,5.00000000e-03
0.14500000,5.4067430186e-04,5.00000000e-03
0.15000000,-2.0710252531e-04,5.00000000e-03
0.15500000,-8.4555184831e-05,5.00000000e-03
0.16000000,6.0726957982e-04,5.00000000e-03
0.16500000,-9.0227787630e-04,5.00000000e-03
0.17000000,5.4907523645e-04,5.00000000e-03
0.17500000,7.6351656939e-04,5.00000000e-03
0.18000000,-1.2174433647e-03,5.00000000e-03
0.18500000,1.0183165161e-03,5.00000000e-03
0.19000000,3.2144461796e-05,5.00000000e-03
0.19500000,-5.1408085982e-04,5.00000000e-03
0.20000000,8.9460671888e-04,5.00000000e-03
0.20500000,-1.2941660340e-03,5.00000000e-03
0.21000000,1.5668770138e-03,5.00000000e-03
