time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0487736736e-05,5.00000000e-03
0.06000000,3.7588236312e-05,5.00000000e-03
0.06500000,4.2152700331e-05,5.00000000e-03
0.07000000,1.1726530107e-04,5.00000000e-03
0.07500000,7.9657738699e-05,5.00000000e-03
0.08000000,1.8181625166e-05,5.00000000e-03
0.08500000,1.2660459222e-04,5.00000000e-03
0.09000000,1.1460055987e-04,5.00000000e-03
0.09500000,-1.9676033667e-06,5.00000000e-03
0.10000000,1.5089693863e-04,5.00000000e-03
0.10500000,1.3425380918e-04,5.00000000e-03
0.11000000,-3.5886294371e-05,5.00000000e-03
0.11500000,2.0526537157e-04,5.00000000e-03
0.12000000,1.1764122307e-04,5.00000000e-03
0.12500000,-9.3500160311e-05,5.00000000e-03
0.13000000,2.5821476477e-04,5.00000000e-03
0.13500000,-4.2228079589e-05,5.00000000e-03
0.14000000,-1.8102613525e-04,5.00000000e-03
0.14500000,3.8421967109e-04,5.00000000e-03
0.15000000,-1.4054165181e-04,5.00000000e-03
0.15500000,2.4792473775e-05,5.00000000e-03
0.16000000,3.7310559036e-04,5.00000000e-03
0.16500000,-5.7467522667e-04,5.00000000e-03
0.17000000,4.3884320932e-04,5.00000000e-03
0.17500000,4.5001784827e-04,5.00000000e-03
0.18000000,-7.7520906602e-04,5.00000000e-03
0.18500000,7.2419196585e-04,5.00000000e-03
0.19000000,3.0317058188e-05,5.00000000e-03
0.19500000,-3.3267969690e-04,5.00000000e-03
0.20000000,6.4129591154e-04,5.00000000e-03
0.20500000,-8.3693405755e-04,5.00000000e-03
0.21000000,1.0228806813e-03,5.00000000e-03
