time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0146112190e-05,5.00000000e-03
0.06000000,3.7618497971e-05,5.00000000e-03
0.06500000,4.3659818837e-05,5.00000000e-03
0.07000000,1.1557946916e-04,5.00000000e-03
0.07500000,7.7869644772e-05,5.00000000e-03
0.08000000,2.3819847040e-05,5.00000000e-03
0.08500000,1.2367838749e-04,5.00000000e-03
0.09000000,1.0723772446e-04,5.00000000e-03
0.09500000,1.1960900093e-05,5.00000000e-03
0.10000000,1.4565031283e-04,5.00000000e-03
0.10500000,1.1787814702e-04,5.00000000e-03
0.11000000,-6.2902725897e-06,5.00000000e-03
0.11500000,1.8807797009e-04,5.00000000e-03
0.12000000,9.4517477023e-05,5.00000000e-03
0.12500000,-3.8842549075e-05,5.00000000e-03
0.13000000,2.0504652583e-04,5.00000000e-03
0.13500000,-4.7273701944e-05,5.00000000e-03
0.14000000,-9.0687639325e-05,5.00000000e-03
0.14500000,2.6951061599e-04,5.00000000e-03
0.15000000,-8.4758132014e-05,5.00000000e-03
0.15500000,7.7611866112e-05,5.00000000e-03
0.16000000,2.1792493392e-04,5.00000000e-03
0.16500000,-3.4083279774e-04,5.00000000e-03
0.17000000,3.5188966595e-04,5.00000000e-03
0.17500000,2.2636000361e-04,5.00000000e-03
0.18000000,-4.3833943990e-04,5.00000000e-03
0.18500000,4.7594202066e-04,5.00000000e-03
0.19000000,1.6361413859e-06,5.00000000e-03
0.19500000,-1.4450064649e-04,5.00000000e-03
0.20000000,4.0541150254e-04,5.00000000e-03
0.20500000,-4.5358053897e-04,5.00000000e-03
0.21000000,6.2402745281e-04,5.00000000e-03
