time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0488638473e-05,5.00000000e-03
0.06000000,3.7608807611e-05,5.00000000e-03
0.06500000,4.2113412295e-05,5.00000000e-03
0.07000000,1.1727643614e-04,5.00000000e-03
0.07500000,7.9747741368e-05,5.00000000e-03
0.08000000,1.7959986206e-05,5.00000000e-03
0.08500000,1.2657195635e-04,5.00000000e-03
0.09000000,1.1494279195e-04,5.00000000e-03
0.09500000,-2.5760589379e-06,5.00000000e-03
0.10000000,1.5089203662e-04,5.00000000e-03
0.10500000,1.3517123188e-04,5.00000000e-03
0.11000000,-3.7574444672e-05,5.00000000e-03
0.11500000,2.0551594323e-04,5.00000000e-03
0.12000000,1.1967061941e-04,5.00000000e-03
0.12500000,-9.7893287031e-05,5.00000000e-03
0.13000000,2.6062325491e-04,5.00000000e-03
0.13500000,-3.8923928822e-05,5.00000000e-03
0.14000000,-1.9016423488e-04,5.00000000e-03
0.14500000,3.9386174334e-04,5.00000000e-03
0.15000000,-1.4047898221e-04,5.00000000e-03
0.15500000,1.0929446954e-05,5.00000000e-03
0.16000000,4.0357829685e-04,5.00000000e-03
0.16500000,-6.0139613676e-04,5.00000000e-03
0.17000000,4.2749723867e-04,5.00000000e-03
0.17500000,5.0635489364e-04,5.00000000e-03
0.18000000,-8.5748240512e-04,5.00000000e-03
0.18500000,7.1136046150e-04,5.00000000e-03
0.19000000,9.0700153991e-05,5.00000000e-03
0.19500000,-4.2065513303e-04,5.00000000e-03
0.20000000,7.5548255762e-04,5.00000000e-03
0.20500000,-9.1004201952e-04,5.00000000e-03
0.21000000,9.7333031706e-04,5.00000000e-03
