time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0147013405e-05,5.00000000e-03
0.06000000,3.7638153820e-05,5.00000000e-03
0.06500000,4.3622411360e-05,5.00000000e-03
0.07000000,1.1559288243e-04,5.00000000e-03
0.07500000,7.7947639268e-05,5.00000000e-03
0.08000000,2.3622106792e-05,5.00000000e-03
0.08500000,1.2366725199e-04,5.00000000e-03
0.09000000,1.0752162431e-04,5.00000000e-03
0.09500000,1.1482917979e-05,5.00000000e-03
0.10000000,1.4561239030e-04,5.00000000e-03
0.10500000,1.1858701431e-04,5.00000000e-03
0.11000000,-7.4833307664e-06,5.00000000e-03
0.11500000,1.8825820236e-04,5.00000000e-03
0.12000000,9.5879890638e-05,5.00000000e-03
0.12500000,-4.1614541598e-05,5.00000000e-03
0.13000000,2.0672934380e-04,5.00000000e-03
0.13500000,-4.5752121986e-05,5.00000000e-03
0.14000000,-9.5533347285e-05,5.00000000e-03
0.14500000,2.7516218166e-04,5.00000000e-03
0.15000000,-8.5779895658e-05,5.00000000e-03
0.15500000,7.1924397127e-05,5.00000000e-03
0.16000000,2.3060879368e-04,5.00000000e-03
0.16500000,-3.5507756838e-04,5.00000000e-03
0.17000000,3.4988397601e-04,5.00000000e-03
0.17500000,2.4979184294e-04,5.00000000e-03
0.18000000,-4.7627174697e-04,5.00000000e-03
0.18500000,4.9321251500e-04,5.00000000e-03
0.19000000,1.5536269587e-05,5.00000000e-03
0.19500000,-1.8437238250e-04,5.00000000e-03
0.20000000,4.6211354358e-04,5.00000000e-03
0.20500000,-5.0601188720e-04,5.00000000e-03
0.21000000,6.3026670769e-04,5.00000000e-03
