time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0489239630e-05,5.00000000e-03
0.06000000,3.7622537856e-05,5.00000000e-03
0.06500000,4.2087185705e-05,5.00000000e-03
0.07000000,1.1728372237e-04,5.00000000e-03
0.07500000,7.9808066400e-05,5.00000000e-03
0.08000000,1.7811765265e-05,5.00000000e-03
0.08500000,1.2654916069e-04,5.00000000e-03
0.09000000,1.1517341444e-04,5.00000000e-03
0.09500000,-2.9838793255e-06,5.00000000e-03
0.10000000,1.5088373532e-04,5.00000000e-03
0.10500000,1.3579529227e-04,5.00000000e-03
0.11000000,-3.8714119636e-05,5.00000000e-03
0.11500000,2.0566522997e-04,5.00000000e-03
0.12000000,1.2107276616e-04,5.00000000e-03
0.12500000,-1.0089502519e-04,5.00000000e-03
0.13000000,2.6219583866e-04,5.00000000e-03
0.13500000,-3.4661493863e-05,5.00000000e-03
0.14000000,-1.9629004894e-04,5.00000000e-03
0.14500000,3.9815809520e-04,5.00000000e-03
0.15000000,-1.3713371579e-04,5.00000000e-03
0.15500000,-6.9610192369e-07,5.00000000e-03
0.16000000,4.2452041655e-04,5.00000000e-03
0.16500000,-6.1612927586e-04,5.00000000e-03
0.17000000,4.1325095317e-04,5.00000000e-03
0.17500000,5.5129285916e-04,5.00000000e-03
0.18000000,-9.1740595360e-04,5.00000000e-03
0.18500000,7.3243735765e-04,5.00000000e-03
0.19000000,1.2696613319e-04,5.00000000e-03
0.19500000,-5.0317546085e-04,5.00000000e-03
0.20000000,8.6312103199e-04,5.00000000e-03
0.20500000,-9.9542363990e-04,5.00000000e-03
0.21000000,9.5479664851e-04,5.00000000e-03
