time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0147614214e-05,5.00000000e-03
0.06000000,3.7651273270e-05,5.00000000e-03
0.06500000,4.3597439610e-05,5.00000000e-03
0.07000000,1.1560170649e-04,5.00000000e-03
0.07500000,7.7999917327e-05,5.00000000e-03
0.08000000,2.3489847900e-05,5.00000000e-03
0.08500000,1.2365906340e-04,5.00000000e-03
0.09000000,1.0771274030e-04,5.00000000e-03
0.09500000,1.1162744790e-05,5.00000000e-03
0.10000000,1.4558348478e-04,5.00000000e-03
0.10500000,1.1906759105e-04,5.00000000e-03
0.11000000,-8.2763236898e-06,5.00000000e-03
0.11500000,1.8838917725e-04,5.00000000e-03
0.12000000,9.6753261700e-05,5.00000000e-03
0.12500000,-4.3538221206e-05,5.00000000e-03
0.13000000,2.0800318073e-04,5.00000000e-03
0.13500000,-4.4758229573e-05,5.00000000e-03
0.14000000,-9.9010352644e-05,5.00000000e-03
0.14500000,2.7924193404e-04,5.00000000e-03
0.15000000,-8.6615513729e-05,5.00000000e-03
0.15500000,6.8092067957e-05,5.00000000e-03
0.16000000,2.3959989167e-04,5.00000000e-03
0.16500000,-3.6522995650e-04,5.00000000e-03
0.17000000,3.4840270888e-04,5.00000000e-03
0.17500000,2.6682340304e-04,5.00000000e-03
0.18000000,-5.0389705946e-04,5.00000000e-03
0.18500000,5.0501940992e-04,5.00000000e-03
0.19000000,2.7143920711e-05,5.00000000e-03
0.19500000,-2.1570101580e-04,5.00000000e-03
0.20000000,5.0579086935e-04,5.00000000e-03
0.20500000,-5.4348077552e-04,5.00000000e-03
0.21000000,6.2834467201e-04,5.00000000e-03
