time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0489669027e-05,5.00000000e-03
0.06000000,3.7632353032e-05,5.00000000e-03
0.06500000,4.2068435490e-05,5.00000000e-03
0.07000000,1.1728885928e-04,5.00000000e-03
0.07500000,7.9851314664e-05,5.00000000e-03
0.08000000,1.7705667564e-05,5.00000000e-03
0.08500000,1.2653236357e-04,5.00000000e-03
0.09000000,1.1533936557e-04,5.00000000e-03
0.09500000,-3.2762395591e-06,5.00000000e-03
0.10000000,1.5087527453e-04,5.00000000e-03
0.10500000,1.3624726684e-04,5.00000000e-03
0.11000000,-3.9535150210e-05,5.00000000e-03
0.11500000,2.0576273229e-04,5.00000000e-03
0.12000000,1.2209915061e-04,5.00000000e-03
0.12500000,-1.0307528574e-04,5.00000000e-03
0.13000000,2.6330051534e-04,5.00000000e-03
0.13500000,-3.3120202767e-05,5.00000000e-03
0.14000000,-2.0101832927e-04,5.00000000e-03
0.14500000,4.0300972270e-04,5.00000000e-03
0.15000000,-1.3671639158e-04,5.00000000e-03
0.15500000,-8.3069374505e-06,5.00000000e-03
0.16000000,4.4078114803e-04,5.00000000e-03
0.16500000,-6.2852770806e-04,5.00000000e-03
0.17000000,4.0386625761e-04,5.00000000e-03
0.17500000,5.8395932142e-04,5.00000000e-03
0.18000000,-9.6149489950e-04,5.00000000e-03
0.18500000,7.4685761362e-04,5.00000000e-03
0.19000000,1.5410485870e-04,5.00000000e-03
0.19500000,-5.6365521576e-04,5.00000000e-03
0.20000000,9.5014183178e-04,5.00000000e-03
0.20500000,-1.0684973026e-03,5.00000000e-03
0.21000000,9.2515976176e-04,5.00000000e-03
