time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0148043363e-05,5.00000000e-03
0.06000000,3.7660651929e-05,5.00000000e-03
0.06500000,4.3579586256e-05,5.00000000e-03
0.07000000,1.1560795120e-04,5.00000000e-03
0.07500000,7.8037397363e-05,5.00000000e-03
0.08000000,2.3395165832e-05,5.00000000e-03
0.08500000,1.2365283526e-04,5.00000000e-03
0.09000000,1.0785016517e-04,5.00000000e-03
0.09500000,1.0933312105e-05,5.00000000e-03
0.10000000,1.4556102911e-04,5.00000000e-03
0.10500000,1.1941473090e-04,5.00000000e-03
0.11000000,-8.8461783769e-06,5.00000000e-03
0.11500000,1.8847704811e-04,5.00000000e-03
0.12000000,9.7390921480e-05,5.00000000e-03
0.12500000,-4.4932756453e-05,5.00000000e-03
0.13000000,2.0890835916e-04,5.00000000e-03
0.13500000,-4.4004804148e-05,5.00000000e-03
0.14000000,-1.0155126645e-04,5.00000000e-03
0.14500000,2.8219660548e-04,5.00000000e-03
0.15000000,-8.7199974280e-05,5.00000000e-03
0.15500000,6.5150752911e-05,5.00000000e-03
0.16000000,2.4644484865e-04,5.00000000e-03
0.16500000,-3.7263999647e-04,5.00000000e-03
0.17000000,3.4671792442e-04,5.00000000e-03
0.17500000,2.8025910471e-04,5.00000000e-03
0.18000000,-5.2490052470e-04,5.00000000e-03
0.18500000,5.1283298773e-04,5.00000000e-03
0.19000000,3.7770056895e-05,5.00000000e-03
0.19500000,-2.4143771176e-04,5.00000000e-03
0.20000000,5.4016914900e-04,5.00000000e-03
0.20500000,-5.6999313952e-04,5.00000000e-03
0.21000000,6.2102763737e-04,5.00000000e-03
