time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0489991075e-05,5.00000000e-03
0.06000000,3.7639718717e-05,5.00000000e-03
0.06500000,4.2054363555e-05,5.00000000e-03
0.07000000,1.1729267488e-04,5.00000000e-03
0.07500000,7.9883838063e-05,5.00000000e-03
0.08000000,1.7625971114e-05,5.00000000e-03
0.08500000,1.2651948206e-04,5.00000000e-03
0.09000000,1.1546450124e-04,5.00000000e-03
0.09500000,-3.4960856447e-06,5.00000000e-03
0.10000000,1.5086751889e-04,5.00000000e-03
0.10500000,1.3658969526e-04,5.00000000e-03
0.11000000,-4.0154737378e-05,5.00000000e-03
0.11500000,2.0583069481e-04,5.00000000e-03
0.12000000,1.2288282180e-04,5.00000000e-03
0.12500000,-1.0473040132e-04,5.00000000e-03
0.13000000,2.6411784110e-04,5.00000000e-03
0.13500000,-3.1914170194e-05,5.00000000e-03
0.14000000,-2.0465379795e-04,5.00000000e-03
0.14500000,4.0667815347e-04,5.00000000e-03
0.15000000,-1.3624731614e-04,5.00000000e-03
0.15500000,-1.4348842282e-05,5.00000000e-03
0.16000000,4.5334483599e-04,5.00000000e-03
0.16500000,-6.3788457257e-04,5.00000000e-03
0.17000000,3.9615121414e-04,5.00000000e-03
0.17500000,6.1077944889e-04,5.00000000e-03
0.18000000,-9.9714505279e-04,5.00000000e-03
0.18500000,7.5698499279e-04,5.00000000e-03
0.19000000,1.8077674396e-04,5.00000000e-03
0.19500000,-6.1772923715e-04,5.00000000e-03
0.20000000,1.0175875456e-03,5.00000000e-03
0.20500000,-1.0700959767e-03,5.00000000e-03
0.21000000,8.2138790709e-04,5.00000000e-03
