time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0148365225e-05,5.00000000e-03
0.06000000,3.7667690088e-05,5.00000000e-03
0.06500000,4.3566187275e-05,5.00000000e-03
0.07000000,1.1561260278e-04,5.00000000e-03
0.07500000,7.8065583373e-05,5.00000000e-03
0.08000000,2.3324038742e-05,5.00000000e-03
0.08500000,1.2364795508e-04,5.00000000e-03
0.09000000,1.0795373631e-04,5.00000000e-03
0.09500000,1.0760836714e-05,5.00000000e-03
0.10000000,1.4554318499e-04,5.00000000e-03
0.10500000,1.1967722189e-04,5.00000000e-03
0.11000000,-9.2754337177e-06,5.00000000e-03
0.11500000,1.8853976061e-04,5.00000000e-03
0.12000000,9.7876852292e-05,5.00000000e-03
0.12500000,-4.5989930624e-05,5.00000000e-03
0.13000000,2.0958414977e-04,5.00000000e-03
0.13500000,-4.3418857733e-05,5.00000000e-03
0.14000000,-1.0353882426e-04,5.00000000e-03
0.14500000,2.8444499741e-04,5.00000000e-03
0.15000000,-8.7413265018e-05,5.00000000e-03
0.15500000,6.2647423987e-05,5.00000000e-03
0.16000000,2.5167938212e-04,5.00000000e-03
0.16500000,-3.7800485280e-04,5.00000000e-03
0.17000000,3.4499996025e-04,5.00000000e-03
0.17500000,2.9095192569e-04,5.00000000e-03
0.18000000,-5.4135173288e-04,5.00000000e-03
0.18500000,5.1837582795e-04,5.00000000e-03
0.19000000,4.7237273326e-05,5.00000000e-03
0.19500000,-2.6296664659e-04,5.00000000e-03
0.20000000,5.6793865832e-04,5.00000000e-03
0.20500000,-5.8961980454e-04,5.00000000e-03
0.21000000,6.1165702025e-04,5.00000000e-03
