time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0833061564e-05,5.00000000e-03
0.06000000,3.7637724904e-05,5.00000000e-03
0.06500000,4.0459275764e-05,5.00000000e-03
0.07000000,1.1900592952e-04,5.00000000e-03
0.07500000,8.2001211593e-05,5.00000000e-03
0.08000000,1.1322280277e-05,5.00000000e-03
0.08500000,1.2929366953e-04,5.00000000e-03
0.09000000,1.2468261356e-04,5.00000000e-03
0.09500000,-2.0283246200e-05,5.00000000e-03
0.10000000,1.5588939013e-04,5.00000000e-03
0.10500000,1.5958170397e-04,5.00000000e-03
0.11000000,-7.9829150346e-05,5.00000000e-03
0.11500000,2.2315607364e-04,5.00000000e-03
0.12000000,1.6384965685e-04,5.00000000e-03
0.12500000,-1.8873472060e-04,5.00000000e-03
0.13000000,3.3106432105e-04,5.00000000e-03
0.13500000,5.5748028997e-06,5.00000000e-03
0.14000000,-3.5317270240e-04,5.00000000e-03
0.14500000,5.8092040091e-04,5.00000000e-03
0.15000000,-1.7628189047e-04,5.00000000e-03
0.15500000,-1.9381535229e-04,5.00000000e-03
0.16000000,8.0681763204e-04,5.00000000e-03
0.16500000,-1.0212350163e-03,5.00000000e-03
0.17000000,3.4608876598e-04,5.00000000e-03
0.17500000,1.2003047741e-03,5.00000000e-03
0.18000000,-1.7498453475e-03,5.00000000e-03
0.18500000,1.1412728461e-03,5.00000000e-03
0.19000000,4.6128492601e-04,5.00000000e-03
0.19500000,-1.0979614167e-03,5.00000000e-03
0.20000000,1.7827301659e-03,5.00000000e-03
0.20500000,-1.8503204492e-03,5.00000000e-03
0.21000000,1.0653577233e-03,5.00000000e-03
