time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0075214297e-08,5.00000000e-03
0.01000000,1.6394298467e-07,5.00000000e-03
0.01500000,2.5173857909e-07,5.00000000e-03
0.02000000,3.4393883057e-07,5.00000000e-03
0.02500000,4.4985177353e-07,5.00000000e-03
0.03000000,7.2876829977e-07,5.00000000e-03
0.03500000,2.5849454251e-06,5.00000000e-03
0.04000000,1.2365378947e-05,5.00000000e-03
0.04500000,4.2321642240e-05,5.00000000e-03
0.05000000,8.6441767249e-05,5.00000000e-03
0.05500000,9.0148815829e-05,5.00000000e-03
0.06000000,3.7677549511e-05,5.00000000e-03
0.06500000,4.3547415782e-05,5.00000000e-03
0.07000000,1.1561906885e-04,5.00000000e-03
0.07500000,7.8105153490e-05,5.00000000e-03
0.08000000,2.3224294517e-05,5.00000000e-03
0.08500000,1.2364081954e-04,5.00000000e-03
0.09000000,1.0809946327e-04,5.00000000e-03
0.09500000,1.0518797173e-05,5.00000000e-03
0.10000000,1.4551674282e-04,5.00000000e-03
0.10500000,1.2004780997e-04,5.00000000e-03
0.11000000,-9.8790591225e-06,5.00000000e-03
0.11500000,1.8862285561e-04,5.00000000e-03
0.12000000,9.8568386659e-05,5.00000000e-03
0.12500000,-4.7486294488e-05,5.00000000e-03
0.13000000,2.1052539414e-04,5.00000000e-03
0.13500000,-4.2564271133e-05,5.00000000e-03
0.14000000,-1.0633329034e-04,5.00000000e-03
0.14500000,2.8759080514e-04,5.00000000e-03
0.15000000,-8.7831515637e-05,5.00000000e-03
0.15500000,5.9269750130e-05,5.00000000e-03
0.16000000,2.5914755324e-04,5.00000000e-03
0.16500000,-3.8574235885e-04,5.00000000e-03
0.17000000,3.4249738811e-04,5.00000000e-03
0.17500000,3.0646378771e-04,5.00000000e-03
0.18000000,-5.6496639524e-04,5.00000000e-03
0.18500000,5.2559203942e-04,5.00000000e-03
0.19000000,6.1756686152e-05,5.00000000e-03
0.19500000,-2.9508924729e-04,5.00000000e-03
0.20000000,6.0889727967e-04,5.00000000e-03
0.20500000,-6.1709133307e-04,5.00000000e-03
0.21000000,5.9361178712e-04,5.00000000e-03
