time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0102568385e-08,5.00000000e-03
0.01000000,1.6399898840e-07,5.00000000e-03
0.01500000,2.5182456709e-07,5.00000000e-03
0.02000000,3.4405634019e-07,5.00000000e-03
0.02500000,4.5000624949e-07,5.00000000e-03
0.03000000,7.2902910169e-07,5.00000000e-03
0.03500000,2.5858151651e-06,5.00000000e-03
0.04000000,1.2368224432e-05,5.00000000e-03
0.04500000,4.2325423688e-05,5.00000000e-03
0.05000000,8.6482784722e-05,5.00000000e-03
0.05500000,9.0866832202e-05,5.00000000e-03
0.06000000,3.7565237319e-05,5.00000000e-03
0.06500000,4.0641947473e-05,5.00000000e-03
0.07000000,1.1902134306e-04,5.00000000e-03
0.07500000,8.1540494732e-05,5.00000000e-03
0.08000000,1.2192331049e-05,5.00000000e-03
0.08500000,1.2933473802e-04,5.00000000e-03
0.09000000,1.2257463422e-04,5.00000000e-03
0.09500000,-1.7220830001e-05,5.00000000e-03
0.10000000,1.5614533222e-04,5.00000000e-03
0.10500000,1.5302691278e-04,5.00000000e-03
0.11000000,-7.0840170674e-05,5.00000000e-03
0.11500000,2.2181081149e-04,5.00000000e-03
0.12000000,1.4875779263e-04,5.00000000e-03
0.12500000,-1.6565317248e-04,5.00000000e-03
0.13000000,3.1668473852e-04,5.00000000e-03
0.13500000,-1.4071682536e-05,5.00000000e-03
0.14000000,-3.0820876815e-04,5.00000000e-03
0.14500000,5.3853227679e-04,5.00000000e-03
0.15000000,-1.8596443334e-04,5.00000000e-03
0.15500000,-1.1987411259e-04,5.00000000e-03
0.16000000,6.8732171428e-04,5.00000000e-03
0.16500000,-8.9803982732e-04,5.00000000e-03
0.17000000,3.8620912341e-04,5.00000000e-03
0.17500000,9.2467706404e-04,5.00000000e-03
0.18000000,-1.4636833012e-03,5.00000000e-03
0.18500000,1.0390591748e-03,5.00000000e-03
0.19000000,2.6550959751e-04,5.00000000e-03
0.19500000,-8.6602198784e-04,5.00000000e-03
0.20000000,1.5547410303e-03,5.00000000e-03
0.20500000,-1.5864732200e-03,5.00000000e-03
0.21000000,8.6244532704e-04,5.00000000e-03
0.21500000,1.3457121682e-03,5.00000000e-03
0.22000000,-2.9491724511e-03,5.00000000e-03
0.22500000,4.1188850533e-03,5.00000000e-03
0.23000000,-1.1375933749e-03,5.00000000e-03
0.23500000,-2.8575250643e-03,5.00000000e-03
0.24000000,4.8381541291e-03,5.00000000e-03
0.24500000,-3.4072186249e-03,5.00000000e-03
0.25000000,-2.8304381234e-06,5.00000000e-03
0.25500000,2.9966358238e-03,5.00000000e-03
0.26000000,-3.4036803142e-03,5.00000000e-03
0.26500000,1.8414027607e-03,5.00000000e-03
0.27000000,8.3849637068e-04,5.00000000e-03
0.27500000,-8.2308947998e-04,5.00000000e-03
0.28000000,9.2183056120e-04,5.00000000e-03
0.28500000,-1.0159550489e-03,5.00000000e-03
0.29000000,2.2963444962e-03,5.00000000e-03
0.29500000,-2.0008398002e-03,5.00000000e-03
0.30000000,4.2954316261e-05,5.00000000e-03
0.30500000,2.5809269139e-03,5.00000000e-03
0.31000000,-4.7914491185e-03,5.00000000e-03
0.31500000,5.0872096303e-03,5.00000000e-03
0.32000000,-1.7416890104e-03,5.00000000e-03
0.32500000,-3.8454020236e-03,5.00000000e-03
0.33000000,7.6355680376e-03,5.00000000e-03
0.33500000,-7.5206861652e-03,5.00000000e-03
0.34000000,2.2356944631e-03,5.00000000e-03
0.34500000,6.8854567739e-03,5.00000000e-03
0.35000000,-9.7035770210e-03,5.00000000e-03
0.35500000,6.9941512332e-03,5.00000000e-03
0.36000000,4.7436437856e-04,5.00000000e-03
0.36500000,-6.9207131922e-03,5.00000000e-03
0.37000000,8.6036113379e-03,5.00000000e-03
0.37500000,-4.0164486170e-03,5.00000000e-03
0.38000000,-2.2317611280e-03,5.00000000e-03
0.38500000,5.5302892288e-03,5.00000000e-03
0.39000000,-5.1377897929e-03,5.00000000e-03
0.39500000,3.4940126329e-03,5.00000000e-03
0.40000000,5.1998986143e-04,5.00000000e-03
0.40500000,-3.5771653725e-03,5.00000000e-03
0.41000000,5.9406625708e-03,5.00000000e-03
0.41500000,-3.8716660569e-03,5.00000000e-03
0.42000000,-3.8215934264e-04,5.00000000e-03
0.42500000,4.4559958579e-03,5.00000000e-03
0.43000000,-5.5557424986e-03,5.00000000e-03
0.43500000,3.1883226268e-03,5.00000000e-03
0.44000000,2.1676182279e-03,5.00000000e-03
0.44500000,-3.7620647564e-03,5.00000000e-03
0.45000000,4.6348607283e-03,5.00000000e-03
0.45500000,-1.6040544372e-03,5.00000000e-03
0.46000000,-2.2361840410e-03,5.00000000e-03
0.46500000,4.5719664658e-03,5.00000000e-03
0.47000000,-3.4490221119e-03,5.00000000e-03
0.47500000,-3.4837939853e-04,5.00000000e-03
0.48000000,4.2538507525e-03,5.00000000e-03
0.48500000,-4.4009479482e-03,5.00000000e-03
0.49000000,9.3437346723e-04,5.00000000e-03
0.49500000,3.8843667177e-03,5.00000000e-03
0.50000000,-4.9121715500e-03,5.00000000e-03
0.50500000,2.4103501643e-03,5.00000000e-03
0.51000000,4.0756426969e-03,5.00000000e-03
0.51500000,-5.5762025058e-03,5.00000000e-03
0.52000000,3.5177368513e-03,5.00000000e-03
0.52500000,2.3844555383e-03,5.00000000e-03
0.53000000,-4.5753434764e-03,5.00000000e-03
0.53500000,4.5036071146e-03,5.00000000e-03
0.54000000,-3.9595357130e-04,5.00000000e-03
0.54500000,-2.1141352028e-03,5.00000000e-03
0.55000000,3.5375297286e-03,5.00000000e-03
0.55500000,-2.9828084655e-03,5.00000000e-03
0.56000000,1.5595539050e-03,5.00000000e-03
0.56500000,1.5686377254e-03,5.00000000e-03
0.57000000,-2.6593643530e-03,5.00000000e-03
0.57500000,3.4920711326e-03,5.00000000e-03
0.58000000,-1.6291412729e-03,5.00000000e-03
0.58500000,-7.3063035856e-05,5.00000000e-03
0.59000000,2.1525671748e-03,5.00000000e-03
0.59500000,-2.9094714348e-03,5.00000000e-03
0.60000000,3.7323097531e-03,5.00000000e-03
0.60500000,-2.2716160526e-03,5.00000000e-03
0.61000000,8.4177469856e-05,5.00000000e-03
0.61500000,2.9264664432e-03,5.00000000e-03
0.62000000,-4.9839726832e-03,5.00000000e-03
0.62500000,4.6272079517e-03,5.00000000e-03
0.63000000,-1.3991039037e-03,5.00000000e-03
0.63500000,-2.3605041430e-03,5.00000000e-03
0.64000000,5.1418032504e-03,5.00000000e-03
0.64500000,-5.0669002749e-03,5.00000000e-03
0.65000000,4.2542168570e-03,5.00000000e-03
0.65500000,-5.1278962078e-04,5.00000000e-03
0.66000000,-3.4270761279e-03,5.00000000e-03
0.66500000,7.3332413286e-03,5.00000000e-03
0.67000000,-8.5300546638e-03,5.00000000e-03
0.67500000,5.1162559951e-03,5.00000000e-03
0.68000000,4.1383132906e-03,5.00000000e-03
0.68500000,-9.5007840085e-03,5.00000000e-03
0.69000000,1.1564651474e-02,5.00000000e-03
0.69500000,-5.0177502371e-03,5.00000000e-03
0.70000000,-3.8446396349e-03,5.00000000e-03
0.70500000,1.0800042154e-02,5.00000000e-03
0.71000000,-1.1295277592e-02,5.00000000e-03
0.71500000,5.6482280708e-03,5.00000000e-03
0.72000000,4.5187346840e-03,5.00000000e-03
0.72500000,-1.0189223266e-02,5.00000000e-03
0.73000000,1.1920313761e-02,5.00000000e-03
0.73500000,-5.3512729571e-03,5.00000000e-03
0.74000000,-4.2922978438e-03,5.00000000e-03
0.74500000,1.0467310563e-02,5.00000000e-03
0.75000000,-1.0904084259e-02,5.00000000e-03
0.75500000,4.6170334082e-03,5.00000000e-03
0.76000000,5.3124001596e-03,5.00000000e-03
0.76500000,-8.3394337147e-03,5.00000000e-03
0.77000000,8.7634326192e-03,5.00000000e-03
0.77500000,-3.4974387673e-03,5.00000000e-03
0.78000000,-2.5020944048e-03,5.00000000e-03
0.78500000,5.9294059190e-03,5.00000000e-03
0.79000000,-7.7284130279e-03,5.00000000e-03
0.79500000,5.3979336617e-03,5.00000000e-03
0.80000000,1.6849542046e-03,5.00000000e-03
0.80500000,-5.3931028777e-03,5.00000000e-03
0.81000000,7.4529878914e-03,5.00000000e-03
0.81500000,-3.3077304230e-03,5.00000000e-03
0.82000000,-6.9877038545e-04,5.00000000e-03
