time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,1.6020513677e-07,5.00000000e-03
0.01000000,3.2799797734e-07,5.00000000e-03
0.01500000,5.0364917714e-07,5.00000000e-03
0.02000000,6.8811357159e-07,5.00000000e-03
0.02500000,9.0007883122e-07,5.00000000e-03
0.03000000,1.4601593273e-06,5.00000000e-03
0.03500000,5.2077009639e-06,5.00000000e-03
0.04000000,2.5082045867e-05,5.00000000e-03
0.04500000,8.6264938058e-05,5.00000000e-03
0.05000000,1.7501045210e-04,5.00000000e-03
0.05500000,1.7809044300e-04,5.00000000e-03
0.06000000,7.2515831077e-05,5.00000000e-03
0.06500000,9.2188837890e-05,5.00000000e-03
0.07000000,2.3391019929e-04,5.00000000e-03
0.07500000,1.4542045662e-04,5.00000000e-03
0.08000000,5.1569087400e-05,5.00000000e-03
0.08500000,2.5946122258e-04,5.00000000e-03
0.09000000,1.9811345090e-04,5.00000000e-03
0.09500000,2.2870505295e-05,5.00000000e-03
0.10000000,3.1519748186e-04,5.00000000e-03
0.10500000,2.1083221158e-04,5.00000000e-03
0.11000000,-1.8801805390e-05,5.00000000e-03
0.11500000,4.1771013705e-04,5.00000000e-03
0.12000000,1.4057840674e-04,5.00000000e-03
0.12500000,-8.5729560416e-05,5.00000000e-03
0.13000000,4.8006129503e-04,5.00000000e-03
0.13500000,-1.9937480218e-04,5.00000000e-03
0.14000000,-1.3405372257e-04,5.00000000e-03
0.14500000,6.3157469661e-04,5.00000000e-03
0.15000000,-3.9666159071e-04,5.00000000e-03
0.15500000,3.4381369626e-04,5.00000000e-03
0.16000000,4.8660049419e-04,5.00000000e-03
0.16500000,-1.0193792796e-03,5.00000000e-03
0.17000000,1.1935081782e-03,5.00000000e-03
0.17500000,2.5432972884e-04,5.00000000e-03
0.18000000,-1.0222544235e-03,5.00000000e-03
0.18500000,1.4397012149e-03,5.00000000e-03
0.19000000,-6.2632974754e-04,5.00000000e-03
0.19500000,1.9716049539e-04,5.00000000e-03
0.20000000,9.0262094938e-04,5.00000000e-03
0.20500000,-1.6928748729e-03,5.00000000e-03
0.21000000,2.9594386377e-03,5.00000000e-03
0.21500000,-9.9516420107e-04,5.00000000e-03
0.22000000,-1.3970629558e-03,5.00000000e-03
0.22500000,4.0495268536e-03,5.00000000e-03
0.23000000,-3.6351326326e-03,5.00000000e-03
0.23500000,7.9347534927e-04,5.00000000e-03
0.24000000,3.0993565913e-03,5.00000000e-03
0.24500000,-3.5184746611e-03,5.00000000e-03
0.25000000,3.0314603705e-03,5.00000000e-03
0.25500000,3.8006673647e-04,5.00000000e-03
0.26000000,-1.7625019817e-03,5.00000000e-03
0.26500000,2.4090508936e-03,5.00000000e-03
0.27000000,-8.4036343132e-04,5.00000000e-03
0.27500000,1.3779330075e-03,5.00000000e-03
0.28000000,-6.2248534296e-04,5.00000000e-03
0.28500000,-2.6870771382e-04,5.00000000e-03
0.29000000,2.5494371373e-03,5.00000000e-03
0.29500000,-3.8365888171e-03,5.00000000e-03
